equation,native_OMML,content_characters,Chinese Word_page,Chinese WPS_page,English Word_page,English WPS_page,special_visual_QC,status
1,yes,47,11,11,21,21,not required,PASS
2,yes,54,11,11,21,21,not required,PASS
3,yes,41,11,11,21,20,not required,PASS
4,yes,34,11,11,21,21,not required,PASS
5,yes,32,11,11,22,22,not required,PASS
6,yes,39,11,11,22,22,PASS,PASS
7,yes,40,12,12,22,22,PASS,PASS
8,yes,84,12,12,22,22,not required,PASS
9,yes,40,12,12,22,22,not required,PASS
10,yes,86,12,12,22,20,not required,PASS
11,yes,57,12,12,22,22,PASS,PASS
12,yes,41,12,12,22,22,not required,PASS
13,yes,45,12,12,22,22,not required,PASS
14,yes,29,12,12,22,22,not required,PASS
15,yes,41,12,12,22,22,not required,PASS
16,yes,55,12,12,23,23,not required,PASS
17,yes,66,12,12,23,23,not required,PASS
18,yes,52,12,12,23,23,not required,PASS
19,yes,37,13,13,23,23,not required,PASS
