reference,year_present,doi,doi_http_status,software_or_preprint_metadata,status,citation
1,yes,10.1039/C7SC02664A,403,no,PASS,"1. Wu Z, Ramsundar B, Feinberg EN, et al. MoleculeNet: a benchmark for molecular machine learning. Chem Sci. 2018;9:513–530. doi:10.1039/C7SC02664A."
2,yes,,n/a,yes,PASS,"2. Huang K, Fu T, Gao W, et al. Therapeutics Data Commons: machine learning datasets and tasks for drug discovery and development. NeurIPS Datasets and Benchmarks Track. 2021. arXiv:2102.09548."
3,yes,,n/a,yes,PASS,"3. Cawley GC, Talbot NLC. On over-fitting in model selection and subsequent selection bias in performance evaluation. J Mach Learn Res. 2010;11:2079–2107."
4,yes,10.1186/1471-2105-7-91,200,no,PASS,"4. Varma S, Simon R. Bias in error estimation when using cross-validation for model selection. BMC Bioinformatics. 2006;7:91. doi:10.1186/1471-2105-7-91."
5,yes,10.1186/s13321-026-01217-2,200,no,PASS,"5. Zhao D, Zhu Y, Wu Z, et al. Revisiting ADMET prediction reliability under real-world challenges in the foundation model era. J Cheminform. 2026;18:95. doi:10.1186/s13321-026-01217-2."
6,yes,10.1186/s13321-026-01244-z,200,no,PASS,"6. Zhang L, Zeng Y, Qi Y, et al. DCPM-ADMET: fusion of dual-component pre-trained model and molecular fingerprints to enhance drug ADMET properties prediction. J Cheminform. 2026. doi:10.1186/s13321-026-01244-z."
7,yes,10.1186/s13321-025-01140-y,200,no,PASS,"7. Jang Y, Lee J, Jeong K, Kim J. Multimodal graph fusion with statistically guided parsimonious descriptor selection for molecular property prediction. J Cheminform. 2026;18:18. doi:10.1186/s13321-025-01140-y."
8,yes,10.1016/j.isci.2026.114928,200,no,PASS,"8. Zhang Y, Liu W, Zhao H, et al. MolGramTreeNet: a multimodal molecular property prediction model via grammar tree-constrained molecular representation. iScience. 2026;29:114928. doi:10.1016/j.isci.2026.114928."
9,yes,10.1093/bib/bbaf147,403,no,PASS,"9. Wen X, Liu H, Long W, Wei S, Zhu R. Consistent semantic representation learning for out-of-distribution molecular property prediction. Brief Bioinform. 2025;26:bbaf147. doi:10.1093/bib/bbaf147."
10,yes,10.1039/D5RA08055J,403,no,PASS,"10. Yin T, Gao P, Panapitiya G, Saldanha EG. Out-of-distribution evaluation of active learning pipelines for molecular property prediction. RSC Adv. 2026;16:5281–5295. doi:10.1039/D5RA08055J."
11,yes,10.1021/acs.jcim.5c03220,403,no,PASS,"11. Uchibori Y, Kaneko H. Generation of molecules near the applicability domain boundaries of property prediction models. J Chem Inf Model. 2026;66:6866–6879. doi:10.1021/acs.jcim.5c03220."
12,yes,10.1021/acs.jcim.5c01037,403,no,PASS,"12. Kim JY, Vlachos DG. Distance-aware molecular property prediction in nonlinear structure–property space. J Chem Inf Model. 2025;65:6744–6756. doi:10.1021/acs.jcim.5c01037."
13,yes,10.1021/acs.jcim.5c00550,403,no,PASS,"13. Tang H, Yue T, Li Y. Assessing uncertainty in machine learning for polymer property prediction: a benchmark study. J Chem Inf Model. 2025;65:6585–6598. doi:10.1021/acs.jcim.5c00550."
14,yes,10.3389/fddsv.2026.1859068,200,no,PASS,"14. Fralish Z, Reker D. Pairwise learning for molecular property prediction and optimization. Front Drug Discov. 2026;6:1859068. doi:10.3389/fddsv.2026.1859068."
15,yes,,n/a,yes,PASS,15. Landrum G. RDKit: open-source cheminformatics software. Version 2026.3.1. https://www.rdkit.org/. Accessed 12 July 2026.
16,yes,10.1021/ci100050t,403,no,PASS,"16. Rogers D, Hahn M. Extended-connectivity fingerprints. J Chem Inf Model. 2010;50:742–754. doi:10.1021/ci100050t."
