item,expected,status
Primary candidate fits,34 560,PASS
Candidate-fitting time,8 130.16 s,PASS
Secondary composition units,1 080,PASS
Secondary downstream time,64 616.35 s,PASS
Classification practical-equivalence,62.7% / 80.0% / 86.0%,PASS
Regression practical-equivalence,73.3% / 79.2% / 82.5%,PASS
Combined success,79.6%,PASS
Mean near-equivalent set size,10.17,PASS
Selected-in-set rate,85.9%,PASS
Jaccard overlap,0.490,PASS
Candidate switching,52.7% / 66.0%,PASS
Minority-recall change,−0.0094,PASS
Outer minority recall ≥0.80,62.0%,PASS
Effective diversity medians,2.36 / 19.25 / 5.56 / 24.33,PASS
