check,observed,expected,passed,note
row count: Paper31_inner_scores.csv.gz,25920,25920,True,
row count: Paper31_outer_candidate_scores.csv.gz,8640,8640,True,
row count: Paper31_selection_units.csv,3240,3240,True,
row count: Paper31_endpoint_pool_K_summary.csv,216,216,True,
row count: Paper31_effective_diversity_sensitivity.csv,432,432,True,
row count: Paper31_selection_stability.csv,72,72,True,
row count: Paper31_component_ablation_units.csv,900,900,True,
row count: Paper31_component_ablation_summary.csv,60,60,True,
row count: Paper31_equal_budget_units.csv,540,540,True,
composition split unit count,1080,1080,True,
similarity groups disjoint,True,True,True,
maximum cross-fold Tanimoto,0.6987951993942261,<0.70,True,
required selection-unit field: oracle_opportunity_gain,True,True,True,
required selection-unit field: selected_model_gain,True,True,True,
required selection-unit field: same_unit_selection_gap,True,True,True,
required selection-unit field: chance_adjusted_hit3,True,True,True,
required selection-unit field: chance_adjusted_mrr,True,True,True,
required selection-unit field: cross_fitted_selection_gap,True,True,True,
required selection-unit field: audit_fit_seconds,True,True,True,
required selection-unit field: selected_candidate,True,True,True,
no missing cross-fitted gaps,0,0,True,
near-zero denominators disclosed,True,True,True,
equation mapping rows,27,27,True,
equation numbering,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",True,
equation mapping script hash,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683,True,
equation workbook sheets,True,True,True,
native OMath count: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,27,27,True,
equation placeholders absent: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
Figure 7 placeholder absent: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
vector SVG embedded: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 1 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 2 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 3 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 4 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 5 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 6 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 7 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 8 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 9 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 10 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 11 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 12 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 13 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 14 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 15 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 16 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 17 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 18 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 19 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 20 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 21 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 22 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 23 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 24 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 25 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 26 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
equation number 27 present: Candidate_pool_expansion_Journal_of_Cheminformatics_manuscript(7).docx,True,True,True,
native OMath count: 候选池扩张与模型选择损失_中文完整论文(7).docx,27,27,True,
equation placeholders absent: 候选池扩张与模型选择损失_中文完整论文(7).docx,True,True,True,
Figure 7 placeholder absent: 候选池扩张与模型选择损失_中文完整论文(7).docx,True,True,True,
vector SVG embedded: 候选池扩张与模型选择损失_中文完整论文(7).docx,True,True,True,
