equation_number,title,linear_equation,implementation,output_field,analysis_script_sha256
1,Selected candidate,"ĵ_u(K)=arg max_(j∈C_K) V_(u,j)",selection_units/_selection_record,selected_candidate,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
2,Observed finite-audit best,"j_best_u(K)=arg max_(j∈C_K) A_(u,j)",selection_units/_selection_record,oracle_candidate,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
3,Selection loss,"L_u(K)=A_(u,j_best_u(K))-A_(u,ĵ_u(K))",_selection_record,same_unit_selection_gap,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
4,Range-normalized selection loss,"L̃_u(K)=L_u(K)/(max_j A_(u,j)-min_j A_(u,j)+ε)",_selection_record,range_normalized_selection_loss,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
5,Chance-adjusted Hit@q,"CAHit_(q,u)=(I(r_u≤q)-q/K)/(1-q/K), q=3",_selection_record,chance_adjusted_hit3,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
6,Mean reciprocal rank unit,MRR_u=1/r_u,_selection_record,reciprocal_rank,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
7,Random-order MRR expectation,E_0(MRR)=H_K/K,_selection_record,random_order_mrr_expectation,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
8,Normalized MRR,MRR̃_u=(MRR_u-H_K/K)/(1-H_K/K),_selection_record,chance_adjusted_mrr,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
9,Leave-one-seed-out reference,"j_ref_(-s)(K)=arg max_j [(1/|U_(-s)|) ∑_(u∈U_(-s)) A_(u,j)]",add_cross_fitted_gap,cross_reference_candidate,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
10,Cross-fitted seed-level gap,"L_(CF,s)(K)=(1/F) ∑_(f=1)^F [A_((s,f),j_ref_(-s)(K))-A_((s,f),ĵ_((s,f))(K))]",add_cross_fitted_gap/bootstrap_summary,cross_fitted_selection_gap,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
11,Endpoint expansion effect,"Δ_(CF,e)=(1/S) ∑_(s=1)^S [L_(CF,e,s)(32)-L_(CF,e,s)(4)]",expansion_effects,delta_CF_endpoint,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
12,Raw audit matrix,"X_(raw,u,j)=A_(u,j)",effective_diversity,transformation=raw,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
13,Row-centred matrix,"X_(ctr,u,j)=A_(u,j)-(1/K) ∑_l A_(u,l)",effective_diversity,transformation=row_centred,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
14,Fixed-reference matrix,"X_(ref,u,j)=A_(u,j)-A_(u,j_0)",effective_diversity,transformation=shared_morgan_linear_relative/fixed_morgan_rf_relative,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
15,Within-unit-rank matrix,"X_(rank,u,j)=rank_j(A_(u,j))",effective_diversity,transformation=within_unit_rank,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
16,Ledoit-Wolf covariance,Σ̂_LW=(1-α)S+αT,_effective_rank: sklearn.covariance.LedoitWolf,ledoit_wolf_shrinkage_alpha,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
17,Eigenvalue proportions,p_i=λ_i/(∑_l λ_l),_effective_rank,eigenvalue_probability_json,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
18,Entropy effective rank,r_ent=exp[-∑_i p_i ln(p_i)],_effective_rank,entropy_rank,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
19,Participation-ratio rank,r_PR=(∑_i λ_i)^2/(∑_i λ_i^2)=1/(∑_i p_i^2),_effective_rank,participation_rank,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
20,Observed audit-best opportunity,"G_(best,u,p,K)=max_(j∈C_(p,K)) A_(u,j)-A_(u,a)",_selection_record,oracle_opportunity_gain,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
21,Validation-selected gain,"G_(sel,u,p,K)=A_(u,ĵ_(u,p,K))-A_(u,a)",_selection_record,selected_model_gain,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
22,Paired homogeneous-normalized selected gain,"G̃_(sel,e,p,K)=1/(SF) ∑_(s,f) G_(sel,(s,f),p,K)/G_(best,(s,f),hom,K)",add_paired_homogeneous_normalization/bootstrap_summary,homogeneous_normalized_selected_gain,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
23,Relative entropy rank,"d_(rel,e,p,K)=r_ent(X_(e,p,K))/K",effective_diversity,relative_entropy_rank,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
24,Paired normalized cross-fitted gap,"L̃_(CF,e,p,K)=1/(SF) ∑_(s,f) [A_((s,f),j_ref_(-s))-A_((s,f),ĵ_((s,f)))]/G_(best,(s,f),hom,K)",add_paired_homogeneous_normalization/bootstrap_summary,homogeneous_normalized_cross_fitted_gap,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
25,Downstream selected-gain efficiency,"η_(down,u,p,K)=G_(sel,u,p,K)/T_(down,u,p,K)",_selection_record,downstream_efficiency_per_second,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
26,Selection entropy,H_sel=-∑_j q_j ln(q_j),selection_stability,candidate_selection_entropy,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
27,Normalized selection entropy,"H_(sel,norm)=H_sel/ln(K)",selection_stability,candidate_selection_entropy_normalized,1887cfcc0341cecb648197b41a7fd3c2e5bfb196aff3e0563c15e4d763270683
