candidate,representation,family,pool,pool_order
morgan512__linear,morgan512,linear,Classical multiview,1
morgan512__random_forest,morgan512,random_forest,Classical multiview,5
morgan512__lightgbm,morgan512,lightgbm,Classical multiview,9
maccs__linear,maccs,linear,Classical multiview,2
maccs__random_forest,maccs,random_forest,Classical multiview,6
maccs__lightgbm,maccs,lightgbm,Classical multiview,10
rdkit2d__linear,rdkit2d,linear,Classical multiview,3
rdkit2d__random_forest,rdkit2d,random_forest,Classical multiview,7
rdkit2d__lightgbm,rdkit2d,lightgbm,Classical multiview,11
multiview__linear,multiview,linear,Classical multiview,4
multiview__random_forest,multiview,random_forest,Classical multiview,8
multiview__lightgbm,multiview,lightgbm,Classical multiview,12
morgan512__extra_trees,morgan512,extra_trees,Classical multiview,13
morgan512__linear_alt,morgan512,linear_alt,Classical multiview,17
morgan512__random_forest_alt,morgan512,random_forest_alt,Classical multiview,21
morgan512__lightgbm_alt,morgan512,lightgbm_alt,Classical multiview,25
morgan512__xgboost,morgan512,xgboost,Classical multiview,29
maccs__extra_trees,maccs,extra_trees,Classical multiview,14
maccs__linear_alt,maccs,linear_alt,Classical multiview,18
maccs__random_forest_alt,maccs,random_forest_alt,Classical multiview,22
maccs__lightgbm_alt,maccs,lightgbm_alt,Classical multiview,26
maccs__xgboost,maccs,xgboost,Classical multiview,30
rdkit2d__extra_trees,rdkit2d,extra_trees,Classical multiview,15
rdkit2d__linear_alt,rdkit2d,linear_alt,Classical multiview,19
rdkit2d__random_forest_alt,rdkit2d,random_forest_alt,Classical multiview,23
rdkit2d__lightgbm_alt,rdkit2d,lightgbm_alt,Classical multiview,27
rdkit2d__xgboost,rdkit2d,xgboost,Classical multiview,31
multiview__extra_trees,multiview,extra_trees,Classical multiview,16
multiview__linear_alt,multiview,linear_alt,Classical multiview,20
multiview__random_forest_alt,multiview,random_forest_alt,Classical multiview,24
multiview__lightgbm_alt,multiview,lightgbm_alt,Classical multiview,28
multiview__xgboost,multiview,xgboost,Classical multiview,32
morgan512__linear,morgan512,linear,+ChemBERTa,1
morgan512__random_forest,morgan512,random_forest,+ChemBERTa,8
morgan512__lightgbm,morgan512,lightgbm,+ChemBERTa,16
maccs__linear,maccs,linear,+ChemBERTa,2
maccs__random_forest,maccs,random_forest,+ChemBERTa,10
maccs__lightgbm,maccs,lightgbm,+ChemBERTa,18
rdkit2d__linear,rdkit2d,linear,+ChemBERTa,4
rdkit2d__random_forest,rdkit2d,random_forest,+ChemBERTa,12
rdkit2d__lightgbm,rdkit2d,lightgbm,+ChemBERTa,20
multiview__linear,multiview,linear,+ChemBERTa,6
multiview__random_forest,multiview,random_forest,+ChemBERTa,14
multiview__lightgbm,multiview,lightgbm,+ChemBERTa,22
morgan512__extra_trees,morgan512,extra_trees,+ChemBERTa,23
morgan512__linear_alt,morgan512,linear_alt,+ChemBERTa,27
morgan512__random_forest_alt,morgan512,random_forest_alt,+ChemBERTa,31
maccs__extra_trees,maccs,extra_trees,+ChemBERTa,24
maccs__linear_alt,maccs,linear_alt,+ChemBERTa,28
maccs__random_forest_alt,maccs,random_forest_alt,+ChemBERTa,32
rdkit2d__extra_trees,rdkit2d,extra_trees,+ChemBERTa,25
rdkit2d__linear_alt,rdkit2d,linear_alt,+ChemBERTa,29
