candidate,representation,family,source,pool,pool_order
morgan512__linear,morgan512,linear,multiview_base,Classical multiview,1
maccs__linear,maccs,linear,multiview_base,Classical multiview,2
rdkit2d__linear,rdkit2d,linear,multiview_base,Classical multiview,3
multiview__linear,multiview,linear,multiview_base,Classical multiview,4
morgan512__random_forest,morgan512,random_forest,multiview_base,Classical multiview,5
maccs__random_forest,maccs,random_forest,multiview_base,Classical multiview,6
rdkit2d__random_forest,rdkit2d,random_forest,multiview_base,Classical multiview,7
multiview__random_forest,multiview,random_forest,multiview_base,Classical multiview,8
morgan512__lightgbm,morgan512,lightgbm,multiview_base,Classical multiview,9
maccs__lightgbm,maccs,lightgbm,multiview_base,Classical multiview,10
rdkit2d__lightgbm,rdkit2d,lightgbm,multiview_base,Classical multiview,11
multiview__lightgbm,multiview,lightgbm,multiview_base,Classical multiview,12
morgan512__extra_trees,morgan512,extra_trees,new_nested_candidates,Classical multiview,13
maccs__extra_trees,maccs,extra_trees,new_nested_candidates,Classical multiview,14
rdkit2d__extra_trees,rdkit2d,extra_trees,new_nested_candidates,Classical multiview,15
multiview__extra_trees,multiview,extra_trees,new_nested_candidates,Classical multiview,16
morgan512__linear_alt,morgan512,linear_alt,new_nested_candidates,Classical multiview,17
maccs__linear_alt,maccs,linear_alt,new_nested_candidates,Classical multiview,18
rdkit2d__linear_alt,rdkit2d,linear_alt,new_nested_candidates,Classical multiview,19
multiview__linear_alt,multiview,linear_alt,new_nested_candidates,Classical multiview,20
morgan512__random_forest_alt,morgan512,random_forest_alt,new_nested_candidates,Classical multiview,21
maccs__random_forest_alt,maccs,random_forest_alt,new_nested_candidates,Classical multiview,22
rdkit2d__random_forest_alt,rdkit2d,random_forest_alt,new_nested_candidates,Classical multiview,23
multiview__random_forest_alt,multiview,random_forest_alt,new_nested_candidates,Classical multiview,24
morgan512__lightgbm_alt,morgan512,lightgbm_alt,new_nested_candidates,Classical multiview,25
maccs__lightgbm_alt,maccs,lightgbm_alt,new_nested_candidates,Classical multiview,26
rdkit2d__lightgbm_alt,rdkit2d,lightgbm_alt,new_nested_candidates,Classical multiview,27
multiview__lightgbm_alt,multiview,lightgbm_alt,new_nested_candidates,Classical multiview,28
morgan512__xgboost,morgan512,xgboost,new_nested_candidates,Classical multiview,29
maccs__xgboost,maccs,xgboost,new_nested_candidates,Classical multiview,30
rdkit2d__xgboost,rdkit2d,xgboost,new_nested_candidates,Classical multiview,31
multiview__xgboost,multiview,xgboost,new_nested_candidates,Classical multiview,32
morgan512__linear,morgan512,linear,multiview_base,Homogeneous Morgan,1
hom::order01,morgan512,linear,homogeneous,Homogeneous Morgan,2
hom::order02,morgan512,linear,homogeneous,Homogeneous Morgan,3
hom::order03,morgan512,linear,homogeneous,Homogeneous Morgan,4
hom::order04,morgan512,linear,homogeneous,Homogeneous Morgan,5
hom::order05,morgan512,bagging,homogeneous,Homogeneous Morgan,6
hom::order06,morgan512,bagging,homogeneous,Homogeneous Morgan,7
hom::order07,morgan512,bagging,homogeneous,Homogeneous Morgan,8
hom::order08,morgan512,bagging,homogeneous,Homogeneous Morgan,9
hom::order09,morgan512,bagging,homogeneous,Homogeneous Morgan,10
hom::order10,morgan512,bagging,homogeneous,Homogeneous Morgan,11
hom::order11,morgan512,bagging,homogeneous,Homogeneous Morgan,12
hom::order12,morgan512,bagging,homogeneous,Homogeneous Morgan,13
hom::order13,morgan512,boosting,homogeneous,Homogeneous Morgan,14
hom::order14,morgan512,boosting,homogeneous,Homogeneous Morgan,15
hom::order15,morgan512,boosting,homogeneous,Homogeneous Morgan,16
hom::order16,morgan512,boosting,homogeneous,Homogeneous Morgan,17
