pool,task,task_type,candidate_count,selected_representation,selected_family,selected_count,selected_proportion
+ChemBERTa,bace,classification,16,morgan512,random_forest,3,0.2
+ChemBERTa,bace,classification,16,multiview,random_forest,10,0.6666666666666666
+ChemBERTa,bace,classification,16,rdkit2d,random_forest,2,0.13333333333333333
+ChemBERTa,bace,classification,32,morgan512,extra_trees,1,0.06666666666666667
+ChemBERTa,bace,classification,32,multiview,extra_trees,10,0.6666666666666666
+ChemBERTa,bace,classification,32,multiview,random_forest,3,0.2
+ChemBERTa,bace,classification,32,rdkit2d,extra_trees,1,0.06666666666666667
+ChemBERTa,bbbp,classification,16,multiview,random_forest,12,0.8
+ChemBERTa,bbbp,classification,16,rdkit2d,random_forest,3,0.2
+ChemBERTa,bbbp,classification,32,multiview,extra_trees,9,0.6
+ChemBERTa,bbbp,classification,32,multiview,random_forest,1,0.06666666666666667
+ChemBERTa,bbbp,classification,32,rdkit2d,extra_trees,5,0.3333333333333333
+ChemBERTa,clintox,classification,16,maccs,random_forest,7,0.4666666666666667
+ChemBERTa,clintox,classification,16,multiview,random_forest,5,0.3333333333333333
+ChemBERTa,clintox,classification,16,rdkit2d,random_forest,3,0.2
+ChemBERTa,clintox,classification,32,maccs,lightgbm,2,0.13333333333333333
+ChemBERTa,clintox,classification,32,multiview,lightgbm,13,0.8666666666666667
+ChemBERTa,esol,regression,16,chemberta_mtr,linear_sparse,1,0.06666666666666667
+ChemBERTa,esol,regression,16,rdkit2d,random_forest,14,0.9333333333333333
+ChemBERTa,esol,regression,32,multiview,lightgbm,5,0.3333333333333333
+ChemBERTa,esol,regression,32,rdkit2d,lightgbm,9,0.6
+ChemBERTa,esol,regression,32,rdkit2d,linear_alt,1,0.06666666666666667
+ChemBERTa,lipo,regression,16,rdkit2d,linear,5,0.3333333333333333
+ChemBERTa,lipo,regression,16,rdkit2d,random_forest,10,0.6666666666666666
+ChemBERTa,lipo,regression,32,multiview,lightgbm,15,1.0
+ChemBERTa,tdc_caco2_wang,regression,16,multiview,random_forest,4,0.26666666666666666
+ChemBERTa,tdc_caco2_wang,regression,16,rdkit2d,linear,4,0.26666666666666666
+ChemBERTa,tdc_caco2_wang,regression,16,rdkit2d,random_forest,7,0.4666666666666667
+ChemBERTa,tdc_caco2_wang,regression,32,multiview,extra_trees,1,0.06666666666666667
+ChemBERTa,tdc_caco2_wang,regression,32,multiview,lightgbm,3,0.2
+ChemBERTa,tdc_caco2_wang,regression,32,rdkit2d,extra_trees,1,0.06666666666666667
+ChemBERTa,tdc_caco2_wang,regression,32,rdkit2d,lightgbm,8,0.5333333333333333
+ChemBERTa,tdc_caco2_wang,regression,32,rdkit2d,linear_alt,2,0.13333333333333333
+D-MPNN,bace,classification,16,morgan512,extra_trees,4,0.26666666666666666
+D-MPNN,bace,classification,16,morgan512,random_forest,1,0.06666666666666667
+D-MPNN,bace,classification,16,multiview,random_forest,4,0.26666666666666666
+D-MPNN,bace,classification,16,rdkit2d,extra_trees,6,0.4
+D-MPNN,bace,classification,32,morgan512,extra_trees,1,0.06666666666666667
+D-MPNN,bace,classification,32,multiview,extra_trees,9,0.6
