design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap
component_ablation,+ChemBERTa,bace,classification,11,1,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,morgan512__lightgbm,0.8123060053981106,0.8816717273954117,0.8824477058029689,0.07014170040485834,0.06936572199730107,0.0007759784075572762,0.10029520917678802,0.007736943907078754,0,-0.23076923076923078,4,0.25,0.21129556207681208,0.0490734374781816,10.431920900591646,0.006649371928555075,23.93773894279827,0.9889369889369901,multiview__random_forest,0.8816717273954117,0.0
component_ablation,+ChemBERTa,bace,classification,11,1,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.8123060053981106,0.8849021592442645,0.8849021592442645,0.07259615384615392,0.07259615384615392,0.0,0.1027496626180836,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,44.4145525007043,0.0016345127837323753,5.884246021436551,1.0,multiview__extra_trees,0.8849021592442645,0.0
component_ablation,+ChemBERTa,bace,classification,11,2,16,16,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,multiview__random_forest,0.8140691059032309,0.8775444960592934,0.8910172764758078,0.07694817057257686,0.06347539015606252,0.01347278041651434,0.07961662926039981,0.16922068343637214,1,1.0,2,0.5,0.21129556207681208,0.3660489583187877,9.491039200162046,0.00668792835193208,24.07654206695549,0.8249109716805167,multiview__random_forest,0.8910172764758078,0.01347278041651434
component_ablation,+ChemBERTa,bace,classification,11,2,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.8140691059032309,0.8921981836212746,0.8921981836212746,0.07812907771804367,0.07812907771804367,0.0,0.08079753640586662,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,48.83929870062275,0.0015997174365046207,5.758982771416634,1.0,multiview__extra_trees,0.8921981836212746,0.0
component_ablation,+ChemBERTa,bace,classification,11,3,16,16,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,morgan512__lightgbm,0.7952669902912621,0.8579070201643016,0.8802744585511575,0.08500746825989536,0.06264002987303952,0.022367438386855842,0.09646191187453312,0.23187844768945723,0,-0.23076923076923078,5,0.2,0.21129556207681208,-0.014321666689939613,10.854682899778707,0.005770783951166049,20.774822224197777,0.7368767845376675,multiview__random_forest,0.87567214339059,0.017765123226288315
component_ablation,+ChemBERTa,bace,classification,11,3,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.7952669902912621,0.8914861837191932,0.8914861837191932,0.09621919342793106,0.09621919342793106,0.0,0.10767363704256883,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,57.07691669953056,0.0016857812052892907,6.068812339041446,1.0,multiview__extra_trees,0.8914861837191932,0.0
component_ablation,+ChemBERTa,bace,classification,23,1,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,rdkit2d__random_forest,0.8250503307448951,0.9003019844693702,0.901926948518838,0.07687661777394295,0.07525165372447506,0.0016249640494678808,0.1026315789473683,0.015832983045943046,0,-0.23076923076923078,4,0.25,0.21129556207681208,0.0490734374781816,11.689197699539363,0.00643770904203635,23.17575255133086,0.9788627010849239,multiview__random_forest,0.9003019844693702,0.0
component_ablation,+ChemBERTa,bace,classification,23,1,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,rdkit2d__random_forest,0.8250503307448951,0.9009059534081104,0.901926948518838,0.07687661777394295,0.07585562266321533,0.0010209951107276183,0.1026315789473683,0.009948157489043976,0,-0.10344827586206896,8,0.125,0.12682797485739125,-0.002093487657363624,57.055545399314724,0.0013295048208254688,4.786217354971688,0.9867190422745981,multiview__extra_trees,0.9009059534081104,0.0
component_ablation,+ChemBERTa,bace,classification,23,2,16,16,shared_morgan_linear,morgan512__random_forest,morgan512,random_forest,multiview__random_forest,0.728133608815427,0.8404417552144825,0.8444571526957891,0.11632354388036215,0.11230814639905551,0.004015397481306637,0.135810212514758,0.02956624105746637,1,1.0,3,0.3333333333333333,0.21129556207681208,0.15473194442505028,9.717477799800688,0.011557335011494342,41.606406041379635,0.9654807844795681,multiview__random_forest,0.8444571526957891,0.004015397481306637
component_ablation,+ChemBERTa,bace,classification,23,2,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.728133608815427,0.8510182998819362,0.8510182998819362,0.12288469106650923,0.12288469106650923,0.0,0.1423713597009051,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,54.72805979975965,0.0022453690395040993,8.083328542214758,1.0,multiview__extra_trees,0.8510182998819362,0.0
component_ablation,+ChemBERTa,bace,classification,23,3,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,morgan512__random_forest,0.8399994940295488,0.8777954867435743,0.8879781420765027,0.04797864804695395,0.03779599271402556,0.010182655332928392,0.07938043918235171,0.128276631342498,0,-0.23076923076923078,4,0.25,0.21129556207681208,0.0490734374781816,10.109960099682208,0.0037384907894160357,13.45856684189773,0.7877669390983421,multiview__random_forest,0.8777954867435743,0.0
component_ablation,+ChemBERTa,bace,classification,23,3,32,32,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.8399994940295488,0.8777954867435743,0.8939169702489375,0.053917476219388694,0.03779599271402556,0.016121483505363132,0.08531926735478645,0.18895478131727947,1,1.0,2,0.5,0.12682797485739125,0.4273751499100779,40.11897629959276,0.0009420976355872077,3.3915514881139477,0.7009970674486827,multiview__extra_trees,0.8939169702489375,0.016121483505363132
component_ablation,+ChemBERTa,bace,classification,37,1,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,morgan512__random_forest,0.7952365451388889,0.8333333333333334,0.8430230034722221,0.04778645833333328,0.03809678819444451,0.009689670138888773,0.07306857638888875,0.1326106326088164,0,-0.23076923076923078,4,0.25,0.21129556207681208,0.0490734374781816,10.87260329996934,0.0035039251542040477,12.614130555134572,0.7972297910990032,multiview__random_forest,0.8333333333333334,0.0
component_ablation,+ChemBERTa,bace,classification,37,1,32,32,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.7952365451388889,0.8333333333333334,0.849609375,0.05437282986111114,0.03809678819444451,0.01627604166666663,0.07965494791666661,0.20433183489731185,1,1.0,2,0.5,0.12682797485739125,0.4273751499100779,52.05842339992523,0.0007318083358340664,2.6345100090026397,0.7006585511873886,multiview__extra_trees,0.849609375,0.01627604166666663
component_ablation,+ChemBERTa,bace,classification,37,2,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,morgan512__random_forest,0.808972738176278,0.8976628091672338,0.9004829978281305,0.09151025965185244,0.08869007099095583,0.0028201886608966165,0.15957297373226575,0.017673347778870772,1,1.0,2,0.5,0.21129556207681208,0.3660489583187877,10.10283290024381,0.00877873284322217,31.603438235599814,0.9691817215727949,multiview__random_forest,0.8976628091672338,0.0
component_ablation,+ChemBERTa,bace,classification,37,2,32,32,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.808972738176278,0.8976628091672338,0.9078576290965672,0.09888489092028918,0.08869007099095583,0.010194819929333354,0.1669476050007025,0.061065984919216956,0,-0.10344827586206896,4,0.25,0.12682797485739125,0.1410627248651169,55.326235700107645,0.0016030382307535749,5.770937630712869,0.896902147188984,multiview__extra_trees,0.9078576290965672,0.010194819929333354
component_ablation,+ChemBERTa,bace,classification,37,3,16,16,shared_morgan_linear,morgan512__random_forest,morgan512,random_forest,multiview__random_forest,0.8162806365854547,0.8747678356822901,0.8809497796715103,0.06466914308605565,0.05848719909683542,0.006181943989220229,0.10051349284387645,0.06150362318779319,1,1.0,2,0.5,0.21129556207681208,0.3660489583187877,11.404143299732823,0.005128592087948041,18.462931516612947,0.9044065887653115,multiview__random_forest,0.8809497796715103,0.006181943989220229
component_ablation,+ChemBERTa,bace,classification,37,3,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.8162806365854547,0.8882606795586147,0.8882606795586147,0.07198004297315996,0.07198004297315996,0.0,0.10782439273098077,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,58.61983970005531,0.001227912654511951,4.420485556243023,1.0,multiview__extra_trees,0.8882606795586147,0.0
component_ablation,+ChemBERTa,bace,classification,53,1,16,16,shared_morgan_linear,morgan512__random_forest,morgan512,random_forest,morgan512__random_forest,0.8148339160839161,0.8931905594405595,0.8931905594405595,0.07835664335664339,0.07835664335664339,0.0,0.09416083916083928,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,10.97087100043427,0.007142244526760156,25.712080296336563,1.0,multiview__random_forest,0.8843356643356645,-0.00885489510489501
component_ablation,+ChemBERTa,bace,classification,53,1,32,32,shared_morgan_linear,morgan512__extra_trees,morgan512,extra_trees,multiview__extra_trees,0.8148339160839161,0.8896066433566434,0.8946503496503496,0.07981643356643353,0.07477272727272732,0.005043706293706207,0.09562062937062943,0.05274705183233892,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,52.79915280028945,0.001416172860870552,5.098222299133987,0.936808673748769,multiview__extra_trees,0.8946503496503496,0.005043706293706207
