pool,task,task_type,candidate_count,common_prefix_candidate_count,transformation,n_outer_units,entropy_rank,participation_rank,median_correlation,ledoit_wolf_shrinkage_alpha,eigenvalue_probability_json,relative_entropy_rank,definition_note
Classical multiview,bace,classification,16,15,raw,15,5.726636913100572,2.9936581735634826,0.5294901229083655,0.2261094671639173,"[0.015073964477594499, 0.015180317878501248, 0.015424503171265345, 0.0156545895062333, 0.01610218664757329, 0.01716778995766643, 0.017833464301051354, 0.02161249684518232, 0.022870366671489506, 0.029910664550072144, 0.039082921812008654, 0.0487004208829995, 0.056917231878529914, 0.11087637022667349, 0.557592711193159]",0.3817757942067048,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bace,classification,16,15,row_centred,15,11.298533896626799,8.490643654765599,-0.058617614738955416,0.44164997312207216,"[0.0294433315414715, 0.029446326742820057, 0.03002116593520608, 0.03071009032000027, 0.03141384329094373, 0.03413962503080857, 0.03614289990519791, 0.04148696058196348, 0.04439716923674276, 0.0504791848715348, 0.057440410185764346, 0.09264479634136294, 0.1073261891246465, 0.133205412899953, 0.25170259399158407]",0.7532355931084532,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bace,classification,16,15,within_unit_rank,15,13.007365833529228,11.154851179529409,-0.04707411491162397,0.5704487014314312,"[0.038029913428762115, 0.03812080726163872, 0.03855100454637308, 0.03962575721097126, 0.03979507253429801, 0.043399063037038325, 0.044383033679798185, 0.05054964161318189, 0.05438365793979526, 0.05554278365067765, 0.06349430071388809, 0.09004432169103611, 0.10218417472286437, 0.12352047412089928, 0.17837599384877775]",0.8671577222352819,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bace,classification,32,27,raw,15,6.237443223478217,2.763207047456333,0.5763969092542207,0.18424157393618093,"[0.0068237619976363, 0.006823761997636307, 0.006823761997636312, 0.006823761997636314, 0.00682376199763632, 0.006823761997636324, 0.006823761997636325, 0.00682376199763633, 0.006823761997636339, 0.006823761997636344, 0.006823761997636348, 0.0068237619976363505, 0.00682376199763639, 0.007360174464761477, 0.007455863541324754, 0.008152443215395563, 0.008830889324255282, 0.01026671245027324, 0.011014749074744956, 0.014917208071930796, 0.019652418572399362, 0.021667325433079875, 0.02553152757670421, 0.04303504660219407, 0.04880177866038896, 0.09683722466155673, 0.5877677323817184]",0.23101641568437842,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bace,classification,32,27,row_centred,15,15.835697398075405,9.426335201220446,-0.04102882863891796,0.38047928500115,"[0.014091825370412942, 0.014091825370412944, 0.014091825370412953, 0.01409182537041296, 0.014091825370412963, 0.014091825370412965, 0.014091825370412965, 0.014091825370412968, 0.014091825370412977, 0.01409182537041298, 0.01409182537041299, 0.01409182537041299, 0.014091825370413003, 0.01576796076690194, 0.01636505765710023, 0.01718764633750132, 0.019251400847072178, 0.0233744870615083, 0.024717590629046007, 0.027928612244332292, 0.03875416584640201, 0.04391123437617357, 0.05464170047927909, 0.07075909679001764, 0.09173953662107798, 0.1113645384077948, 0.2610432421204241]",0.5865073110398298,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bace,classification,32,27,within_unit_rank,15,22.869061071745286,18.863934462567713,-0.022294839144976545,0.622073251801106,"[0.023039750066707585, 0.0230397500667076, 0.023039750066707606, 0.023039750066707606, 0.023039750066707616, 0.023039750066707623, 0.023039750066707623, 0.023039750066707634, 0.023039750066707637, 0.02303975006670764, 0.02303975006670764, 0.023039750066707648, 0.023039750066707658, 0.024967190012500626, 0.025152395047282464, 0.027015887424225293, 0.028613877294086553, 0.02988569519714682, 0.03212761676866044, 0.03709053000187198, 0.03926927025943378, 0.045549573013087305, 0.054124313364481036, 0.06821852088612157, 0.0748498589208677, 0.09292090152602793, 0.12069761941700735]",0.8470022619164921,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bbbp,classification,16,15,raw,15,3.3562817590528393,1.8824038858186116,0.737535935978312,0.10002868274969781,"[0.006668578849979855, 0.0066916851952562315, 0.006772690421959509, 0.006862408503144656, 0.007133411083427152, 0.008038755412200732, 0.008829870323692908, 0.00986037615910821, 0.013345865084707214, 0.016058874308336503, 0.023950604761968402, 0.028847357257850845, 0.05267271037116611, 0.08375945699215168, 0.72050735527505]",0.2237521172701893,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bbbp,classification,16,15,row_centred,15,12.337239711604806,10.050830065640874,-0.018843741959355113,0.5196431171188081,"[0.0346428744745872, 0.03464388618399797, 0.03484884297257553, 0.03532881712445081, 0.03640678559369782, 0.036611242030424186, 0.04220548392599754, 0.04671299296481532, 0.04928477462483253, 0.06273053636597473, 0.06294474751085721, 0.0766306955365882, 0.09773589099734507, 0.1495783006470799, 0.19969412904677586]",0.8224826474403204,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bbbp,classification,16,15,within_unit_rank,15,13.992847210081717,12.887500306248333,-0.020146102069922175,0.6952589896580708,"[0.046350599310538046, 0.046350810852264376, 0.046842717943173046, 0.047491084323232506, 0.0490217025440699, 0.05089424782118906, 0.05238835862841199, 0.05514486685348434, 0.05735001440820044, 0.062149021602094165, 0.07169521798621616, 0.08184092004360433, 0.08467503984400583, 0.0993465004063448, 0.14845889743317087]",0.9328564806721145,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bbbp,classification,32,28,raw,15,3.600101467451833,1.8435446477987578,0.7420925640349373,0.09055310597913932,"[0.0032340394992549392, 0.0032340394992549475, 0.003234039499254953, 0.0032340394992549587, 0.0032340394992549626, 0.0032340394992549674, 0.0032340394992549704, 0.0032340394992549752, 0.003234039499254981, 0.0032340394992549848, 0.0032340394992549882, 0.0032340394992549934, 0.003234039499254997, 0.00323403949925509, 0.0038079830758110168, 0.0038970957223255984, 0.004488839592576722, 0.004672574526976883, 0.00569588771840154, 0.005856363644067115, 0.006403532532630427, 0.009143831957366172, 0.011078499817578656, 0.020465679952732293, 0.025826598909952564, 0.04787226740906236, 0.07557458048623361, 0.7299397116647153]",0.12857505240899403,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bbbp,classification,32,28,row_centred,15,17.513865394497714,11.052222214053678,-0.025727425381565677,0.4299919195936716,"[0.015356854271202538, 0.015356854271202538, 0.015356854271202548, 0.01535685427120255, 0.015356854271202555, 0.015356854271202555, 0.015356854271202562, 0.015356854271202562, 0.015356854271202567, 0.015356854271202569, 0.015356854271202574, 0.015356854271202576, 0.01535685427120258, 0.015356854271202586, 0.016641567893829177, 0.018435655492445472, 0.018979679072616367, 0.02136950263321716, 0.022659131462677926, 0.0274388236268869, 0.028307650637138825, 0.029817794992512994, 0.037676122793371965, 0.04609466558975293, 0.06779093863575383, 0.0857371707666025, 0.15934942518570155, 0.20470591142065667]",0.6254951926606326,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,bbbp,classification,32,28,within_unit_rank,15,22.80562861329933,17.46896536939784,-0.012054520199920947,0.6020364718434819,"[0.021501302565838612, 0.021501302565838626, 0.02150130256583863, 0.021501302565838633, 0.02150130256583864, 0.02150130256583864, 0.02150130256583864, 0.021501302565838643, 0.021501302565838647, 0.021501302565838657, 0.021501302565838668, 0.021501302565838668, 0.02150130256583868, 0.02150130256583868, 0.024829544867295057, 0.0258968170715828, 0.02657981126519562, 0.027660517461343806, 0.02986774360364207, 0.03242934932143014, 0.037254620157398, 0.04019241351805133, 0.04201414496761547, 0.04489895333398783, 0.05773114032093445, 0.06493178181815575, 0.09236131488012482, 0.1523336114915019]",0.8144867361892618,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,clintox,classification,16,15,raw,15,8.411305517342596,4.72749410696882,0.40250936814676075,0.3484879067838139,"[0.023232527118920945, 0.023503135446032816, 0.02415385372862502, 0.02510053129900861, 0.026280016354246295, 0.026911743526478335, 0.03300319391596046, 0.03427017482573352, 0.03680449790507784, 0.041490705035435047, 0.047174012104741904, 0.05756893768877786, 0.08347496223091701, 0.0907364713988312, 0.4262952374212131]",0.5607537011561731,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,clintox,classification,16,15,row_centred,15,14.908359756625154,14.810641351267508,-0.0010870632361052546,0.8996010239331382,"[0.059973401595542535, 0.06004419110163277, 0.06025765005873121, 0.0606079874507774, 0.06074340113892938, 0.06167032989753671, 0.0629244440894, 0.06356351723514574, 0.06515562798096912, 0.06671771109134232, 0.06880986499702564, 0.07088583405738193, 0.07407406505889277, 0.07811733413670913, 0.08645464010998333]",0.993890650441677,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,clintox,classification,16,15,within_unit_rank,15,14.955973110726843,14.909972028384644,-0.005071305691135989,0.9309234301410215,"[0.06206156200940145, 0.062062084092137614, 0.062193924477090184, 0.06248448997282996, 0.06282797270880754, 0.06334143105342602, 0.06379680869148512, 0.06409891553628166, 0.06483555068928445, 0.06698570279685703, 0.06918895691005605, 0.06957226969865031, 0.07137480390932976, 0.07635358431644418, 0.07882194313791867]",0.9970648740484562,effective rank of the candidate prefix common to all budget-matched outer units
Classical multiview,clintox,classification,32,29,raw,15,12.112920355996152,5.13657301094219,0.4088739326321459,0.35394318876390846,"[0.012204937543582983, 0.012204937543583028, 0.012204937543583035, 0.012204937543583037, 0.012204937543583042, 0.012204937543583042, 0.012204937543583046, 0.012204937543583047, 0.01220493754358305, 0.012204937543583051, 0.012204937543583061, 0.012204937543583061, 0.012204937543583065, 0.012204937543583072, 0.012204937543583098, 0.013864192937053743, 0.014291158985570067, 0.01592471322991743, 0.016789400288775607, 0.019513185371627797, 0.02155001015621774, 0.02314382040483955, 0.023714768641443593, 0.026682977622530038, 0.04042228425176145, 0.04981248833491569, 0.05819459918785731, 0.0735611120030083, 0.419461225430736]",0.4176869088274535,effective rank of the candidate prefix common to all budget-matched outer units
