task,candidate_count,comparison,metric,mean_paired_difference,positive_seed_means,negative_seed_means
clintox,4,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.024741509654477446,4,1
clintox,4,Classical multiview - Homogeneous Morgan,selected_model_gain,-0.003145696805369425,2,3
clintox,4,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.018027726923046793,4,1
clintox,4,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
clintox,4,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,-0.881159420289855,0,5
clintox,4,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.003957947346416879,3,2
clintox,4,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.0027629057518200545,3,2
clintox,4,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.0,0,0
clintox,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
clintox,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.18550724637681162,0,2
clintox,8,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.05192651044682187,5,0
clintox,8,Classical multiview - Homogeneous Morgan,selected_model_gain,0.05332791955480688,5,0
clintox,8,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0025683560603361037,3,2
clintox,8,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.10666666666666666,2,1
clintox,8,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.038704830591240316,2,3
clintox,8,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.003810670380467257,3,2
clintox,8,Modern-augmented - Homogeneous Morgan,selected_model_gain,-0.016075687964085955,1,4
clintox,8,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.028736028296111236,5,0
clintox,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.10666666666666666,2,1
clintox,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.21876643377657573,0,5
clintox,16,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.07200033085946851,5,0
clintox,16,Classical multiview - Homogeneous Morgan,selected_model_gain,0.0850769009769748,5,0
clintox,16,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0002751160155053976,2,3
clintox,16,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.7384615384615385,5,0
clintox,16,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.6454560791043157,5,0
clintox,16,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.04317256363748771,5,0
clintox,16,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.05138233171304696,5,0
clintox,16,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,-0.008246469619596245,2,3
clintox,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.5743589743589744,4,0
clintox,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.3812091845876707,5,0
clintox,32,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.06392852979635252,5,0
clintox,32,Classical multiview - Homogeneous Morgan,selected_model_gain,0.06929303137035964,5,0
clintox,32,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,-0.00045595361119746443,2,3
clintox,32,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.367816091954023,3,1
clintox,32,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.1501825039730788,3,2
clintox,32,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.0603315930682569,5,0
