pool,task,metric,contrast,scaffold_change,similarity_cluster_change,same_direction
Classical multiview,bace,oracle_opportunity_gain_mean,K32-K4,0.048970966813541086,0.05314175439849826,True
Classical multiview,bace,oracle_opportunity_gain_mean,K32-K16,0.0004760339080139564,0.0011467259071194502,True
Classical multiview,bace,selected_model_gain_mean,K32-K4,0.06052728654718812,0.08382494528638611,True
Classical multiview,bace,selected_model_gain_mean,K32-K16,-0.0015424061934309896,-0.003241949347947415,True
Classical multiview,bace,chance_adjusted_hit3_mean,K32-K4,0.09195402298850575,-0.496551724137931,False
Classical multiview,bace,chance_adjusted_hit3_mean,K32-K16,0.050928381962864755,-0.04526967285587975,False
Classical multiview,bace,cross_fitted_selection_gap_mean,K32-K4,-0.012085468484779796,-0.05539450587847926,True
Classical multiview,bace,cross_fitted_selection_gap_mean,K32-K16,0.0015424061934309857,0.0032419493479474357,True
Classical multiview,clintox,oracle_opportunity_gain_mean,K32-K4,0.08322296896764843,0.08643839476595715,True
Classical multiview,clintox,oracle_opportunity_gain_mean,K32-K16,0.0035969367280956344,0.0032448653639789993,True
Classical multiview,clintox,selected_model_gain_mean,K32-K4,0.09473921184659817,0.10057491702228542,True
Classical multiview,clintox,selected_model_gain_mean,K32-K16,-0.003972594806934765,-0.0018950737441042753,True
Classical multiview,clintox,chance_adjusted_hit3_mean,K32-K4,-0.5885057471264368,-0.5885057471264368,True
Classical multiview,clintox,chance_adjusted_hit3_mean,K32-K16,-0.4244031830238727,-0.3423519009725907,True
Classical multiview,clintox,cross_fitted_selection_gap_mean,K32-K4,-0.009287121664450986,-0.012873087769209611,True
Classical multiview,clintox,cross_fitted_selection_gap_mean,K32-K16,0.003972594806934742,0.0018950737441042775,True
Classical multiview,esol,oracle_opportunity_gain_mean,K32-K4,0.05820408141011102,0.12035981044337785,True
Classical multiview,esol,oracle_opportunity_gain_mean,K32-K16,0.015515236973589364,0.004574014902805068,True
Classical multiview,esol,selected_model_gain_mean,K32-K4,-0.022578296423215072,0.1029474102597403,False
