endpoint,task_type,seed,outer_fold,inner_fold,split_regime,outer_split_type,inner_split_type,train_n,validation_n,test_n,train_scaffold_n,validation_scaffold_n,test_scaffold_n,group_definition,train_group_n,validation_group_n,test_group_n,target_mean,target_sd,target_range,train_target_mean,train_target_sd,train_target_min,train_target_max,train_target_range,validation_target_mean,validation_target_sd,validation_target_min,validation_target_max,validation_target_range,test_target_mean,test_target_sd,test_target_min,test_target_max,test_target_range,outer_split_hash,split_hash,no_scaffold_overlap,no_group_overlap,max_train_validation_tanimoto,max_train_test_tanimoto,max_validation_test_tanimoto
clintox,classification,11,1,1,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,657,329,494,458,222,346,Morgan-512 connected components at Tanimoto >= 0.70,531,267,401,0.0769230769230769,0.2667394709998809,1.0,0.0745814307458143,0.2629149156787504,0.0,1.0,1.0,0.0759878419452887,0.2653822826589824,0.0,1.0,1.0,0.0769230769230769,0.2667394709998809,0.0,1.0,1.0,e20386eb8f2d8243cc39425ffe8bb9d57208ac24791c06ce9af2cd281faddbfa,cfa6a8a3318c3212fdff487432aab6f182a62abd87501b3316c6c597450e4e83,False,True,0.698113203048706,0.698113203048706,0.6984127163887024
clintox,classification,11,1,2,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,658,328,494,442,232,346,Morgan-512 connected components at Tanimoto >= 0.70,533,265,401,0.0769230769230769,0.2667394709998809,1.0,0.0759878419452887,0.2651802405416405,0.0,1.0,1.0,0.073170731707317,0.2608144292024444,0.0,1.0,1.0,0.0769230769230769,0.2667394709998809,0.0,1.0,1.0,e20386eb8f2d8243cc39425ffe8bb9d57208ac24791c06ce9af2cd281faddbfa,56ed4b2e37c90bcbc20106894ea6803ac8d9a77de8811be5aa2c1b5c98f90916,False,True,0.695652186870575,0.6984127163887024,0.695652186870575
clintox,classification,11,1,3,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,657,329,494,433,249,346,Morgan-512 connected components at Tanimoto >= 0.70,532,266,401,0.0769230769230769,0.2667394709998809,1.0,0.0745814307458143,0.2629149156787504,0.0,1.0,1.0,0.0759878419452887,0.2653822826589823,0.0,1.0,1.0,0.0769230769230769,0.2667394709998809,0.0,1.0,1.0,e20386eb8f2d8243cc39425ffe8bb9d57208ac24791c06ce9af2cd281faddbfa,ccded231f2a65f366f928d1d0f421eeac4e37cf8f7e0c281d1978f0e3b00c52b,False,True,0.698113203048706,0.6984127163887024,0.698113203048706
clintox,classification,11,2,1,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,658,329,493,442,231,341,Morgan-512 connected components at Tanimoto >= 0.70,534,266,399,0.075050709939148,0.2637407715499198,1.0,0.0759878419452887,0.2651802405416405,0.0,1.0,1.0,0.0759878419452887,0.2653822826589824,0.0,1.0,1.0,0.075050709939148,0.2637407715499198,0.0,1.0,1.0,aabe37bb157f3799122372a18f0a4c0a60b4c46b6cc11cc0b1ca43a67809a314,76101ce58591fb30d4d9ce42428d184dee5848aecafc51369bd6adfc5ac00efe,False,True,0.692307710647583,0.6944444179534912,0.6984127163887024
clintox,classification,11,2,2,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,658,329,493,436,230,341,Morgan-512 connected components at Tanimoto >= 0.70,533,267,399,0.075050709939148,0.2637407715499198,1.0,0.0759878419452887,0.2651802405416405,0.0,1.0,1.0,0.0759878419452887,0.2653822826589824,0.0,1.0,1.0,0.075050709939148,0.2637407715499198,0.0,1.0,1.0,aabe37bb157f3799122372a18f0a4c0a60b4c46b6cc11cc0b1ca43a67809a314,e9993009bc2580fdf56e3e38c9efb379aff41a10577cbed6bda1264e65d43a6f,False,True,0.698113203048706,0.6984127163887024,0.6901408433914185
clintox,classification,11,2,3,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,658,329,493,440,235,341,Morgan-512 connected components at Tanimoto >= 0.70,533,267,399,0.075050709939148,0.2637407715499198,1.0,0.0759878419452887,0.2651802405416405,0.0,1.0,1.0,0.0759878419452887,0.2653822826589824,0.0,1.0,1.0,0.075050709939148,0.2637407715499198,0.0,1.0,1.0,aabe37bb157f3799122372a18f0a4c0a60b4c46b6cc11cc0b1ca43a67809a314,609ed6a4d04e982304def35d6878423f3bb192d9d062713e790149e7b689f10c,False,True,0.698113203048706,0.6984127163887024,0.6944444179534912
clintox,classification,11,3,1,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,658,329,493,437,245,339,Morgan-512 connected components at Tanimoto >= 0.70,533,267,399,0.075050709939148,0.2637407715499198,1.0,0.0759878419452887,0.2651802405416405,0.0,1.0,1.0,0.0759878419452887,0.2653822826589824,0.0,1.0,1.0,0.075050709939148,0.2637407715499198,0.0,1.0,1.0,cad1ca296996f79710c228f89c98fae8183224b7e4be08cf1c524c6163cfff42,25c47043a9a9ca0bdc7c9a54291e8eb767058858d5ac71b2e0f0d9e83b8cea21,False,True,0.692307710647583,0.695652186870575,0.698113203048706
clintox,classification,11,3,2,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,658,329,493,456,227,339,Morgan-512 connected components at Tanimoto >= 0.70,534,266,399,0.075050709939148,0.2637407715499198,1.0,0.0759878419452887,0.2651802405416405,0.0,1.0,1.0,0.0759878419452887,0.2653822826589824,0.0,1.0,1.0,0.075050709939148,0.2637407715499198,0.0,1.0,1.0,cad1ca296996f79710c228f89c98fae8183224b7e4be08cf1c524c6163cfff42,3ba2260b77f2c5ad32563361a55329dc62396271c895a8c1dbe7640ac6f9d003,False,True,0.6944444179534912,0.698113203048706,0.695652186870575
clintox,classification,11,3,3,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,658,329,493,448,238,339,Morgan-512 connected components at Tanimoto >= 0.70,533,267,399,0.075050709939148,0.2637407715499198,1.0,0.0759878419452887,0.2651802405416405,0.0,1.0,1.0,0.0759878419452887,0.2653822826589824,0.0,1.0,1.0,0.075050709939148,0.2637407715499198,0.0,1.0,1.0,cad1ca296996f79710c228f89c98fae8183224b7e4be08cf1c524c6163cfff42,d543324df2a5a96fa85ea605989fc98aadb21afe3bde18e683fd93c06b81f424,False,True,0.6944444179534912,0.698113203048706,0.695652186870575
bace,classification,11,1,1,similarity_cluster,seeded_stratified_similarity_component_balanced,seeded_stratified_similarity_component_balanced,673,336,504,294,153,247,Morgan-512 connected components at Tanimoto >= 0.70,107,55,79,0.4563492063492063,0.498585838197455,1.0,0.4576523031203566,0.4985739942440874,0.0,1.0,1.0,0.4553571428571428,0.4987457616409361,0.0,1.0,1.0,0.4563492063492063,0.498585838197455,0.0,1.0,1.0,4aa784575c07967a0492884fec067ed73e94e95208bc505b3d57e845ab1e7b06,83d7e799d662eb2d9c3da7ab64ef36c7cc37668d65e275c71157ac2c1ef30eec,False,True,0.6984127163887024,0.6987951993942261,0.6976743936538696
