pool,task,task_type,candidate_count,oracle_opportunity_gain_mean,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_low,selected_model_gain_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,chance_adjusted_hit3_mean,chance_adjusted_mrr_mean,audit_fit_seconds_mean,entropy_rank,participation_rank,relative_entropy_rank,ledoit_wolf_shrinkage_alpha
+ChemBERTa,bace,classification,16,0.0790120278432789,0.0722979598957285,0.0862084367408999,0.073809351188457,0.0652078974153885,0.08299591182353,0.0021720233338956,-0.0011806526806526,0.0066597103278418,0.5076923076923077,0.3641705848619544,10.656196640039948,5.718280168253621,2.9230566248308087,0.3573925105158513,0.2071859473217551
+D-MPNN,bace,classification,16,0.0814455170594867,0.0745229087302005,0.0886193608270468,0.0729274664665695,0.0657186896045382,0.0830592011022026,0.0003373378310564,-0.0001796572967098,0.0009660219506316,0.2615384615384615,0.1069340484252763,121.7014213332984,6.543508351582595,3.400905897791005,0.4089692719739122,0.2344733827787771
+MoLFormer,bace,classification,16,0.0798041285377233,0.0747212175601542,0.0862553923219923,0.073809351188457,0.0657910795636555,0.08299591182353,0.0021720233338956,-0.0012355926901381,0.0065152738939809,0.5076923076923077,0.3443500857232922,36.36690848668804,6.131375458303131,3.252801539458927,0.3832109661439457,0.216889893980159
Classical multiview,bace,classification,16,0.0839183830766564,0.0784224334210433,0.0901720052038025,0.0793096932051392,0.0715959684610434,0.0868788479994614,0.0035019619747853,0.0009886975164752,0.0066951631013383,0.5076923076923077,0.4492035754743753,12.250959293338624,5.6069283398867,2.8594545583487125,0.3504330212429187,0.2156670974636858
Full modern-augmented,bace,classification,16,0.079639128035472,0.0745562170579028,0.0861614811598076,0.073809351188457,0.0652078974153885,0.08299591182353,0.0021720233338956,-0.0012355926901381,0.0066597103278418,0.7538461538461539,0.4881432330129471,121.99643074663666,6.650317259049936,3.4838286753509653,0.4156448286906209,0.22768759795216
+ChemBERTa,bace,classification,32,0.0839183830766564,0.0784224334210433,0.0901970482118267,0.0793096932051392,0.0715959684610434,0.0868788479994614,0.0035019619747853,0.0009886975164752,0.0066951631013383,0.5586206896551724,0.4941813824205688,50.97821018004324,7.661891595246251,3.1504085371831603,0.2394341123514453,0.2029528581936423
+D-MPNN,bace,classification,32,0.0843944169846704,0.0787513981166161,0.0908293697482362,0.0777672870117082,0.070512633158091,0.0861208513553462,0.0050443681682163,0.002000533215014,0.0080882031214187,0.632183908045977,0.3603292908389433,149.67342039998624,6.693811479491249,2.813197495147178,0.2091816087341015,0.1764454576746479
+MoLFormer,bace,classification,32,0.0847474262439297,0.0795679417224378,0.0908293697482362,0.0777672870117082,0.070397755510961,0.0861208513553462,0.0050443681682163,0.0020558225758589,0.0080882031214187,0.5586206896551724,0.3389075026158823,59.59272921331382,6.880409434144576,2.951040309335172,0.215012794817018,0.1821200290727108
Classical multiview,bace,classification,32,0.0843944169846704,0.0787513981166161,0.0910718539201923,0.0777672870117082,0.070512633158091,0.0861208513553462,0.0050443681682163,0.002000533215014,0.0080882031214187,0.5586206896551724,0.3538015328076152,41.41386744671812,6.087414131749247,2.593989840653569,0.1902316916171639,0.1696436960418859
Full modern-augmented,bace,classification,32,0.0842713923359157,0.0794814611988211,0.0901970482118267,0.0793096932051392,0.0715959684610434,0.0864893872664009,0.0035019619747853,0.0009886975164752,0.0066951631013383,0.4850574712643678,0.4651478630220701,187.0512017933148,7.923887910859488,3.282284633801233,0.247621497214359,0.1968898176391019
+ChemBERTa,bbbp,classification,16,0.1130650722714366,0.1058623361988753,0.1184671923238669,0.1121309303778591,0.1040704284679888,0.1177178022946286,0.0002574926922506,-1.0456532195624036e-05,0.0007689565370478,1.0,0.746419583327515,10.844027053448368,5.66670794886969,3.058729453104012,0.3541692468043556,0.1731513651798143
+D-MPNN,bbbp,classification,16,0.1201715083059679,0.1134303074814085,0.1245157964775116,0.1156220529908809,0.107617485034118,0.1230414884769588,0.0035970246961518,0.000778265377132,0.006727165785956,0.917948717948718,0.5444944367179437,181.8222378602213,3.9839213719249775,2.155737105821639,0.2489950857453111,0.113752007613968
+MoLFormer,bbbp,classification,16,0.1134253064498562,0.1060770281284592,0.1188200925076422,0.1095801953736866,0.1018396544892611,0.1173207362581121,0.0028082276964231,-3.467496245779245e-06,0.0079027086688183,0.7538461538461539,0.6013152337871487,26.65614458014413,4.070399480670516,2.16290761516538,0.2543999675419072,0.1198015259520416
Classical multiview,bbbp,classification,16,0.1225222813397977,0.1173837174039785,0.1265187012146548,0.1183870414432232,0.1138319753379117,0.1227875439969282,-0.0006694366385355,-0.0035839620279096,0.0019645914681083,1.0,0.5069269675812793,12.080571866877532,3.290808471162532,1.835392887649701,0.2056755294476582,0.0955453243097779
Full modern-augmented,bbbp,classification,16,0.1130650722714366,0.1057241279446839,0.1184671923238669,0.1121309303778591,0.1040704284679888,0.1177146764347021,0.0002574926922506,-1.0456532195624036e-05,0.0007689565370478,1.0,0.746419583327515,181.94709711343748,5.82316225744738,3.0944562645126905,0.3639476410904612,0.1715639726402514
