anchor_scheme,pool,task,task_type,candidate_count,normalization,metric,normalized_mean,minimum_absolute_denominator,invalid_outer_units,normalized_low,normalized_high
fixed_morgan_rf,Classical multiview,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,1.2196438514862633,0.0140449497876955,0,0.341085428003469,2.098202274969057
fixed_morgan_rf,Classical multiview,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,-2.611603294332582,0.0140449497876955,0,-3.2224495248233693,-2.037484113635864
fixed_morgan_rf,Classical multiview,bace,classification,4,endpoint_MAD,selected_model_gain,-3.906264363362485,0.0140449497876955,0,-4.252773594362902,-3.3277406643003133
fixed_morgan_rf,Classical multiview,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,-0.6784274328537636,0.0004045096299389,0,-1.1880764891499038,-0.1687783765576234
fixed_morgan_rf,Classical multiview,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,7.3484690324499935,0.0004045096299389,0,2.117088231969293,16.376759941608075
fixed_morgan_rf,Classical multiview,bace,classification,4,homogeneous_audit_best,selected_model_gain,8.086039415908928,0.0004045096299389,0,3.021058338963358,16.74624390479886
fixed_morgan_rf,Classical multiview,bace,classification,4,raw,cross_fitted_selection_gap,0.0171298366529961,1.0,0,0.0047905277096233,0.0294691455963689
fixed_morgan_rf,Classical multiview,bace,classification,4,raw,oracle_opportunity_gain,-0.0366798371342814,1.0,0,-0.0458709982168473,-0.028616362069243
fixed_morgan_rf,Classical multiview,bace,classification,4,raw,selected_model_gain,-0.0548632868408906,1.0,0,-0.0597299915912644,-0.0467782589983063
registry_median_order_2,Classical multiview,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,0.2440090561527854,0.0702016430171771,0,0.0682395383317625,0.4197785739738083
registry_median_order_2,Classical multiview,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,0.7794278116218244,0.0702016430171771,0,0.6218289685862468,0.9371287005132692
registry_median_order_2,Classical multiview,bace,classification,4,endpoint_MAD,selected_model_gain,0.5204103737798063,0.0702016430171771,0,0.4584917508033875,0.5854912898524375
registry_median_order_2,Classical multiview,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,0.8239436619718454,0.0,14,0.8239436619718454,0.8239436619718454
registry_median_order_2,Classical multiview,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,1.5598591549295897,0.0,14,1.5598591549295897,1.5598591549295897
registry_median_order_2,Classical multiview,bace,classification,4,homogeneous_audit_best,selected_model_gain,0.7359154929577442,0.0,14,0.7359154929577442,0.7359154929577442
registry_median_order_2,Classical multiview,bace,classification,4,raw,cross_fitted_selection_gap,0.0171298366529961,1.0,0,0.0047905277096233,0.0294691455963689
registry_median_order_2,Classical multiview,bace,classification,4,raw,oracle_opportunity_gain,0.0547171129891349,1.0,0,0.0436534152704311,0.066067362177641
registry_median_order_2,Classical multiview,bace,classification,4,raw,selected_model_gain,0.0365336632825256,1.0,0,0.0321259274372883,0.0411024505198873
shared_morgan_linear,Classical multiview,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,1.2498286701832415,0.0137057478850158,0,0.3495269101557544,2.150130430210728
shared_morgan_linear,Classical multiview,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,2.5845689318316465,0.0137057478850158,0,1.907806612018132,3.261331251645161
shared_morgan_linear,Classical multiview,bace,classification,4,endpoint_MAD,selected_model_gain,1.2578664520283591,0.0137057478850158,0,0.6930331520847297,1.8630747985758929
shared_morgan_linear,Classical multiview,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,0.2672546089607262,0.0297771282426013,0,0.097479157924067,0.4370300599973853
shared_morgan_linear,Classical multiview,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,0.6143081744622799,0.0297771282426013,0,0.4747093676882358,0.7490572666496788
shared_morgan_linear,Classical multiview,bace,classification,4,homogeneous_audit_best,selected_model_gain,0.329650543073986,0.0297771282426013,0,0.2179025334909527,0.438526159269787
shared_morgan_linear,Classical multiview,bace,classification,4,raw,cross_fitted_selection_gap,0.0171298366529961,1.0,0,0.0047905277096233,0.0294691455963689
shared_morgan_linear,Classical multiview,bace,classification,4,raw,oracle_opportunity_gain,0.0354234501711293,1.0,0,0.0261479164376868,0.0446989839045718
shared_morgan_linear,Classical multiview,bace,classification,4,raw,selected_model_gain,0.0172400004645201,1.0,0,0.0094985376584311,0.0252859167474925
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,0.1186140309982286,0.0140449497876955,0,0.0,0.3558420929946859
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,-1.1552939013760375,0.0140449497876955,0,-1.4664668086703407,-0.8369383055896614
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,endpoint_MAD,selected_model_gain,-1.3177898581739858,0.0140449497876955,0,-1.7858924659394009,-0.8566441363090236
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,-0.0599630143319462,0.0004045096299389,0,-0.1798890429958388,0.0
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,1.0,0.0004045096299389,0,1.0,1.0
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,selected_model_gain,1.1375586427472462,0.0004045096299389,0,1.0,1.292749899577846
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,raw,cross_fitted_selection_gap,0.0016659281094862,1.0,0,0.0,0.0049977843284588
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,raw,oracle_opportunity_gain,-0.0162260448348573,1.0,0,-0.020596452693097,-0.0117547564774057
fixed_morgan_rf,Homogeneous Morgan,bace,classification,4,raw,selected_model_gain,-0.018508292388788,1.0,0,-0.0252677280750324,-0.0119826693238087
registry_median_order_2,Homogeneous Morgan,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,0.0237306142404482,0.0702016430171771,0,0.0,0.0711918427213446
registry_median_order_2,Homogeneous Morgan,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,0.0087792737884159,0.0702016430171771,0,0.0,0.0263378213652479
registry_median_order_2,Homogeneous Morgan,bace,classification,4,endpoint_MAD,selected_model_gain,-0.0237306142404482,0.0702016430171771,0,-0.0711918427213446,0.0
registry_median_order_2,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,0.0,0.0,14,0.0,0.0
registry_median_order_2,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,1.0,0.0,14,1.0,1.0
registry_median_order_2,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,selected_model_gain,0.0,0.0,14,0.0,0.0
registry_median_order_2,Homogeneous Morgan,bace,classification,4,raw,cross_fitted_selection_gap,0.0016659281094862,1.0,0,0.0,0.0049977843284588
registry_median_order_2,Homogeneous Morgan,bace,classification,4,raw,oracle_opportunity_gain,0.0006163194444444,1.0,0,0.0,0.0018489583333333
registry_median_order_2,Homogeneous Morgan,bace,classification,4,raw,selected_model_gain,-0.0016659281094862,1.0,0,-0.0049977843284588,0.0
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,endpoint_MAD,cross_fitted_selection_gap,0.1215495953568209,0.0137057478850158,0,0.0,0.3646487860704627
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,endpoint_MAD,oracle_opportunity_gain,4.076920350449642,0.0137057478850158,0,3.762084724251728,4.3917559766475565
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,endpoint_MAD,selected_model_gain,3.910402800799845,0.0137057478850158,0,3.6020693928738643,4.2409927811614665
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,cross_fitted_selection_gap,0.031147934678194,0.0297771282426013,0,0.0,0.0934438040345821
shared_morgan_linear,Homogeneous Morgan,bace,classification,4,homogeneous_audit_best,oracle_opportunity_gain,1.0,0.0297771282426013,0,1.0,1.0
