pool,task,metric,contrast,scaffold_change,similarity_cluster_change,same_direction
Classical multiview,bace,chance_adjusted_hit3_mean,K32-K16,0.0509283819628647,-0.0452696728558797,False
Classical multiview,bace,chance_adjusted_hit3_mean,K32-K4,0.0919540229885057,-0.496551724137931,False
Classical multiview,bace,cross_fitted_selection_gap_mean,K32-K16,0.0015424061934309,0.0032419493479474,True
Classical multiview,bace,cross_fitted_selection_gap_mean,K32-K4,-0.0120854684847797,-0.0553945058784792,True
Classical multiview,bace,oracle_opportunity_gain_mean,K32-K16,0.0004760339080139,0.0011467259071194,True
Classical multiview,bace,oracle_opportunity_gain_mean,K32-K4,0.048970966813541,0.0531417543984982,True
Classical multiview,bace,selected_model_gain_mean,K32-K16,-0.0015424061934309,-0.0032419493479474,True
Classical multiview,bace,selected_model_gain_mean,K32-K4,0.0605272865471881,0.0838249452863861,True
Homogeneous Morgan,bace,chance_adjusted_hit3_mean,K32-K16,0.076392572944297,-0.0707338638373121,False
Homogeneous Morgan,bace,chance_adjusted_hit3_mean,K32-K4,-0.6620689655172414,0.2574712643678161,False
Homogeneous Morgan,bace,cross_fitted_selection_gap_mean,K32-K16,0.0008821986094713,-0.0018704293696359,False
Homogeneous Morgan,bace,cross_fitted_selection_gap_mean,K32-K4,0.0008827971177789,0.0005972862780225,True
Homogeneous Morgan,bace,oracle_opportunity_gain_mean,K32-K16,0.0007686242766476,0.0054585685480639,True
Homogeneous Morgan,bace,oracle_opportunity_gain_mean,K32-K4,0.0232906387699358,0.0665003780379851,True
Homogeneous Morgan,bace,selected_model_gain_mean,K32-K16,-0.0008821986094713,0.0016094205875227,False
Homogeneous Morgan,bace,selected_model_gain_mean,K32-K4,0.018028487364158,0.0558490650715341,True
Modern-augmented,bace,chance_adjusted_hit3_mean,K32-K16,-0.2687886825817861,-0.1273209549071617,True
Modern-augmented,bace,chance_adjusted_hit3_mean,K32-K4,-0.5149425287356322,0.0367816091954022,False
Modern-augmented,bace,cross_fitted_selection_gap_mean,K32-K16,0.0013299386408897,-0.0190723598133944,False
Modern-augmented,bace,cross_fitted_selection_gap_mean,K32-K4,-0.0082416714486109,-0.0760951378041191,True
Modern-augmented,bace,oracle_opportunity_gain_mean,K32-K16,0.0046322643004437,0.0092844297350803,True
Modern-augmented,bace,oracle_opportunity_gain_mean,K32-K4,0.0499187067127642,0.0428498774753932,True
Modern-augmented,bace,selected_model_gain_mean,K32-K16,0.0055003420166821,0.014956547384348,True
Modern-augmented,bace,selected_model_gain_mean,K32-K4,0.0568570702032522,0.0881093154879254,True
