pool,task,task_type,candidate_count,candidate_selection_entropy,candidate_selection_entropy_normalized,entropy_denominator_candidate_count,representation_selection_entropy_normalized,family_selection_entropy_normalized,modal_candidate,modal_candidate_share,leave_one_seed_out_agreement,mean_adjacent_fold_switches_per_seed,max_adjacent_fold_switches,audit_fit_seconds_mean,audit_fit_seconds_low,audit_fit_seconds_high,selected_gain_per_audit_hour_mean
Classical multiview,bace,classification,4,0.8033149761408755,0.5794692661751386,4,0.7312088026202268,-0.0,rdkit2d__linear,0.6666666666666666,0.6666666666666666,1.2,2,1.5763678333333997,1.5470689999560507,1.5996197599840032,36.35456719540402
Classical multiview,bace,classification,8,0.8608513906312316,0.4139820107353486,8,0.7835807040488098,-0.0,multiview__random_forest,0.6666666666666666,0.6666666666666666,1.0,2,4.285693466655598,4.254561126697807,4.320553746726362,62.00637589078413
Classical multiview,bace,classification,16,0.953271014705891,0.3438198413848448,16,0.4415516705081734,0.7219280948873623,multiview__extra_trees,0.6666666666666666,0.6666666666666666,1.0,2,12.250959293338624,12.006693013493592,12.559970073405808,23.394411092584495
Classical multiview,bace,classification,32,1.2048762065511598,0.3476537856152929,32,0.4415516705081734,0.7835807040488098,multiview__extra_trees,0.6,0.6,1.2,2,41.41386744671812,38.63955071349629,44.18818417993995,6.897831082732621
Homogeneous Morgan,bace,classification,4,0.2449300267946353,0.1766796675107106,4,-0.0,-0.0,hom::order01,0.9333333333333332,0.9333333333333332,0.2,1,0.5728841866599388,0.5600561999715856,0.585712173348292,342.1945423989463
Homogeneous Morgan,bace,classification,8,0.970115783986938,0.4665270768820215,8,-0.0,-0.0,hom::order07,0.5333333333333333,0.3333333333333333,0.8,2,2.610540693299844,2.462054546534393,2.759026840065294,98.83772964567348
Homogeneous Morgan,bace,classification,16,1.767009191074569,0.637313849292125,16,-0.0,-0.0,hom::order11,0.3333333333333333,0.3333333333333333,1.6,2,16.248005693390347,14.292829773334478,18.27877510023148,16.257375832368005
Homogeneous Morgan,bace,classification,32,1.767009191074569,0.5098510794337,32,-0.0,0.3533593350214213,hom::order11,0.3333333333333333,0.3333333333333333,1.6,2,29.346602666672943,25.774427553274045,33.07500389352596,8.91817370669107
Modern-augmented,bace,classification,4,0.5004024235381879,0.3609640474436811,4,0.7219280948873623,-0.0,chemberta_mtr__linear,0.8,0.8,0.0,0,112.75121701326376,112.6555361532063,112.81897419995708,0.717202999097443
Modern-augmented,bace,classification,8,1.1710598699903711,0.5631607556730609,8,0.8447411335095913,-0.0,molformer__linear,0.4666666666666667,0.4666666666666667,1.4,2,116.06686813994698,115.82467710654409,116.28098466004012,1.1128480400409524
Modern-augmented,bace,classification,16,0.8608513906312316,0.3104865080515114,16,0.7835807040488098,-0.0,multiview__random_forest,0.6666666666666666,0.6666666666666666,1.0,2,121.99643074663666,121.63228863312398,122.32347583346612,2.178943937820065
Modern-augmented,bace,classification,32,0.953271014705891,0.2750558731078758,32,0.4415516705081734,0.7219280948873623,multiview__extra_trees,0.6666666666666666,0.6666666666666666,1.0,2,187.0512017933148,183.7318446932788,191.00045166660567,1.5276112142226022
Classical multiview,bbbp,classification,4,0.9908353864438492,0.7147366491799205,4,0.9018972358711528,-0.0,rdkit2d__linear,0.4666666666666667,0.1333333333333333,1.0,2,2.148249813425354,2.133315766781257,2.1631838600694504,79.77040762417838
Classical multiview,bbbp,classification,8,0.5004024235381879,0.2406426982957874,8,0.7219280948873623,-0.0,multiview__random_forest,0.8,0.8,1.0,2,5.01711570015177,4.994329460112686,5.039901940190854,80.14592673224028
Classical multiview,bbbp,classification,16,0.8532361505557784,0.3077398907785026,16,0.9182958340544894,0.3533593350214213,multiview__extra_trees,0.6,0.6,1.0,1,12.080571866877532,12.011465640164287,12.162147226898622,35.21574561556235
Classical multiview,bbbp,classification,32,1.020036958401841,0.2943204522819596,32,0.8366407419411673,0.4415516705081734,multiview__extra_trees,0.6,0.6,1.0,1,29.619064100203104,28.86065893354438,30.54481772677197,14.305968075354883
Homogeneous Morgan,bbbp,classification,4,-0.0,-0.0,4,-0.0,-0.0,hom::order01,1.0,1.0,0.0,0,0.6670758400733264,0.6567300467363861,0.6755274668413518,366.08401209527847
Homogeneous Morgan,bbbp,classification,8,0.6730116670092565,0.3236501981515562,8,-0.0,-0.0,hom::order07,0.6,0.6,1.4,2,2.6362007533820955,2.4789761732875664,2.817151660091864,116.0350180477184
Homogeneous Morgan,bbbp,classification,16,0.8033149761408755,0.2897346330875693,16,-0.0,-0.0,hom::order12,0.6666666666666666,0.6666666666666666,1.0,2,16.99204510667672,15.270075533368312,18.822201006719844,20.55787416300845
Homogeneous Morgan,bbbp,classification,32,0.8033149761408755,0.2317877064700554,32,-0.0,-0.0,hom::order12,0.6666666666666666,0.6666666666666666,1.0,2,32.74044554009257,29.353497100000578,36.18751524686813,10.67593053192329
Modern-augmented,bbbp,classification,4,0.6909233093138181,0.4983958159908183,4,0.9967916319816368,-0.0,maccs__linear,0.5333333333333333,0.3333333333333333,1.4,2,172.51508711999824,166.19541758668296,178.03540653336094,0.7497120732420584
Modern-augmented,bbbp,classification,8,1.6914343362809572,0.8134079763139508,8,0.944007477192058,-0.0,multiview__linear,0.2666666666666666,0.0666666666666666,1.4,2,175.95067652676175,170.0612460133503,181.50597296676904,0.9097912098546757
Modern-augmented,bbbp,classification,16,0.5004024235381879,0.1804820237218405,16,0.7219280948873623,-0.0,multiview__random_forest,0.8,0.8,1.0,2,181.94709711343748,175.37140479343168,187.58188266011032,2.216758138375954
Modern-augmented,bbbp,classification,32,0.8532361505557784,0.2461919126228021,32,0.9182958340544894,0.3533593350214213,multiview__extra_trees,0.6,0.6,1.0,1,224.7552299668469,217.0890002869264,232.52835994685304,1.8965816636275863
Classical multiview,clintox,classification,4,0.4850940913022115,0.3499214199431193,4,0.4415516705081734,-0.0,maccs__linear,0.8666666666666667,0.8666666666666667,0.4,1,1.542100846705337,1.5246814867171143,1.5595202066935594,186.0639651492112
Classical multiview,clintox,classification,8,1.0437570363314086,0.5019410334027616,8,0.9500685975366212,-0.0,maccs__random_forest,0.4666666666666667,0.4666666666666667,2.0,2,4.248111826647071,4.193921593219661,4.302302060074482,120.61411292378637
Classical multiview,clintox,classification,16,0.3926744672275521,0.1416273766382263,16,0.5665095065529053,-0.0,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.6,2,12.08095044658985,11.652263066552887,12.519982680100172,52.61403985817874
Classical multiview,clintox,classification,32,1.459481873869085,0.4211174523396521,32,0.9182958340544894,0.8031140135750122,multiview__lightgbm,0.4,0.2,0.8,2,39.74828209337235,37.85438436005498,41.82975675340664,15.823137451368046
Homogeneous Morgan,clintox,classification,4,-0.0,-0.0,4,-0.0,-0.0,hom::order01,1.0,1.0,0.0,0,0.4673565667355426,0.4519331200048319,0.4829066267702721,625.9338533155321
