pool,task,task_type,candidate_count,candidate_selection_entropy,candidate_selection_entropy_normalized,entropy_denominator_candidate_count,representation_selection_entropy_normalized,family_selection_entropy_normalized,modal_candidate,modal_candidate_share,leave_one_seed_out_agreement,mean_adjacent_fold_switches_per_seed,max_adjacent_fold_switches
Classical multiview,bace,classification,16,1.3397942802855758,0.4832286409948495,16,0.8443536850036222,0.8366407419411673,multiview__extra_trees,0.3333333333333333,0.1333333333333333,1.2,2
Classical multiview,bace,classification,32,1.2048762065511598,0.3476537856152929,32,0.4415516705081734,0.7835807040488098,multiview__extra_trees,0.6,0.6,1.2,2
Homogeneous Morgan,bace,classification,16,1.767009191074569,0.6695607447573627,14,-0.0,-0.0,hom::order11,0.3333333333333333,0.3333333333333333,1.6,2
Homogeneous Morgan,bace,classification,32,1.767009191074569,0.5098510794337,32,-0.0,0.3533593350214213,hom::order11,0.3333333333333333,0.3333333333333333,1.6,2
Modern-augmented,bace,classification,16,-0.0,0.0,1,-0.0,-0.0,morgan512__linear,1.0,1.0,0.0,0
Modern-augmented,bace,classification,32,-0.0,0.0,1,-0.0,-0.0,morgan512__linear,1.0,1.0,0.0,0
Classical multiview,bbbp,classification,16,1.0775733728921972,0.3886524403163917,16,0.7766490138119515,0.5665095065529053,rdkit2d__extra_trees,0.6,0.6,1.6,2
Classical multiview,bbbp,classification,32,1.020036958401841,0.2943204522819596,32,0.8366407419411673,0.4415516705081734,multiview__extra_trees,0.6,0.6,1.0,1
Homogeneous Morgan,bbbp,classification,16,0.8033149761408755,0.3043946666584878,14,-0.0,-0.0,hom::order12,0.6666666666666666,0.6666666666666666,1.0,2
Homogeneous Morgan,bbbp,classification,32,0.8033149761408755,0.2317877064700554,32,-0.0,-0.0,hom::order12,0.6666666666666666,0.6666666666666666,1.0,2
Modern-augmented,bbbp,classification,16,-0.0,0.0,1,-0.0,-0.0,morgan512__linear,1.0,1.0,0.0,0
Modern-augmented,bbbp,classification,32,-0.0,0.0,1,-0.0,-0.0,morgan512__linear,1.0,1.0,0.0,0
Classical multiview,clintox,classification,16,0.3926744672275521,0.1416273766382263,16,0.5665095065529053,-0.0,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.6,2
Classical multiview,clintox,classification,32,1.39539709232679,0.4026264930341477,32,0.8366407419411673,0.7766490138119515,multiview__lightgbm,0.4666666666666667,0.4666666666666667,1.0,2
Homogeneous Morgan,clintox,classification,16,1.9686932085049356,0.7269781068695302,15,-0.0,0.3533593350214213,hom::order06,0.2666666666666666,0.2666666666666666,2.0,2
Homogeneous Morgan,clintox,classification,32,2.3034884952192693,0.6646462857595241,32,-0.0,0.9709505944546688,hom::order27,0.2,0.0666666666666666,2.0,2
Modern-augmented,clintox,classification,16,-0.0,0.0,1,-0.0,-0.0,morgan512__linear,1.0,1.0,0.0,0
Modern-augmented,clintox,classification,32,-0.0,0.0,1,-0.0,-0.0,morgan512__linear,1.0,1.0,0.0,0
Classical multiview,esol,regression,16,0.6365141682948128,0.2295739585136223,16,0.9182958340544894,-0.0,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2
Classical multiview,esol,regression,32,1.6170531525095535,0.4665829127958795,32,0.9709505944546688,0.7773048806327834,multiview__lightgbm,0.3333333333333333,0.3333333333333333,2.0,2
