design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,nominal_candidate_count,budget_seconds,budget_utilization,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap,paired_homogeneous_best_gain,homogeneous_normalized_selected_gain,homogeneous_normalized_oracle_opportunity,homogeneous_normalized_cross_fitted_gap,homogeneous_denominator_valid
equal_budget_from_K16,Classical multiview,bace,classification,11,1,16,16,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.8123060053981106,0.8849021592442645,0.8849021592442645,0.07259615384615392,0.07259615384615392,0.0,0.1027496626180836,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,11.945578200335149,0.0060772406851028055,21.8780664663701,1.0,16,12.242586399719583,0.9757397505978608,multiview__extra_trees,0.8849021592442645,0.0,0.07289979757085008,0.9958347795904228,0.9958347795904228,0.0,True
equal_budget_from_K32,Classical multiview,bace,classification,11,1,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__random_forest_alt,0.8123060053981106,0.8849021592442645,0.8869601889338732,0.07465418353576259,0.07259615384615392,0.0020580296896086647,0.10480769230769227,0.01963624657956505,1,1.0,2,0.5,0.12682797485739125,0.4273751499100779,37.21357390063349,0.0019507976858121146,7.022871668923612,0.9724324935035585,32,40.462236399180256,0.9197112471367851,multiview__extra_trees,0.8849021592442645,0.0,0.07289979757085008,0.9958347795904228,1.024065717922021,0.0,True
equal_budget_from_K16,Classical multiview,bace,classification,11,2,16,16,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.8140691059032309,0.8921981836212746,0.8921981836212746,0.07812907771804367,0.07812907771804367,0.0,0.08079753640586662,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,11.615179600543339,0.006726463163289263,24.215267387841347,1.0,16,12.242586399719583,0.9487521036248832,multiview__extra_trees,0.8921981836212746,0.0,0.06795761782974052,1.149673579109063,1.149673579109063,0.0,True
equal_budget_from_K32,Classical multiview,bace,classification,11,2,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__random_forest_alt,0.8140691059032309,0.8921981836212746,0.8933921394644814,0.07932303356125048,0.07812907771804367,0.0011939558432068065,0.08199149224907343,0.014561947958761992,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,37.181607200647704,0.0021012829622029535,7.564618663930632,0.9849481822668207,32,40.462236399180256,0.9189212092439109,multiview__extra_trees,0.8921981836212746,0.0,0.06795761782974052,1.149673579109063,1.1672427035330257,0.0,True
equal_budget_from_K16,Classical multiview,bace,classification,11,3,16,16,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.7952669902912621,0.8914861837191932,0.8914861837191932,0.09621919342793106,0.09621919342793106,0.0,0.10767363704256883,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,12.106292599695735,0.007947866172534878,28.612318221125562,1.0,16,12.242586399719583,0.9888672380513508,multiview__extra_trees,0.8914861837191932,0.0,0.09370799103808813,1.0267981669655284,1.0267981669655284,0.0,True
equal_budget_from_K32,Classical multiview,bace,classification,11,3,32,31,shared_morgan_linear,rdkit2d__random_forest_alt,rdkit2d,random_forest_alt,multiview__extra_trees,0.7952669902912621,0.8630414488424197,0.8914861837191932,0.09621919342793106,0.0677744585511576,0.02844473487677346,0.10767363704256883,0.2641754811836034,1,1.0,2,0.5,0.12991113533666193,0.42534605336724535,39.000797799555585,0.0017377710809784997,6.255975891522599,0.7043756670224138,32,40.462236399180256,0.9638814180905166,multiview__extra_trees,0.8914861837191932,0.02844473487677346,0.09553771471247197,0.7094000390854021,1.0071330857924543,0.29773304670705236,True
equal_budget_from_K16,Classical multiview,bace,classification,23,1,16,15,shared_morgan_linear,morgan512__extra_trees,morgan512,extra_trees,rdkit2d__random_forest,0.8250503307448951,0.8832901926948519,0.901926948518838,0.07687661777394295,0.058239861949956784,0.018636755823986162,0.1026315789473683,0.18158890289860888,0,-0.25,6,0.16666666666666666,0.22121526621526622,-0.07004323169446912,10.87095529923681,0.005357382157025839,19.286575765293023,0.7575757575757577,16,12.242586399719583,0.8879623099483137,morgan512__extra_trees,0.8832901926948519,0.0,0.06764452113891273,0.8609693877551026,1.1364795918367352,0.0,True
equal_budget_from_K32,Classical multiview,bace,classification,23,1,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__random_forest_alt,0.8250503307448951,0.9009059534081104,0.9036094334196144,0.07855910267471933,0.07585562266321533,0.0027034800115040003,0.10431406384814468,0.02591673559390494,0,-0.10344827586206896,4,0.25,0.12682797485739125,0.1410627248651169,40.462236399180256,0.0018747263970992994,6.749015029557477,0.9655866739886529,32,40.462236399180256,1.0,multiview__extra_trees,0.9009059534081104,0.0,0.06764452113891273,1.1213860544217695,1.161352040816325,0.0,True
equal_budget_from_K16,Classical multiview,bace,classification,23,2,16,16,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.728133608815427,0.8510182998819362,0.8510182998819362,0.12288469106650923,0.12288469106650923,0.0,0.1423713597009051,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,11.405702699732501,0.010773969329341826,38.78628958563057,1.0,16,12.242586399719583,0.931641593315098,multiview__extra_trees,0.8510182998819362,0.0,0.12049267020857923,1.019852003062006,1.019852003062006,0.0,True
equal_budget_from_K32,Classical multiview,bace,classification,23,2,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.728133608815427,0.8510182998819362,0.8510182998819362,0.12288469106650923,0.12288469106650923,0.0,0.1423713597009051,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,39.731739500013646,0.003092859578082833,11.1342944810982,1.0,32,40.462236399180256,0.9819462055443527,multiview__extra_trees,0.8510182998819362,0.0,0.12049267020857923,1.019852003062006,1.019852003062006,0.0,True
equal_budget_from_K16,Classical multiview,bace,classification,23,3,16,15,shared_morgan_linear,multiview__random_forest,multiview,random_forest,morgan512__random_forest,0.8399994940295488,0.8777954867435743,0.8879781420765027,0.04797864804695395,0.03779599271402556,0.010182655332928392,0.07672409431289207,0.13271783035025891,0,-0.25,8,0.125,0.22121526621526622,-0.12354539327919256,10.261994899774434,0.0036831038295347764,13.259173786325194,0.7877669390983421,16,12.242586399719583,0.8382211539883015,morgan512__extra_trees,0.887370977534912,0.009575490791337682,0.0488640963367738,0.7734921045819345,0.981879368366555,0.19596168780740197,True
equal_budget_from_K32,Classical multiview,bace,classification,23,3,32,31,shared_morgan_linear,multiview__random_forest_alt,multiview,random_forest_alt,multiview__extra_trees,0.8399994940295488,0.8824251163732039,0.8939169702489375,0.053917476219388694,0.0424256223436551,0.011491853875733593,0.0826629224853268,0.13902065799372687,1,1.0,3,0.3333333333333333,0.12991113533666193,0.23379473782299373,39.29112249967875,0.001079776286462724,3.8871946312658063,0.7868621700879773,32,40.462236399180256,0.9710566196107432,multiview__extra_trees,0.8939169702489375,0.011491853875733593,0.052013762396276086,0.8156614785992208,1.0366001945525267,0.22093871595330603,True
equal_budget_from_K16,Classical multiview,bace,classification,37,1,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.7952365451388889,0.8333333333333334,0.849609375,0.05437282986111114,0.03809678819444451,0.01627604166666663,0.05437282986111114,0.29934144880710606,1,1.0,2,0.5,0.21129556207681208,0.3660489583187877,12.04527709976537,0.003162798819728821,11.386075751023755,0.7006585511873886,16,12.242586399719583,0.9838833647146054,multiview__extra_trees,0.849609375,0.01627604166666663,0.05462239583333328,0.6974572904251111,0.9954310687326197,0.29797377830750854,True
equal_budget_from_K32,Classical multiview,bace,classification,37,1,32,32,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.7952365451388889,0.8333333333333334,0.849609375,0.05437282986111114,0.03809678819444451,0.01627604166666663,0.05437282986111114,0.29934144880710606,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,39.03486009966582,0.0009759683548800693,3.5134860775682495,0.7006585511873886,32,40.462236399180256,0.964723247488531,multiview__extra_trees,0.849609375,0.01627604166666663,0.05462239583333328,0.6974572904251111,0.9954310687326197,0.29797377830750854,True
equal_budget_from_K16,Classical multiview,bace,classification,37,2,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.808972738176278,0.8976628091672338,0.9078576290965672,0.09888489092028918,0.08869007099095583,0.010194819929333354,0.1669476050007025,0.061065984919216956,0,-0.23076923076923078,4,0.25,0.21129556207681208,0.0490734374781816,11.659166700323112,0.0076068962105583365,27.384826358010013,0.896902147188984,16,12.242586399719583,0.9523450617093595,multiview__extra_trees,0.9078576290965672,0.010194819929333354,0.09354165991334118,0.9481344576643181,1.057121404643643,0.10898694697932487,True
equal_budget_from_K32,Classical multiview,bace,classification,37,2,32,31,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.808972738176278,0.8976628091672338,0.9078576290965672,0.09888489092028918,0.08869007099095583,0.010194819929333354,0.1669476050007025,0.061065984919216956,0,-0.10714285714285714,5,0.2,0.12991113533666193,0.0805536853875925,37.112909100193065,0.00238973643245052,8.603051156821873,0.896902147188984,32,40.462236399180256,0.9172233767322103,multiview__extra_trees,0.9078576290965672,0.010194819929333354,0.09354165991334118,0.9481344576643181,1.057121404643643,0.10898694697932487,True
