dataset,task_type,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,family,inner_utility,inner_roc_auc,inner_pr_auc,inner_brier,minority_label,minority_threshold,minority_recall,majority_recall,balanced_recall,minority_constraint_feasible,minority_recall_target,fit_seconds
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.7855639543500814,0.7855639543500814,0.9279734500394288,0.14490147811266796,0.0,0.7035432343120608,0.8153846153846154,0.6146435452793835,0.7150140803319994,1.0,0.8,0.006372499978169799
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8768402632479934,0.8768402632479934,0.9384334293414365,0.12949933670603983,0.0,0.5126334349983135,0.8041237113402062,0.8413284132841329,0.8227260623121695,1.0,0.8,0.006218799971975386
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8890228222436515,0.8890228222436515,0.9492473761243228,0.11769950694312294,0.0,0.5396605896336244,0.8032786885245902,0.8599439775910365,0.8316113330578133,1.0,0.8,0.005482500011567026
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.7791759300429819,0.7791759300429819,0.9223391492280628,0.14389726515109413,0.0,0.9138926504503034,0.8,0.5780346820809249,0.6890173410404625,1.0,0.8,0.009232199983671308
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.8565640811047286,0.8565640811047286,0.9274591873022562,0.14537716138289383,0.0,0.6063604564017913,0.8041237113402062,0.7896678966789668,0.7968958040095865,1.0,0.8,0.012257899972610176
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.8471208155393306,0.8471208155393306,0.9149364460388503,0.12819870588074223,0.0,0.86993013691192,0.8032786885245902,0.6778711484593838,0.740574918491987,1.0,0.8,0.008570100006181747
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.763124351563658,0.763124351563658,0.9167780654686909,0.1654782300848519,0.0,0.9924463469225342,0.8,0.5491329479768786,0.6745664739884394,1.0,0.8,0.009228000009898096
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.8361357324913455,0.8361357324913455,0.9168466822789032,0.17962627963828195,0.0,0.7872748076056083,0.8041237113402062,0.7564575645756457,0.780290637957926,1.0,0.8,0.012999199971091002
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.8256761721081876,0.8256761721081876,0.8961758562937943,0.15379396736375195,0.0,0.991294177941522,0.8032786885245902,0.5994397759103641,0.7013592322174771,1.0,0.8,0.012396199977956712
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.7631688157699719,0.7631688157699719,0.9228054049734871,0.16374233621715603,0.0,0.8739070234260127,0.8,0.5626204238921002,0.6813102119460501,1.0,0.8,0.009549300011713058
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.8650093201962947,0.8650093201962947,0.9376611034971692,0.14047845064091538,0.0,0.6879547774268121,0.8041237113402062,0.7712177121771218,0.787670711758664,1.0,0.8,0.01649449998512864
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.8186504109840658,0.8186504109840658,0.8987555547490013,0.14254663076763485,0.0,0.8942709104665267,0.8032786885245902,0.6162464985994398,0.709762593562015,1.0,0.8,0.014784300001338124
