dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
bbbp,classification,1,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1206,833,0.8241982155775259,0.00671030004741624,0.8241982155775259,0.9313904951856047,0.14438694224491683,,,,
bbbp,classification,1,stratified_scaffold_group,2,logreg_l2_c1,linear,1206,833,0.8001567398119122,0.009211299999151379,0.8001567398119122,0.9159810469960836,0.15621151312332945,,,,
bbbp,classification,1,stratified_scaffold_group,3,logreg_l2_c10,linear,1206,833,0.7795474640302227,0.018514399998821318,0.7795474640302227,0.900960061362088,0.18615991783484181,,,,
bbbp,classification,1,stratified_scaffold_group,4,logreg_l1_c1,linear,1206,833,0.7956153042359939,0.02189979999093339,0.7956153042359939,0.9190309112367168,0.16529697198417395,,,,
bbbp,classification,1,stratified_scaffold_group,5,rf_60_sqrt,bagging,1206,833,0.849292661361627,0.15009299997473136,0.849292661361627,0.933089249796538,0.11624934519432073,,,,
bbbp,classification,1,stratified_scaffold_group,6,rf_90_d12,bagging,1206,833,0.8409975082388876,0.23867360001895577,0.8409975082388876,0.934192755832323,0.1259656186146005,,,,
bbbp,classification,1,stratified_scaffold_group,7,rf_90_leaf2,bagging,1206,833,0.8550237119202636,0.21923640003660694,0.8550237119202636,0.9386524714869047,0.11953700434076378,,,,
bbbp,classification,1,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1206,833,0.8368619885861266,0.27248669997788966,0.8368619885861266,0.9323536591975248,0.12541878163218598,,,,
bbbp,classification,1,stratified_scaffold_group,9,et_60_sqrt,bagging,1206,833,0.8621654207861104,0.09368269995320588,0.8621654207861104,0.9396389922030265,0.11224607697671267,,,,
bbbp,classification,1,stratified_scaffold_group,10,et_90_d12,bagging,1206,833,0.8614540631782011,0.12810700002592057,0.8614540631782011,0.9449373737400824,0.12497725085694898,,,,
bbbp,classification,1,stratified_scaffold_group,11,et_90_leaf2,bagging,1206,833,0.8567036411863997,0.13079939997987822,0.8567036411863997,0.9372422380802569,0.11578520988046226,,,,
bbbp,classification,1,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1206,833,0.8660678402057713,0.16271410003537312,0.8660678402057713,0.9464594995496061,0.11536757012984195,,,,
bbbp,classification,1,stratified_scaffold_group,13,histgb_lr0.05,boosting,1206,833,0.8168153685395063,1.7987962999613956,0.8168153685395063,0.9251413157714073,0.1251440956774534,,,,
bbbp,classification,1,stratified_scaffold_group,14,histgb_lr0.1,boosting,1206,833,0.8378265412748171,1.2917427999782376,0.8378265412748171,0.9375429203981708,0.12459907124247384,,,,
bbbp,classification,1,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1206,833,0.7774174101760309,0.6799695999943651,0.7774174101760309,0.9077825536965028,0.1356731209394692,,,,
bbbp,classification,1,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1206,833,0.8236194839643115,0.9587124999961816,0.8236194839643115,0.9287740208739372,0.12274756430506042,,,,
bbbp,classification,1,stratified_scaffold_group,17,lgbm_60_l15,boosting,1206,833,0.8061811751466925,0.10057150002103299,0.8061811751466925,0.916749169922902,0.12574605391174531,,,,
