dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,604,302,-1.0253874999290593,0.00568050000583753,,,,1.0253874999290593,0.8031255964200658,-0.641814196997357,0.3916539692438802
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,2,ridge_a1,linear,604,302,-0.6885110154234154,0.006231199949979782,,,,0.6885110154234154,0.5390444594521024,0.2597647627816213,0.551746778443119
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,3,ridge_a10,linear,604,302,-0.5565791652788828,0.006106099986936897,,,,0.5565791652788828,0.45508413938643094,0.516271295369173,0.6445372376856779
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,604,302,-0.6965894736461794,0.05044869997072965,,,,0.6965894736461794,0.5408260985010513,0.24229215472041965,0.55238265778814
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,604,302,-0.5881466127927617,0.06687949999468401,,,,0.5881466127927617,0.46698770068138884,0.45984404359759656,0.6958079779684553
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,604,302,-0.6048531439747974,0.08461139997234568,,,,0.6048531439747974,0.47553118420280704,0.4287215339788115,0.6996546994211826
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,604,302,-0.606027605043388,0.09067980002146214,,,,0.606027605043388,0.48012730581464214,0.42650084381468023,0.7048163133058069
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,604,302,-0.6078285820305219,0.11276560003170744,,,,0.6078285820305219,0.48073712510991606,0.4230871594043307,0.7053126973749732
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,604,302,-0.5429798286567661,0.05297049996443093,,,,0.5429798286567661,0.43647587950607064,0.5396211525342867,0.7412086240228617
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,10,et_90_d12,bagging,604,302,-0.5755463981733681,0.06998730002669618,,,,0.5755463981733681,0.45795683434180795,0.4827402924994384,0.7326589178523587
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,604,302,-0.5822120547295754,0.06993110000621527,,,,0.5822120547295754,0.455976468559837,0.470689687179108,0.7377402887334678
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,604,302,-0.5704838698575918,0.07573989999946207,,,,0.5704838698575918,0.4538131423442513,0.49179994463682597,0.7424535883437299
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,604,302,-0.5691855713364838,0.8179989999625832,,,,0.5691855713364838,0.45016232554121793,0.494110420494171,0.6700629257386603
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,604,302,-0.5357176371195042,0.6859161999891512,,,,0.5357176371195042,0.43176418971644853,0.5518536554113267,0.6782396091968211
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,604,302,-0.6771131821553577,0.26570629997877404,,,,0.6771131821553577,0.5367759435087536,0.2840700899957296,0.5256204630533403
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,16,gb_lr0.1_d3,boosting,604,302,-0.5448776015327843,0.37534060003235936,,,,0.5448776015327843,0.43932432583230874,0.5363973815162617,0.6897270790221767
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,17,lgbm_60_l15,boosting,604,302,-0.6107374614740744,0.0400373000302352,,,,0.6107374614740744,0.4798488849929321,0.4175520939161179,0.638996669109654
