dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
bace,classification,1,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1044,469,0.7801733596664472,0.007066000020131469,0.7801733596664472,0.7195703736105683,0.19225120254401773,,,,
bace,classification,1,stratified_scaffold_group,2,logreg_l2_c1,linear,1044,469,0.7471838197644649,0.011101500014774501,0.7471838197644649,0.6885614245330078,0.23579156452531058,,,,
bace,classification,1,stratified_scaffold_group,3,logreg_l2_c10,linear,1044,469,0.7218199107600028,0.02424209995660931,0.7218199107600028,0.6547693561568328,0.2967283594026408,,,,
bace,classification,1,stratified_scaffold_group,4,logreg_l1_c1,linear,1044,469,0.7387535659425061,0.11209549999330193,0.7387535659425061,0.6924387361476734,0.23170493874301293,,,,
bace,classification,1,stratified_scaffold_group,5,rf_60_sqrt,bagging,1044,469,0.8174328871333478,0.1394076999858953,0.8174328871333478,0.7683850488373664,0.17744778370848277,,,,
bace,classification,1,stratified_scaffold_group,6,rf_90_d12,bagging,1044,469,0.8061955965181771,0.21251149999443442,0.8061955965181771,0.7693218986246885,0.1814344278442818,,,,
bace,classification,1,stratified_scaffold_group,7,rf_90_leaf2,bagging,1044,469,0.8231109648160339,0.2232293999986723,0.8231109648160339,0.7832365343500975,0.1734560480919876,,,,
bace,classification,1,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1044,469,0.8170945797673907,0.2828563000075519,0.8170945797673907,0.7751841188634393,0.17624206193669653,,,,
bace,classification,1,stratified_scaffold_group,9,et_60_sqrt,bagging,1044,469,0.803214834320825,0.09636490000411868,0.803214834320825,0.7476349744202297,0.18425177533891862,,,,
bace,classification,1,stratified_scaffold_group,10,et_90_d12,bagging,1044,469,0.8015507278180088,0.12733549997210503,0.8015507278180088,0.7589472735393132,0.18323238584192394,,,,
bace,classification,1,stratified_scaffold_group,11,et_90_leaf2,bagging,1044,469,0.807896276790286,0.13675050000892952,0.807896276790286,0.7706896613634904,0.17952264759378914,,,,
bace,classification,1,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1044,469,0.8092677931387608,0.17273950000526384,0.8092677931387608,0.7750605176019161,0.17949256874611827,,,,
bace,classification,1,stratified_scaffold_group,13,histgb_lr0.05,boosting,1044,469,0.8137023626654962,1.494488199998159,0.8137023626654962,0.7746368156664708,0.17953552208152915,,,,
bace,classification,1,stratified_scaffold_group,14,histgb_lr0.1,boosting,1044,469,0.8142509692048862,1.2292246000142768,0.8142509692048862,0.7676138781973174,0.1841355035508029,,,,
bace,classification,1,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1044,469,0.7752267573696145,0.5680928000365384,0.7752267573696145,0.7325383326512269,0.19967245910047235,,,,
bace,classification,1,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1044,469,0.7937970887279642,0.8790399999707006,0.7937970887279642,0.7453672369718053,0.1880232706756642,,,,
bace,classification,1,stratified_scaffold_group,17,lgbm_60_l15,boosting,1044,469,0.8009289737400337,0.08730169996852055,0.8009289737400337,0.7551018737966482,0.18198322485779014,,,,
bace,classification,1,stratified_scaffold_group,18,lgbm_90_l31,boosting,1044,469,0.8133823421841855,0.11663080001017079,0.8133823421841855,0.7627355198406962,0.1821542881250605,,,,
bace,classification,1,stratified_scaffold_group,19,lgbm_60_l63,boosting,1044,469,0.8111330553726865,0.08701729995664209,0.8111330553726865,0.7567369368749296,0.18443008844349884,,,,
bace,classification,1,stratified_scaffold_group,20,lgbm_100_leaf10,boosting,1044,469,0.8080608587521031,0.11693880002712831,0.8080608587521031,0.7662061294856728,0.18556501435104697,,,,
bace,classification,1,stratified_scaffold_group,21,lgbm_100_leaf30,boosting,1044,469,0.8046777850925317,0.0770562999532558,0.8046777850925317,0.7504038915650905,0.18636383272360388,,,,
bace,classification,1,stratified_scaffold_group,22,lgbm_80_ff0.7,boosting,1044,469,0.8107307439104674,0.07604379998520017,0.8107307439104674,0.7621412747163052,0.18600778810813576,,,,
bace,classification,1,stratified_scaffold_group,23,lgbm_80_bag0.8,boosting,1044,469,0.798515104966718,0.0773258000263013,0.798515104966718,0.7503800660828063,0.19866741660709406,,,,
bace,classification,1,stratified_scaffold_group,24,lgbm_120_l15,boosting,1044,469,0.8082528710408895,0.08114110003225505,0.8082528710408895,0.7626787013384371,0.1815335608086088,,,,
bace,classification,1,stratified_scaffold_group,25,xgb_60_d3,boosting,1044,469,0.7818008923999706,0.0715411999844946,0.7818008923999706,0.7381542397275005,0.1944329870031497,,,,
bace,classification,1,stratified_scaffold_group,26,xgb_80_d5,boosting,1044,469,0.8124679979518689,0.09326150000561029,0.8124679979518689,0.7640142253853741,0.17938353246610242,,,,
bace,classification,1,stratified_scaffold_group,27,xgb_100_d3,boosting,1044,469,0.7903865847414235,0.08214830001816154,0.7903865847414235,0.7335409894585662,0.19126129534130662,,,,
bace,classification,1,stratified_scaffold_group,28,xgb_60_d6,boosting,1044,469,0.8215382927364494,0.07852580002509058,0.8215382927364494,0.7802631229545929,0.17413608146369386,,,,
bace,classification,1,stratified_scaffold_group,29,cat_60_d4,boosting,1044,469,0.7707739009582328,0.2494779999833554,0.7707739009582328,0.7180775078979051,0.20073431594843028,,,,
bace,classification,1,stratified_scaffold_group,30,cat_80_d6,boosting,1044,469,0.793559359227562,0.9365250000264496,0.793559359227562,0.7495415355945105,0.19010786995218873,,,,
bace,classification,1,stratified_scaffold_group,31,cat_100_d4,boosting,1044,469,0.7766439909297052,0.582752900023479,0.7766439909297052,0.7241730651786933,0.19668683036713233,,,,
bace,classification,1,stratified_scaffold_group,32,cat_60_d8,boosting,1044,469,0.8088837685611879,2.2261876999982633,0.8088837685611879,0.7688664195993096,0.18249854638455934,,,,
bace,classification,2,stratified_scaffold_group,1,logreg_l2_c0.1,linear,898,615,0.8762030671602327,0.006585799972526729,0.8762030671602327,0.8589534397480402,0.14344082785086365,,,,
bace,classification,2,stratified_scaffold_group,2,logreg_l2_c1,linear,898,615,0.8608038075092543,0.01002320001134649,0.8608038075092543,0.8446045408348071,0.15659936457046017,,,,
bace,classification,2,stratified_scaffold_group,3,logreg_l2_c10,linear,898,615,0.8289053410893706,0.01809359999606386,0.8289053410893706,0.8195915489877132,0.2015154324644777,,,,
bace,classification,2,stratified_scaffold_group,4,logreg_l1_c1,linear,898,615,0.8551031200423056,0.08191789995180443,0.8551031200423056,0.8258660617305007,0.15471597257335956,,,,
bace,classification,2,stratified_scaffold_group,5,rf_60_sqrt,bagging,898,615,0.893183500793231,0.15242700005182996,0.893183500793231,0.8687550835633953,0.1354413337424522,,,,
bace,classification,2,stratified_scaffold_group,6,rf_90_d12,bagging,898,615,0.8908408249603383,0.21836340002482757,0.8908408249603383,0.8767813697749545,0.1443724453043729,,,,
bace,classification,2,stratified_scaffold_group,7,rf_90_leaf2,bagging,898,615,0.8872765732416712,0.21762230002786964,0.8872765732416712,0.8646783758972707,0.141089742591458,,,,
bace,classification,2,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,898,615,0.8867900581702802,0.276032000023406,0.8867900581702802,0.8656089568461922,0.14159226364709288,,,,
bace,classification,2,stratified_scaffold_group,9,et_60_sqrt,bagging,898,615,0.890174510840825,0.0913556000450626,0.890174510840825,0.8609668866557716,0.135706591419077,,,,
bace,classification,2,stratified_scaffold_group,10,et_90_d12,bagging,898,615,0.885986250661026,0.1309375999844633,0.885986250661026,0.8688065157641207,0.14276702850344092,,,,
bace,classification,2,stratified_scaffold_group,11,et_90_leaf2,bagging,898,615,0.8976837652035959,0.12619270000141114,0.8976837652035959,0.8775622100879874,0.13092299386281397,,,,
bace,classification,2,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,898,615,0.8932734003172924,0.15961539995623752,0.8932734003172924,0.8746576813538172,0.13247302526741447,,,,
bace,classification,2,stratified_scaffold_group,13,histgb_lr0.05,boosting,898,615,0.8821364357482814,1.0268291999818757,0.8821364357482814,0.8686495690142022,0.13853066526776903,,,,
bace,classification,2,stratified_scaffold_group,14,histgb_lr0.1,boosting,898,615,0.8812004230565837,0.8923390000127256,0.8812004230565837,0.8674267960211647,0.13961257131049262,,,,
bace,classification,2,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,898,615,0.8508090957165522,0.4004597999737598,0.8508090957165522,0.829563029122005,0.17837464923163363,,,,
bace,classification,2,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,898,615,0.869978847170809,0.5822358000441454,0.869978847170809,0.8555327855406765,0.14800125604926498,,,,
bace,classification,2,stratified_scaffold_group,17,lgbm_60_l15,boosting,898,615,0.8869011105235325,0.04921139997895807,0.8869011105235325,0.8733478723737016,0.13876201902311744,,,,
bace,classification,2,stratified_scaffold_group,18,lgbm_90_l31,boosting,898,615,0.8824748810153359,0.08499320002738386,0.8824748810153359,0.8728566670180408,0.13958351821192339,,,,
bace,classification,2,stratified_scaffold_group,19,lgbm_60_l63,boosting,898,615,0.875848757271285,0.07255979999899864,0.875848757271285,0.8623964715002896,0.1454048780943461,,,,
bace,classification,2,stratified_scaffold_group,20,lgbm_100_leaf10,boosting,898,615,0.8833897408778424,0.10551829996984452,0.8833897408778424,0.8687755472382653,0.14184265661545997,,,,
bace,classification,2,stratified_scaffold_group,21,lgbm_100_leaf30,boosting,898,615,0.8793865679534636,0.06819359998917207,0.8793865679534636,0.8594029338028635,0.14049023917380257,,,,
bace,classification,2,stratified_scaffold_group,22,lgbm_80_ff0.7,boosting,898,615,0.8879323109465891,0.0687608000007458,0.8879323109465891,0.8787896884785231,0.13695660064959692,,,,
bace,classification,2,stratified_scaffold_group,23,lgbm_80_bag0.8,boosting,898,615,0.889941829719725,0.07692829996813089,0.889941829719725,0.8758790964672538,0.13402229620691195,,,,
bace,classification,2,stratified_scaffold_group,24,lgbm_120_l15,boosting,898,615,0.8826123744050767,0.09201939997728914,0.8826123744050767,0.8673265741502256,0.13873085081736766,,,,
bace,classification,2,stratified_scaffold_group,25,xgb_60_d3,boosting,898,615,0.8651189846641989,0.06613859999924898,0.8651189846641989,0.8481035262750758,0.15971287272959012,,,,
bace,classification,2,stratified_scaffold_group,26,xgb_80_d5,boosting,898,615,0.8802485457429929,0.08636270003626123,0.8802485457429929,0.8615718228681125,0.14431601280582332,,,,
bace,classification,2,stratified_scaffold_group,27,xgb_100_d3,boosting,898,615,0.8765943945002643,0.07619629998225719,0.8765943945002643,0.8625981465204664,0.15121608698275635,,,,
bace,classification,2,stratified_scaffold_group,28,xgb_60_d6,boosting,898,615,0.8803807509254362,0.07330170000204816,0.8803807509254362,0.8594657043112066,0.1398365786145689,,,,
bace,classification,2,stratified_scaffold_group,29,cat_60_d4,boosting,898,615,0.8696774193548387,0.27170600002864376,0.8696774193548387,0.8606516011765342,0.1605904536967847,,,,
bace,classification,2,stratified_scaffold_group,30,cat_80_d6,boosting,898,615,0.879613960867266,0.8255481999949552,0.879613960867266,0.8555518212190688,0.15175088871849976,,,,
bace,classification,2,stratified_scaffold_group,31,cat_100_d4,boosting,898,615,0.8790851401374934,0.417853599996306,0.8790851401374934,0.8708182832826779,0.15700645387663237,,,,
bace,classification,2,stratified_scaffold_group,32,cat_60_d8,boosting,898,615,0.890830248545743,2.348846399981994,0.890830248545743,0.8703862555711783,0.14082542997635258,,,,
bace,classification,3,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1084,429,0.8624260355029586,0.010374700010288507,0.8624260355029586,0.7811238198704769,0.15014675983746048,,,,
bace,classification,3,stratified_scaffold_group,2,logreg_l2_c1,linear,1084,429,0.8517979062357761,0.01708139997208491,0.8517979062357761,0.7834438274171992,0.15556353924335564,,,,
bace,classification,3,stratified_scaffold_group,3,logreg_l2_c10,linear,1084,429,0.828607191624943,0.027653699973598123,0.828607191624943,0.7542110164590011,0.19482095374346683,,,,
bace,classification,3,stratified_scaffold_group,4,logreg_l1_c1,linear,1084,429,0.8436276741010469,0.08489670004928485,0.8436276741010469,0.7683619950882776,0.16234006963965728,,,,
bace,classification,3,stratified_scaffold_group,5,rf_60_sqrt,bagging,1084,429,0.8697542102867548,0.13391889998456463,0.8697542102867548,0.7988146923655751,0.13886057484652548,,,,
bace,classification,3,stratified_scaffold_group,6,rf_90_d12,bagging,1084,429,0.8682066454255805,0.1821644000010565,0.8682066454255805,0.7815932436094104,0.14635078478144817,,,,
bace,classification,3,stratified_scaffold_group,7,rf_90_leaf2,bagging,1084,429,0.8762175694128358,0.16181399999186397,0.8762175694128358,0.7968733406129044,0.14025914115204732,,,,
bace,classification,3,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1084,429,0.878629949931725,0.24848449998535216,0.878629949931725,0.7960114672552075,0.1414513232608539,,,,
bace,classification,3,stratified_scaffold_group,9,et_60_sqrt,bagging,1084,429,0.8763654984069185,0.07844170002499595,0.8763654984069185,0.7943237582236311,0.1359891803244336,,,,
bace,classification,3,stratified_scaffold_group,10,et_90_d12,bagging,1084,429,0.8822143832498862,0.1095560000394471,0.8822143832498862,0.8089372384337682,0.13828095676370875,,,,
