dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
esol,regression,1,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,752,376,-2.508625573770116,0.008897499996237457,,,,2.508625573770116,1.9620062783461936,-0.05217102755926506,0.5482737933677542
esol,regression,1,seeded_scaffold_group_balanced,2,ridge_a1,linear,752,376,-2.004315332873093,0.009834600030444562,,,,2.004315332873093,1.5752529810426081,0.32834423623522857,0.6329273076079901
esol,regression,1,seeded_scaffold_group_balanced,3,ridge_a10,linear,752,376,-1.7485806612390575,0.010162700025830418,,,,1.7485806612390575,1.3251289652788893,0.4888057146598238,0.721485125216791
esol,regression,1,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,752,376,-2.0343734590652947,0.03086350002558902,,,,2.0343734590652947,1.5942765615569785,0.3080479330883661,0.6322265873040859
esol,regression,1,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,752,376,-1.771631648563772,0.08979499997803941,,,,1.771631648563772,1.3366796287661313,0.4752390516466469,0.7589233197785815
esol,regression,1,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,752,376,-2.0035251523333977,0.129875999991782,,,,2.0035251523333977,1.5316404586601977,0.32887371848578406,0.7148554123762624
esol,regression,1,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,752,376,-1.9108969967616658,0.12981860002037138,,,,1.9108969967616658,1.4501446762264376,0.38949502957917903,0.7373742515795985
esol,regression,1,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,752,376,-1.9342350186584956,0.16860889998497441,,,,1.9342350186584956,1.4790845744819183,0.3744916206512331,0.7423983045488008
esol,regression,1,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,752,376,-1.7592233038875837,0.06969029997708276,,,,1.7592233038875837,1.3213044547872341,0.4825640642145179,0.7491907797972427
esol,regression,1,seeded_scaffold_group_balanced,10,et_90_d12,bagging,752,376,-1.9946713235762923,0.08917250001104549,,,,1.9946713235762923,1.5119037336790144,0.3347921945882849,0.7046555744516617
esol,regression,1,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,752,376,-1.8784810162123209,0.09588749997783452,,,,1.8784810162123209,1.4200608285239684,0.4100322536897216,0.7405052568163901
esol,regression,1,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,752,376,-1.9207336755881463,0.11288789997342974,,,,1.9207336755881463,1.4529796291150487,0.38319348836348066,0.7254569680364207
esol,regression,1,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,752,376,-1.7782115934420306,1.4730127999791875,,,,1.7782115934420306,1.373284253074411,0.4713338264817093,0.7268100109016425
esol,regression,1,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,752,376,-1.7215842808725845,1.087842000008095,,,,1.7215842808725845,1.337965719566235,0.5044685472049983,0.7356397373758485
esol,regression,1,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,752,376,-2.091411712796248,0.3961169000249356,,,,2.091411712796248,1.6345855505925782,0.26870312060466894,0.685307916399271
esol,regression,1,seeded_scaffold_group_balanced,16,gb_lr0.1_d3,boosting,752,376,-1.831827395344201,0.5344619000097737,,,,1.831827395344201,1.4037974500516543,0.43897301923894805,0.742082176065754
esol,regression,1,seeded_scaffold_group_balanced,17,lgbm_60_l15,boosting,752,376,-1.8522970184123473,0.06300079997163266,,,,1.8522970184123473,1.4316343780036245,0.42636465397285905,0.7149158939425488
esol,regression,1,seeded_scaffold_group_balanced,18,lgbm_90_l31,boosting,752,376,-1.76164962079503,0.13509190001059324,,,,1.76164962079503,1.3479353501460218,0.4811357869480345,0.7290186491262172
esol,regression,1,seeded_scaffold_group_balanced,19,lgbm_60_l63,boosting,752,376,-1.7728786292159107,0.10199970001121983,,,,1.7728786292159107,1.3557213498291856,0.4745000751879509,0.7234709649961314
esol,regression,1,seeded_scaffold_group_balanced,20,lgbm_100_leaf10,boosting,752,376,-1.7726800549652828,0.1879835000145249,,,,1.7726800549652828,1.3433835165841927,0.47461778759991646,0.7264048819288657
esol,regression,1,seeded_scaffold_group_balanced,21,lgbm_100_leaf30,boosting,752,376,-1.792530449990519,0.1504179000039585,,,,1.792530449990519,1.361555115917914,0.4627854928531401,0.7187450123642171
esol,regression,1,seeded_scaffold_group_balanced,22,lgbm_80_ff0.7,boosting,752,376,-1.7432102117275439,0.09489559999201447,,,,1.7432102117275439,1.3324373407063255,0.49194097429999806,0.734990306115231
esol,regression,1,seeded_scaffold_group_balanced,23,lgbm_80_bag0.8,boosting,752,376,-1.7157307659891128,0.07981470000231639,,,,1.7157307659891128,1.3033146207231048,0.5078325063639904,0.7484745234320446
esol,regression,1,seeded_scaffold_group_balanced,24,lgbm_120_l15,boosting,752,376,-1.7749372873071891,0.07854329998372123,,,,1.7749372873071891,1.3720308331965436,0.4732789506742572,0.7332299144984333
esol,regression,1,seeded_scaffold_group_balanced,25,xgb_60_d3,boosting,752,376,-1.910023823138742,0.07136579998768866,,,,1.910023823138742,1.4783669483763109,0.39005283572415594,0.7265748230734985
esol,regression,1,seeded_scaffold_group_balanced,26,xgb_80_d5,boosting,752,376,-1.8191344784497212,0.10077000001911074,,,,1.8191344784497212,1.3842048489850889,0.4467209081045209,0.7394400087191184
esol,regression,1,seeded_scaffold_group_balanced,27,xgb_100_d3,boosting,752,376,-1.9150726910366511,0.07776310003828257,,,,1.9150726910366511,1.4863054430091636,0.38682396205305525,0.7212593929058546
esol,regression,1,seeded_scaffold_group_balanced,28,xgb_60_d6,boosting,752,376,-1.792141179613555,0.08002710004802793,,,,1.792141179613555,1.3524127208431984,0.4630187931990448,0.7459653663520676
esol,regression,1,seeded_scaffold_group_balanced,29,cat_60_d4,boosting,752,376,-2.064595833097582,0.14155930001288652,,,,2.064595833097582,1.5950483044458612,0.28733613091991783,0.6675722731915966
esol,regression,1,seeded_scaffold_group_balanced,30,cat_80_d6,boosting,752,376,-1.9959302515399866,0.3140686999540776,,,,1.9959302515399866,1.5333432523196795,0.3339522436910931,0.6963279051410571
esol,regression,1,seeded_scaffold_group_balanced,31,cat_100_d4,boosting,752,376,-2.0324846600646542,0.24079919996438548,,,,2.0324846600646542,1.568862433060819,0.30933221218543416,0.6903303212416393
esol,regression,1,seeded_scaffold_group_balanced,32,cat_60_d8,boosting,752,376,-1.97213038517988,0.44841919996542856,,,,1.97213038517988,1.5075966622908654,0.3497417105798898,0.7025008263796094
esol,regression,2,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,752,376,-2.5934135175952666,0.0071838999865576625,,,,2.5934135175952666,1.9588297259148133,-1.1937983290613206,0.45048269483245734
esol,regression,2,seeded_scaffold_group_balanced,2,ridge_a1,linear,752,376,-1.9304101370826166,0.006388299982063472,,,,1.9304101370826166,1.5093824464704129,-0.215492658290088,0.56423936174468
esol,regression,2,seeded_scaffold_group_balanced,3,ridge_a10,linear,752,376,-1.599498291723384,0.006703099992591888,,,,1.599498291723384,1.2906673638998194,0.16551079655712708,0.6304158688529004
esol,regression,2,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,752,376,-1.9776256582477227,0.04866830003447831,,,,1.9776256582477227,1.5454355956239902,-0.275678797005138,0.554302941469859
esol,regression,2,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,752,376,-1.7284982315612152,0.06593470001826063,,,,1.7284982315612152,1.3855596462813682,0.025479363710649627,0.5207284262744643
esol,regression,2,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,752,376,-1.7458550522146528,0.09838949999539182,,,,1.7458550522146528,1.4173847315088157,0.005809682838777919,0.47493607657885306
esol,regression,2,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,752,376,-1.7371281236874145,0.09684319997904822,,,,1.7371281236874145,1.4158263342624686,0.015724071883780222,0.47469215846895096
