endpoint,task_type,seed,outer_fold,inner_fold,split_regime,outer_split_type,inner_split_type,train_n,validation_n,test_n,train_scaffold_n,validation_scaffold_n,test_scaffold_n,group_definition,train_group_n,validation_group_n,test_group_n,target_mean,target_sd,target_range,train_target_mean,train_target_sd,train_target_min,train_target_max,train_target_range,validation_target_mean,validation_target_sd,validation_target_min,validation_target_max,validation_target_range,test_target_mean,test_target_sd,test_target_min,test_target_max,test_target_range,outer_split_hash,split_hash,no_scaffold_overlap,no_group_overlap,max_train_validation_tanimoto,max_train_test_tanimoto,max_validation_test_tanimoto
bbbp,classification,83,1,1,scaffold,stratified_scaffold_group,stratified_scaffold_group,775,639,625,508,243,368,Bemis-Murcko scaffold,508,243,368,0.712,0.4531937945124749,1.0,0.7638709677419355,0.4249766479323564,0.0,1.0,1.0,0.8184663536776213,0.3857616677496897,0.0,1.0,1.0,0.712,0.4531937945124749,0.0,1.0,1.0,69893523578fcb48dd6401187f85bc4411652b6ccf930913a62412d31179b06e,6d80fcc7d310a46396a7ef2eeb903cf9e432b21de7c0d2c8c2357bf89c85958f,True,True,,,
bbbp,classification,83,1,2,scaffold,stratified_scaffold_group,stratified_scaffold_group,1028,386,625,502,249,368,Bemis-Murcko scaffold,502,249,368,0.712,0.4531937945124749,1.0,0.8015564202334631,0.3990220637129279,0.0,1.0,1.0,0.7538860103626943,0.4313047886806344,0.0,1.0,1.0,0.712,0.4531937945124749,0.0,1.0,1.0,69893523578fcb48dd6401187f85bc4411652b6ccf930913a62412d31179b06e,cc8f47891f958a2b5b495b394a152a9cdce995898b794bf94702e55bb4f275b3,True,True,,,
bbbp,classification,83,1,3,scaffold,stratified_scaffold_group,stratified_scaffold_group,1025,389,625,492,259,368,Bemis-Murcko scaffold,492,259,368,0.712,0.4531937945124749,1.0,0.7941463414634147,0.4045214162680539,0.0,1.0,1.0,0.7737789203084833,0.4189227255316575,0.0,1.0,1.0,0.712,0.4531937945124749,0.0,1.0,1.0,69893523578fcb48dd6401187f85bc4411652b6ccf930913a62412d31179b06e,9ccf146d62c79bbdea3839451423e16c5a4fd18504fda5a92fa422e6aa294357,True,True,,,
bbbp,classification,83,2,1,scaffold,stratified_scaffold_group,stratified_scaffold_group,788,435,816,496,249,374,Bemis-Murcko scaffold,496,249,374,0.8137254901960784,0.3895668107167618,1.0,0.75,0.4332877179262273,0.0,1.0,1.0,0.7011494252873564,0.4582812643475326,0.0,1.0,1.0,0.8137254901960784,0.3895668107167618,0.0,1.0,1.0,6af96767a65c239593bf6734f7a3aa6451071e9e7e0dec606313a9c080e50227,65e5f324205ea0ae6f94bc56280f626e9782d7b0fa1942369c44707e27e7d799,True,True,,,
bbbp,classification,83,2,2,scaffold,stratified_scaffold_group,stratified_scaffold_group,836,387,816,496,249,374,Bemis-Murcko scaffold,496,249,374,0.8137254901960784,0.3895668107167618,1.0,0.7260765550239234,0.4462371366843661,0.0,1.0,1.0,0.7467700258397932,0.4354244624718634,0.0,1.0,1.0,0.8137254901960784,0.3895668107167618,0.0,1.0,1.0,6af96767a65c239593bf6734f7a3aa6451071e9e7e0dec606313a9c080e50227,a32b50f67bc8d10a71e064a3a4677e958c852fa8599820952b1285a6c3bfc87f,True,True,,,
bbbp,classification,83,2,3,scaffold,stratified_scaffold_group,stratified_scaffold_group,822,401,816,498,247,374,Bemis-Murcko scaffold,498,247,374,0.8137254901960784,0.3895668107167618,1.0,0.7226277372262774,0.4479743610088693,0.0,1.0,1.0,0.7531172069825436,0.4317366196284252,0.0,1.0,1.0,0.8137254901960784,0.3895668107167618,0.0,1.0,1.0,6af96767a65c239593bf6734f7a3aa6451071e9e7e0dec606313a9c080e50227,1230b700812b7414a1d1c8ac5d4aee2e205ea74248915bfdc63b3cbaee5980b9,True,True,,,
bbbp,classification,83,3,1,scaffold,stratified_scaffold_group,stratified_scaffold_group,866,575,598,488,254,377,Bemis-Murcko scaffold,488,254,377,0.754180602006689,0.4309324324045818,1.0,0.7771362586605081,0.4164081172845182,0.0,1.0,1.0,0.7582608695652174,0.4285098173155754,0.0,1.0,1.0,0.754180602006689,0.4309324324045818,0.0,1.0,1.0,db7ab2e647a016028c5859d0d13b57cedcca480624547fcf5bcb3dda32c50e41,90da535d103ff8777b8a6d6da44da7142e1321e3e945175a72c8933d225d673e,True,True,,,
bbbp,classification,83,3,2,scaffold,stratified_scaffold_group,stratified_scaffold_group,969,472,598,496,246,377,Bemis-Murcko scaffold,496,246,377,0.754180602006689,0.4309324324045818,1.0,0.7678018575851393,0.4224527676135102,0.0,1.0,1.0,0.7733050847457628,0.4191378373318495,0.0,1.0,1.0,0.754180602006689,0.4309324324045818,0.0,1.0,1.0,db7ab2e647a016028c5859d0d13b57cedcca480624547fcf5bcb3dda32c50e41,dcedf03a05964c8a1898bc138d93204d1d27c552a1b3853ac3a4510fe97eea13,True,True,,,
bbbp,classification,83,3,3,scaffold,stratified_scaffold_group,stratified_scaffold_group,1047,394,598,500,242,377,Bemis-Murcko scaffold,500,242,377,0.754180602006689,0.4309324324045818,1.0,0.7650429799426934,0.4241745702285646,0.0,1.0,1.0,0.7817258883248731,0.4135996835207885,0.0,1.0,1.0,0.754180602006689,0.4309324324045818,0.0,1.0,1.0,db7ab2e647a016028c5859d0d13b57cedcca480624547fcf5bcb3dda32c50e41,692a93b71310072e37a230dd6d1bc766d8a0d24107022ba1f3fcfc293f0e323a,True,True,,,
bace,classification,83,1,1,scaffold,stratified_scaffold_group,stratified_scaffold_group,632,320,561,325,158,192,Bemis-Murcko scaffold,325,158,192,0.4866310160427807,0.5002673082254571,1.0,0.4414556962025316,0.4969540514517898,0.0,1.0,1.0,0.434375,0.4964509623253141,0.0,1.0,1.0,0.4866310160427807,0.5002673082254571,0.0,1.0,1.0,b2b7097ba17795f2c005e8bb3a6b3652c3b4d86cde825e0d7a0ae1a14f24d07c,fd78be846f9793de33ebf52658f299388625aafd852ef08f3f4213faf21c98c0,True,True,,,
