dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
clintox,classification,1,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1061,419,0.824607329842932,0.005681900016497821,0.824607329842932,0.31466931396567466,0.09885004350226594,,,,
clintox,classification,1,stratified_scaffold_group,2,logreg_l2_c1,linear,1061,419,0.8133578604782794,0.007549999980255961,0.8133578604782794,0.30543321626988806,0.08939117712529793,,,,
clintox,classification,1,stratified_scaffold_group,3,logreg_l2_c10,linear,1061,419,0.8025328993915382,0.012828700011596084,0.8025328993915382,0.30188044987687224,0.09938662267290047,,,,
clintox,classification,1,stratified_scaffold_group,4,logreg_l1_c1,linear,1061,419,0.7849865572378661,0.011085600010119379,0.7849865572378661,0.27930045963344585,0.10228892703874387,,,,
clintox,classification,1,stratified_scaffold_group,5,rf_60_sqrt,bagging,1061,419,0.8638743455497383,0.1160706999944523,0.8638743455497383,0.3601892930055126,0.0684112452908501,,,,
clintox,classification,1,stratified_scaffold_group,6,rf_90_d12,bagging,1061,419,0.839252865430876,0.1586708000395447,0.839252865430876,0.29952984302122987,0.074358880354097,,,,
clintox,classification,1,stratified_scaffold_group,7,rf_90_leaf2,bagging,1061,419,0.8722937597283147,0.15925719996448606,0.8722937597283147,0.3625733321845258,0.0695612685544206,,,,
clintox,classification,1,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1061,419,0.8688269421253715,0.1969245999935083,0.8688269421253715,0.33748035654762826,0.07016192784949125,,,,
clintox,classification,1,stratified_scaffold_group,9,et_60_sqrt,bagging,1061,419,0.8389698599122684,0.07416740001644939,0.8389698599122684,0.3116245564841494,0.07046135562670408,,,,
clintox,classification,1,stratified_scaffold_group,10,et_90_d12,bagging,1061,419,0.7990307060987689,0.10057830001460388,0.7990307060987689,0.2822426942160544,0.08556724930500462,,,,
clintox,classification,1,stratified_scaffold_group,11,et_90_leaf2,bagging,1061,419,0.8646879864157351,0.11733209999511018,0.8646879864157351,0.3199740099631694,0.07094986571582419,,,,
clintox,classification,1,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1061,419,0.8629545776142635,0.15945650002686307,0.8629545776142635,0.3305715973759317,0.07100405601808894,,,,
clintox,classification,1,stratified_scaffold_group,13,histgb_lr0.05,boosting,1061,419,0.8165062968727891,1.1755847999593243,0.8165062968727891,0.331487495659369,0.07324250935005505,,,,
clintox,classification,1,stratified_scaffold_group,14,histgb_lr0.1,boosting,1061,419,0.810633932361681,0.8628797000274062,0.810633932361681,0.3020866183938332,0.07617559161126174,,,,
clintox,classification,1,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1061,419,0.815055893589925,0.4500551000237465,0.815055893589925,0.28015404236008623,0.0727192419446435,,,,
clintox,classification,1,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1061,419,0.8382269704259233,0.6736481999978423,0.8382269704259233,0.2946499019327138,0.07516050011997127,,,,
clintox,classification,1,stratified_scaffold_group,17,lgbm_60_l15,boosting,1061,419,0.8198316117164285,0.04975200002081692,0.8198316117164285,0.3253261274154544,0.07203808337888905,,,,
clintox,classification,1,stratified_scaffold_group,18,lgbm_90_l31,boosting,1061,419,0.843604075279468,0.09311140002682805,0.843604075279468,0.3505504495625327,0.07417083356206042,,,,
clintox,classification,1,stratified_scaffold_group,19,lgbm_60_l63,boosting,1061,419,0.8525541248054337,0.08705770003143698,0.8525541248054337,0.36291728905430204,0.07536804729171227,,,,
clintox,classification,1,stratified_scaffold_group,20,lgbm_100_leaf10,boosting,1061,419,0.8367058157634074,0.14901039999676868,0.8367058157634074,0.37070075134091296,0.07417570559167869,,,,
clintox,classification,1,stratified_scaffold_group,21,lgbm_100_leaf30,boosting,1061,419,0.8310457053912551,0.09332290000747889,0.8310457053912551,0.33297591234021107,0.07332856297314425,,,,
