dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
bbbp,classification,1,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1256,783,0.8141433213313428,0.0071683999849483,0.8141433213313428,0.9151776872065138,0.1461496003111873,,,,
bbbp,classification,1,stratified_scaffold_group,2,logreg_l2_c1,linear,1256,783,0.7971853868446473,0.0093314999830909,0.7971853868446473,0.913813128140352,0.1654087506086639,,,,
bbbp,classification,1,stratified_scaffold_group,3,logreg_l2_c10,linear,1256,783,0.777680688504435,0.0133906999835744,0.777680688504435,0.9046520509789148,0.1953532178084633,,,,
bbbp,classification,1,stratified_scaffold_group,4,logreg_l1_c1,linear,1256,783,0.7968341090717486,0.0159699999494478,0.7968341090717486,0.9126877875051628,0.1678707463123952,,,,
bbbp,classification,1,stratified_scaffold_group,5,rf_60_sqrt,bagging,1256,783,0.8198603670852727,0.122926699987147,0.8198603670852727,0.919228817158464,0.1320496570649819,,,,
bbbp,classification,1,stratified_scaffold_group,6,rf_90_d12,bagging,1256,783,0.8093659436199174,0.1705873999744653,0.8093659436199174,0.9127426489463676,0.132800995350124,,,,
bbbp,classification,1,stratified_scaffold_group,7,rf_90_leaf2,bagging,1256,783,0.8296171072275402,0.1932156999828294,0.8296171072275402,0.9256526899163032,0.1274426915330799,,,,
bbbp,classification,1,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1256,783,0.8279836655835602,0.2762676000129431,0.8279836655835602,0.9267326473740632,0.1280482303572989,,,,
bbbp,classification,1,stratified_scaffold_group,9,et_60_sqrt,bagging,1256,783,0.841960129972776,0.0973225000197999,0.841960129972776,0.9304726430829358,0.1245985334655675,,,,
bbbp,classification,1,stratified_scaffold_group,10,et_90_d12,bagging,1256,783,0.8277114253095635,0.1418311000452377,0.8277114253095635,0.92687485133893,0.1301194153810703,,,,
bbbp,classification,1,stratified_scaffold_group,11,et_90_leaf2,bagging,1256,783,0.836554843242294,0.1225814000354148,0.836554843242294,0.9317585228885592,0.1244017076950399,,,,
bbbp,classification,1,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1256,783,0.8401378765258628,0.1571644999785348,0.8401378765258628,0.9325965961145348,0.1246764583129185,,,,
bbbp,classification,1,stratified_scaffold_group,13,histgb_lr0.05,boosting,1256,783,0.8226793712127864,1.194162799976766,0.8226793712127864,0.9209436641278156,0.1343702183550192,,,,
bbbp,classification,1,stratified_scaffold_group,14,histgb_lr0.1,boosting,1256,783,0.819737419864758,0.9596192999742924,0.819737419864758,0.9168420871596348,0.1370840762308379,,,,
bbbp,classification,1,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1256,783,0.7751822253446913,0.5177274000016041,0.7751822253446913,0.8934068316093956,0.1425069196280341,,,,
bbbp,classification,1,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1256,783,0.8177922191973304,0.8375896000070497,0.8177922191973304,0.9139163356540844,0.1310900248326284,,,,
bbbp,classification,1,stratified_scaffold_group,17,lgbm_60_l15,boosting,1256,783,0.8024765082989372,0.0538495000218972,0.8024765082989372,0.90985234953535,0.1363650360986078,,,,
bbbp,classification,1,stratified_scaffold_group,18,lgbm_90_l31,boosting,1256,783,0.8251910072890137,0.1224128000321798,0.8251910072890137,0.9230611177646472,0.136452311495639,,,,
bbbp,classification,1,stratified_scaffold_group,19,lgbm_60_l63,boosting,1256,783,0.8348072363221216,0.0997247999766841,0.8348072363221216,0.9254171599673934,0.1355348690819645,,,,
