dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
freesolv,regression,1,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,428,214,-3.6182295473494706,0.005980900023132563,,,,3.6182295473494706,2.224087166719347,0.16031048238680357,0.6495536281468289
freesolv,regression,1,seeded_scaffold_group_balanced,2,ridge_a1,linear,428,214,-3.2463705150649758,0.005419799999799579,,,,3.2463705150649758,2.067460696285016,0.32403739581873103,0.6970998916061367
freesolv,regression,1,seeded_scaffold_group_balanced,3,ridge_a10,linear,428,214,-3.1754047600283433,0.00584179995348677,,,,3.1754047600283433,1.9665291799117472,0.35326750458621814,0.7185547611049009
freesolv,regression,1,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,428,214,-3.3203279592898705,0.02950439997948706,,,,3.3203279592898705,2.1208132126398174,0.292887580965851,0.6872788842257849
freesolv,regression,1,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,428,214,-3.0524870104751294,0.08773839997593313,,,,3.0524870104751294,1.933604678460169,0.40236757975220716,0.7636949053070063
freesolv,regression,1,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,428,214,-3.2752728463067395,0.12705579999601468,,,,3.2752728463067395,2.1836211473062224,0.31194767089471587,0.7606642970822858
freesolv,regression,1,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,428,214,-3.183950636292611,0.12392040004488081,,,,3.183950636292611,2.0830549915156102,0.3497817549015294,0.7388635096750436
freesolv,regression,1,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,428,214,-3.2197248924523922,0.1591715000104159,,,,3.2197248924523922,2.119963275756227,0.33508821520436605,0.7399024878886498
freesolv,regression,1,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,428,214,-2.9575443918061746,0.07245789997978136,,,,2.9575443918061746,1.888550882658359,0.4389661776002389,0.7528128789259593
freesolv,regression,1,seeded_scaffold_group_balanced,10,et_90_d12,bagging,428,214,-3.2756880595015634,0.0813376999576576,,,,3.2756880595015634,2.23983452286681,0.31177320816880605,0.728342151699265
freesolv,regression,1,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,428,214,-3.071278919379032,0.0887792999856174,,,,3.071278919379032,2.034505135236597,0.39498656657622566,0.7460794184703073
freesolv,regression,1,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,428,214,-3.146144272449532,0.11296129995025694,,,,3.146144272449532,2.1110051900664155,0.3651315163713996,0.731695355918472
freesolv,regression,1,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,428,214,-3.1759761712507437,0.9112362000159919,,,,3.1759761712507437,2.1112543861392097,0.353034725785521,0.6602247694748383
freesolv,regression,1,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,428,214,-3.206452552114893,0.6827869000262581,,,,3.206452552114893,2.1099881540056424,0.34055871143308336,0.6555515861479196
freesolv,regression,1,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,428,214,-3.3320858084279275,0.18251269997563213,,,,3.3320858084279275,2.3330917713910306,0.2878707018435539,0.6639635388394962
freesolv,regression,1,seeded_scaffold_group_balanced,16,gb_lr0.1_d3,boosting,428,214,-3.2756501901403237,0.30026839999482036,,,,3.2756501901403237,2.1272721836150508,0.3117891208917938,0.7143142496493834
freesolv,regression,1,seeded_scaffold_group_balanced,17,lgbm_60_l15,boosting,428,214,-3.2361969060461906,0.039679699984844774,,,,3.2361969060461906,2.1720559389368534,0.32826747586328586,0.6382360007252763
freesolv,regression,1,seeded_scaffold_group_balanced,18,lgbm_90_l31,boosting,428,214,-3.173478520071923,0.07422830001451075,,,,3.173478520071923,2.101789557165284,0.35405189852686914,0.6607144715909591
freesolv,regression,1,seeded_scaffold_group_balanced,19,lgbm_60_l63,boosting,428,214,-3.2197969141117944,0.04330190003383905,,,,3.2197969141117944,2.131697980644682,0.3350584681997011,0.6478276295739226
