dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
lipo,regression,1,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,2800,1400,-1.1018532680565702,0.013349800021387637,,,,1.1018532680565702,0.8661423679275172,0.23811446305742268,0.52516394262625
lipo,regression,1,seeded_scaffold_group_balanced,2,ridge_a1,linear,2800,1400,-1.096795182003997,0.014111500000581145,,,,1.096795182003997,0.8621818490087987,0.24509331859920214,0.5274945353698224
lipo,regression,1,seeded_scaffold_group_balanced,3,ridge_a10,linear,2800,1400,-1.0692907763127804,0.013013299962040037,,,,1.0692907763127804,0.8415821003649916,0.2824802786072743,0.5415706846546754
lipo,regression,1,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,2800,1400,-1.0816430049724561,0.033553000015672296,,,,1.0816430049724561,0.8506365475501333,0.2658072473605657,0.5351168456911116
lipo,regression,1,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,2800,1400,-1.0494959385799112,0.11488779995124787,,,,1.0494959385799112,0.8347171395502645,0.3088000060945423,0.5795814439253081
lipo,regression,1,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,2800,1400,-1.1195375295924832,0.11730089999036863,,,,1.1195375295924832,0.8993181624409256,0.21346235295672034,0.5298573896440765
lipo,regression,1,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,2800,1400,-1.0625589028653153,0.1316033999901265,,,,1.0625589028653153,0.8462535323256855,0.2914863362580792,0.5932634513685289
lipo,regression,1,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,2800,1400,-1.0803640774794214,0.16999979998217896,,,,1.0803640774794214,0.8604401526800792,0.26754243017187507,0.577923930359866
lipo,regression,1,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,2800,1400,-1.025362175000222,0.12424719997216016,,,,1.025362175000222,0.8124739087301587,0.34022358587989776,0.6069591009451226
lipo,regression,1,seeded_scaffold_group_balanced,10,et_90_d12,bagging,2800,1400,-1.1064681072217477,0.09512589999940246,,,,1.1064681072217477,0.8874056266070618,0.23171916121294422,0.5517606008572387
lipo,regression,1,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,2800,1400,-1.0428191290450615,0.12600529997143894,,,,1.0428191290450615,0.8252532438427986,0.31756674901461623,0.5967417505881016
lipo,regression,1,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,2800,1400,-1.0575132990091427,0.15705819998402148,,,,1.0575132990091427,0.8396384661026931,0.29819917172539756,0.5983736190155472
lipo,regression,1,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,2800,1400,-1.0326914797713085,1.3243742000195198,,,,1.0326914797713085,0.8249309199022832,0.33075769104541075,0.5675216538179628
lipo,regression,1,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,2800,1400,-1.0128698515756973,1.0724101000232622,,,,1.0128698515756973,0.8038420774735349,0.35620219754359095,0.5817834044648076
