dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
bbbp,classification,1,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1321,718,0.8928890876565296,0.0070196999586187,0.8928890876565296,0.9580900154310258,0.1276773548835333,,,,
bbbp,classification,1,stratified_scaffold_group,2,logreg_l2_c1,linear,1321,718,0.8647670159298065,0.0098567000241018,0.8647670159298065,0.94213938248167,0.136953529340344,,,,
bbbp,classification,1,stratified_scaffold_group,3,logreg_l2_c10,linear,1321,718,0.8277323451742057,0.0159558000159449,0.8277323451742057,0.920898692839664,0.1709986991728406,,,,
bbbp,classification,1,stratified_scaffold_group,4,logreg_l1_c1,linear,1321,718,0.8796426441775279,0.0214735000045038,0.8796426441775279,0.9524357629512016,0.1323919837218299,,,,
bbbp,classification,1,stratified_scaffold_group,5,rf_60_sqrt,bagging,1321,718,0.9097985347985348,0.1078435000381432,0.9097985347985348,0.96040670439928,0.0998543543011168,,,,
bbbp,classification,1,stratified_scaffold_group,6,rf_90_d12,bagging,1321,718,0.9035160575858252,0.1584780000266619,0.9035160575858252,0.9634141797219508,0.1174645211008474,,,,
bbbp,classification,1,stratified_scaffold_group,7,rf_90_leaf2,bagging,1321,718,0.9010882528324388,0.1682285999995656,0.9010882528324388,0.9577471414869388,0.1079975462411274,,,,
bbbp,classification,1,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1321,718,0.9056350626118068,0.256610999989789,0.9056350626118068,0.9611468462378062,0.1110318390370968,,,,
bbbp,classification,1,stratified_scaffold_group,9,et_60_sqrt,bagging,1321,718,0.908068191498424,0.0784275000332854,0.908068191498424,0.9617868537565604,0.1009391201282345,,,,
bbbp,classification,1,stratified_scaffold_group,10,et_90_d12,bagging,1321,718,0.9117258710281968,0.1013583000167273,0.9117258710281968,0.9630157949741904,0.116237362578395,,,,
bbbp,classification,1,stratified_scaffold_group,11,et_90_leaf2,bagging,1321,718,0.9170287077263822,0.1060584000078961,0.9170287077263822,0.9657480594631268,0.100193367135372,,,,
bbbp,classification,1,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1321,718,0.9185514098304794,0.1307475000503473,0.9185514098304794,0.966190685601376,0.104150154015532,,,,
bbbp,classification,1,stratified_scaffold_group,13,histgb_lr0.05,boosting,1321,718,0.8996773575261947,1.1706499999854714,0.8996773575261947,0.962541360347338,0.0994633911639419,,,,
bbbp,classification,1,stratified_scaffold_group,14,histgb_lr0.1,boosting,1321,718,0.9001618536502257,1.0394830000004731,0.9001618536502257,0.9621285153184128,0.1009150938089124,,,,
bbbp,classification,1,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1321,718,0.8384072323025811,0.57562349998625,0.8384072323025811,0.9324506372324292,0.120697024739945,,,,
bbbp,classification,1,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1321,718,0.901152142431212,0.8165199999930337,0.901152142431212,0.9633298859420198,0.0997041580519373,,,,
bbbp,classification,1,stratified_scaffold_group,17,lgbm_60_l15,boosting,1321,718,0.8877619473549706,0.0551509000360965,0.8877619473549706,0.957317947546061,0.1051192430365735,,,,
bbbp,classification,1,stratified_scaffold_group,18,lgbm_90_l31,boosting,1321,718,0.9054646903484111,0.0983430000487715,0.9054646903484111,0.9619478708311364,0.0963604201799706,,,,
bbbp,classification,1,stratified_scaffold_group,19,lgbm_60_l63,boosting,1321,718,0.9091915836101884,0.0988154999795369,0.9091915836101884,0.9611287875623972,0.09597557001003,,,,
bbbp,classification,1,stratified_scaffold_group,20,lgbm_100_leaf10,boosting,1321,718,0.9044318085015758,0.1164657999761402,0.9044318085015758,0.9610167956876108,0.0945559997555869,,,,
bbbp,classification,1,stratified_scaffold_group,21,lgbm_100_leaf30,boosting,1321,718,0.9024299344066786,0.1058862999780103,0.9024299344066786,0.9607068093130532,0.0970790198683056,,,,
bbbp,classification,1,stratified_scaffold_group,22,lgbm_80_ff0.7,boosting,1321,718,0.9060290484709088,0.0824610000126995,0.9060290484709088,0.9628535737124512,0.095068599229532,,,,
bbbp,classification,1,stratified_scaffold_group,23,lgbm_80_bag0.8,boosting,1321,718,0.9128226424738054,0.0839163999771699,0.9128226424738054,0.9651591471015694,0.0930442465932892,,,,
bbbp,classification,1,stratified_scaffold_group,24,lgbm_120_l15,boosting,1321,718,0.8947951273532668,0.079879000026267,0.8947951273532668,0.9601938103463212,0.1014990884982225,,,,
bbbp,classification,1,stratified_scaffold_group,25,xgb_60_d3,boosting,1321,718,0.8806702018911321,0.0807410000124946,0.8806702018911321,0.952596942461158,0.1069238602072916,,,,
bbbp,classification,1,stratified_scaffold_group,26,xgb_80_d5,boosting,1321,718,0.9051878354203936,0.1139537999988533,0.9051878354203936,0.9631825306040024,0.0968831257669056,,,,
bbbp,classification,1,stratified_scaffold_group,27,xgb_100_d3,boosting,1321,718,0.8870644859016953,0.1172801000066101,0.8870644859016953,0.9563434195091552,0.1049552597817746,,,,
bbbp,classification,1,stratified_scaffold_group,28,xgb_60_d6,boosting,1321,718,0.9043572706363404,0.1016696000006049,0.9043572706363404,0.9637589349232516,0.096380387996045,,,,
bbbp,classification,1,stratified_scaffold_group,29,cat_60_d4,boosting,1321,718,0.8584738904506346,0.3214306999580003,0.8584738904506346,0.9413008886855128,0.1141798445854819,,,,
bbbp,classification,1,stratified_scaffold_group,30,cat_80_d6,boosting,1321,718,0.8901950762415878,1.0848411000333726,0.8901950762415878,0.9575456875390408,0.1044635189320975,,,,
bbbp,classification,1,stratified_scaffold_group,31,cat_100_d4,boosting,1321,718,0.8709376863446632,0.5222017000196502,0.8709376863446632,0.9462182757226346,0.1096500041775376,,,,
bbbp,classification,1,stratified_scaffold_group,32,cat_60_d8,boosting,1321,718,0.8812718289462477,2.797059200005606,0.8812718289462477,0.9529345788012064,0.1056133575406479,,,,
bbbp,classification,2,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1413,626,0.8365667254556142,0.007613499998115,0.8365667254556142,0.936795353219494,0.1262760558042869,,,,
bbbp,classification,2,stratified_scaffold_group,2,logreg_l2_c1,linear,1413,626,0.8216343327454438,0.0108395999995991,0.8216343327454438,0.9295261179946672,0.1473053394675006,,,,
bbbp,classification,2,stratified_scaffold_group,3,logreg_l2_c10,linear,1413,626,0.8099059376837154,0.0146593999816104,0.8099059376837154,0.9239327729619776,0.1792527980425907,,,,
bbbp,classification,2,stratified_scaffold_group,4,logreg_l1_c1,linear,1413,626,0.8225161669606115,0.0158708000089973,0.8225161669606115,0.9313185721936336,0.1412405154010071,,,,
bbbp,classification,2,stratified_scaffold_group,5,rf_60_sqrt,bagging,1413,626,0.8793944738389183,0.1141888999845832,0.8793944738389183,0.9545644193077932,0.1044559617417952,,,,
bbbp,classification,2,stratified_scaffold_group,6,rf_90_d12,bagging,1413,626,0.8800264550264549,0.1712601000326685,0.8800264550264549,0.9558655375669464,0.1139019847832396,,,,
bbbp,classification,2,stratified_scaffold_group,7,rf_90_leaf2,bagging,1413,626,0.8752792475014698,0.1675164000480435,0.8752792475014698,0.9545359786085534,0.1073256324431739,,,,
bbbp,classification,2,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1413,626,0.8923721340388008,0.2160726999863982,0.8923721340388008,0.9615559111265002,0.1052158356690448,,,,
bbbp,classification,2,stratified_scaffold_group,9,et_60_sqrt,bagging,1413,626,0.877498530276308,0.0787170999683439,0.877498530276308,0.9524470422339943,0.1028280791496534,,,,
bbbp,classification,2,stratified_scaffold_group,10,et_90_d12,bagging,1413,626,0.86277189888301,0.1098114000051282,0.86277189888301,0.948219553012724,0.115531145113533,,,,
bbbp,classification,2,stratified_scaffold_group,11,et_90_leaf2,bagging,1413,626,0.878233392122281,0.1045619000215083,0.878233392122281,0.9551913989448502,0.1033936522200007,,,,
bbbp,classification,2,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1413,626,0.8838183421516754,0.133218900009524,0.8838183421516754,0.9591329167793902,0.1042530507126347,,,,
bbbp,classification,2,stratified_scaffold_group,13,histgb_lr0.05,boosting,1413,626,0.8554232804232803,1.1612746000173502,0.8554232804232803,0.9458683609053729,0.1045967679501184,,,,
bbbp,classification,2,stratified_scaffold_group,14,histgb_lr0.1,boosting,1413,626,0.8667254556143446,0.9408922999864444,0.8667254556143446,0.9509665124574144,0.099661447079948,,,,
bbbp,classification,2,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1413,626,0.8187316284538507,0.6168633000343107,0.8187316284538507,0.92743846298554,0.1168263492470436,,,,
bbbp,classification,2,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1413,626,0.8372427983539094,0.9217251000227408,0.8372427983539094,0.9298349684155792,0.1067338887989853,,,,
bbbp,classification,2,stratified_scaffold_group,17,lgbm_60_l15,boosting,1413,626,0.8503233392122281,0.0554761000094004,0.8503233392122281,0.9458274930140188,0.1065883336961015,,,,
bbbp,classification,2,stratified_scaffold_group,18,lgbm_90_l31,boosting,1413,626,0.8636537330981776,0.0987613000324927,0.8636537330981776,0.9507834989936308,0.1068347391119054,,,,
bbbp,classification,2,stratified_scaffold_group,19,lgbm_60_l63,boosting,1413,626,0.8638154027042915,0.097474800015334,0.8638154027042915,0.9484478333682994,0.1066944097205686,,,,
bbbp,classification,2,stratified_scaffold_group,20,lgbm_100_leaf10,boosting,1413,626,0.8625955320399765,0.1112222000374458,0.8625955320399765,0.9514510240563782,0.1066015720067524,,,,
bbbp,classification,2,stratified_scaffold_group,21,lgbm_100_leaf30,boosting,1413,626,0.8572604350382127,0.1142502999864518,0.8572604350382127,0.9450540525603012,0.1021079309039035,,,,
bbbp,classification,2,stratified_scaffold_group,22,lgbm_80_ff0.7,boosting,1413,626,0.8605085243974132,0.1004644999629817,0.8605085243974132,0.9470579740986982,0.1032717978906351,,,,
bbbp,classification,2,stratified_scaffold_group,23,lgbm_80_bag0.8,boosting,1413,626,0.8621693121693123,0.1040410000132396,0.8621693121693123,0.9470637431462028,0.106254661083505,,,,
bbbp,classification,2,stratified_scaffold_group,24,lgbm_120_l15,boosting,1413,626,0.8577601410934743,0.0938441000180319,0.8577601410934743,0.9481494100166228,0.1028909192940417,,,,
bbbp,classification,2,stratified_scaffold_group,25,xgb_60_d3,boosting,1413,626,0.8514329805996474,0.0799341000383719,0.8514329805996474,0.9465498074591184,0.1092610234313428,,,,
bbbp,classification,2,stratified_scaffold_group,26,xgb_80_d5,boosting,1413,626,0.8610376249265139,0.1249177000136114,0.8610376249265139,0.9486665944469844,0.1035355923086636,,,,
bbbp,classification,2,stratified_scaffold_group,27,xgb_100_d3,boosting,1413,626,0.8371031746031745,0.1109641000512056,0.8371031746031745,0.9379341663869948,0.1088556833812045,,,,
bbbp,classification,2,stratified_scaffold_group,28,xgb_60_d6,boosting,1413,626,0.8593327454438566,0.1077508999733254,0.8593327454438566,0.9483914078299964,0.105431044086699,,,,
bbbp,classification,2,stratified_scaffold_group,29,cat_60_d4,boosting,1413,626,0.8466343327454439,0.3495421999832615,0.8466343327454439,0.942613707842352,0.1131635049748539,,,,
bbbp,classification,2,stratified_scaffold_group,30,cat_80_d6,boosting,1413,626,0.8567901234567902,1.1496892999857664,0.8567901234567902,0.9455342684173712,0.1075256882414715,,,,
bbbp,classification,2,stratified_scaffold_group,31,cat_100_d4,boosting,1413,626,0.847148736037625,0.5007911000284366,0.847148736037625,0.9449118409497058,0.1115438982638279,,,,
bbbp,classification,2,stratified_scaffold_group,32,cat_60_d8,boosting,1413,626,0.8575690770135215,3.004790499981027,0.8575690770135215,0.946874609611692,0.1091989212232148,,,,
bbbp,classification,3,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1344,695,0.8612661041553257,0.0072313999990001,0.8612661041553257,0.944692940989661,0.1349259629550248,,,,
bbbp,classification,3,stratified_scaffold_group,2,logreg_l2_c1,linear,1344,695,0.8114339502812558,0.010302800044883,0.8114339502812558,0.9211950980489592,0.1620590977781483,,,,
bbbp,classification,3,stratified_scaffold_group,3,logreg_l2_c10,linear,1344,695,0.7723189983669025,0.0187773000216111,0.7723189983669025,0.9022752616764468,0.1971688845180858,,,,
bbbp,classification,3,stratified_scaffold_group,4,logreg_l1_c1,linear,1344,695,0.8174559970967156,0.0230912000406533,0.8174559970967156,0.9196289568749304,0.1517593952722158,,,,
bbbp,classification,3,stratified_scaffold_group,5,rf_60_sqrt,bagging,1344,695,0.8619238795136999,0.1121083000325597,0.8619238795136999,0.9374446118400324,0.1144208891794124,,,,
bbbp,classification,3,stratified_scaffold_group,6,rf_90_d12,bagging,1344,695,0.875669116312829,0.1555426999693736,0.875669116312829,0.9490296733622874,0.1217271846110145,,,,
bbbp,classification,3,stratified_scaffold_group,7,rf_90_leaf2,bagging,1344,695,0.8702141172201053,0.1599201000062748,0.8702141172201053,0.9449608119016628,0.1139905054600598,,,,
bbbp,classification,3,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1344,695,0.8689892941389947,0.211589400016237,0.8689892941389947,0.9437782125196946,0.1149923240066955,,,,
bbbp,classification,3,stratified_scaffold_group,9,et_60_sqrt,bagging,1344,695,0.8644188894937399,0.0752795999869704,0.8644188894937399,0.9423678499762445,0.1130993612844337,,,,
bbbp,classification,3,stratified_scaffold_group,10,et_90_d12,bagging,1344,695,0.8839139902014154,0.1034126000013202,0.8839139902014154,0.9525131694154862,0.1186240034714887,,,,
bbbp,classification,3,stratified_scaffold_group,11,et_90_leaf2,bagging,1344,695,0.8838913082925058,0.1010180000448599,0.8838913082925058,0.9518616395749092,0.1074927206803312,,,,
bbbp,classification,3,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1344,695,0.8755216839049176,0.1214599999948404,0.8755216839049176,0.948519317910843,0.1106693059272913,,,,
bbbp,classification,3,stratified_scaffold_group,13,histgb_lr0.05,boosting,1344,695,0.8679912901469788,1.0863537999684922,0.8679912901469788,0.9491168172912672,0.1148848305748902,,,,
bbbp,classification,3,stratified_scaffold_group,14,histgb_lr0.1,boosting,1344,695,0.8627347577572129,0.8996493000304326,0.8627347577572129,0.9436649446713726,0.1152195888592106,,,,
bbbp,classification,3,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1344,695,0.7981253402286337,0.5203201999538578,0.7981253402286337,0.9141428739820416,0.1312953786517054,,,,
bbbp,classification,3,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1344,695,0.8467950462710941,0.8102059000520967,0.8467950462710941,0.9386479086212584,0.1180462882387903,,,,
bbbp,classification,3,stratified_scaffold_group,17,lgbm_60_l15,boosting,1344,695,0.8594402104881148,0.0516415000311099,0.8594402104881148,0.9438779697188688,0.115677035699411,,,,
bbbp,classification,3,stratified_scaffold_group,18,lgbm_90_l31,boosting,1344,695,0.863375521683905,0.0909725000383332,0.863375521683905,0.9451206217255655,0.1148697319919129,,,,
bbbp,classification,3,stratified_scaffold_group,19,lgbm_60_l63,boosting,1344,695,0.8668118308836872,0.1037870000000111,0.8668118308836872,0.944316680175554,0.1112956355887334,,,,
bbbp,classification,3,stratified_scaffold_group,20,lgbm_100_leaf10,boosting,1344,695,0.8670216385410996,0.1022727999952621,0.8670216385410996,0.9447324615222475,0.1159765060946384,,,,
bbbp,classification,3,stratified_scaffold_group,21,lgbm_100_leaf30,boosting,1344,695,0.8689325893667212,0.0878482999978587,0.8689325893667212,0.9461381562757628,0.1123272013101246,,,,
bbbp,classification,3,stratified_scaffold_group,22,lgbm_80_ff0.7,boosting,1344,695,0.868167074941027,0.0940060999710112,0.868167074941027,0.9435003553610274,0.1109297570637524,,,,
bbbp,classification,3,stratified_scaffold_group,23,lgbm_80_bag0.8,boosting,1344,695,0.8648158228996552,0.089766499993857,0.8648158228996552,0.9413682894367144,0.1147458789157085,,,,
bbbp,classification,3,stratified_scaffold_group,24,lgbm_120_l15,boosting,1344,695,0.8679686082380693,0.0740480000386014,0.8679686082380693,0.9481503398485376,0.1141287807849966,,,,
bbbp,classification,3,stratified_scaffold_group,25,xgb_60_d3,boosting,1344,695,0.8544785429141717,0.0753093999810516,0.8544785429141717,0.9425362078466604,0.1194813571052169,,,,
bbbp,classification,3,stratified_scaffold_group,26,xgb_80_d5,boosting,1344,695,0.8651050172382508,0.1175287999794818,0.8651050172382508,0.9466653932056124,0.116076485465438,,,,
bbbp,classification,3,stratified_scaffold_group,27,xgb_100_d3,boosting,1344,695,0.851178325167846,0.1258777999901212,0.851178325167846,0.9391863650324336,0.1194679888430695,,,,
bbbp,classification,3,stratified_scaffold_group,28,xgb_60_d6,boosting,1344,695,0.8678778806024314,0.1024906999664381,0.8678778806024314,0.948077199985622,0.1146569146108159,,,,
bbbp,classification,3,stratified_scaffold_group,29,cat_60_d4,boosting,1344,695,0.8361402195608783,0.307747799961362,0.8361402195608783,0.9350452050503806,0.1261378545174769,,,,
bbbp,classification,3,stratified_scaffold_group,30,cat_80_d6,boosting,1344,695,0.8539568590092542,1.13245440000901,0.8539568590092542,0.9397497703717532,0.118332514045631,,,,
bbbp,classification,3,stratified_scaffold_group,31,cat_100_d4,boosting,1344,695,0.8324317274541825,0.4729154999949969,0.8324317274541825,0.9310337168761408,0.1242803782319777,,,,
bbbp,classification,3,stratified_scaffold_group,32,cat_60_d8,boosting,1344,695,0.8496076029758665,2.9238506999681704,0.8496076029758665,0.9365547800475604,0.117825640136107,,,,
bace,classification,1,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1140,373,0.8722461892436008,0.007770900032483,0.8722461892436008,0.8357746705399703,0.1436186756169695,,,,
bace,classification,1,stratified_scaffold_group,2,logreg_l2_c1,linear,1140,373,0.8600517687661777,0.01230659999419,0.8600517687661777,0.8278696589572943,0.1506098853202949,,,,
bace,classification,1,stratified_scaffold_group,3,logreg_l2_c10,linear,1140,373,0.8324129997123957,0.0230361000285483,0.8324129997123957,0.8005575213155481,0.1879921536488023,,,,
bace,classification,1,stratified_scaffold_group,4,logreg_l1_c1,linear,1140,373,0.865257405809606,0.0391702000051736,0.865257405809606,0.8367603622554582,0.1494739007119069,,,,
bace,classification,1,stratified_scaffold_group,5,rf_60_sqrt,bagging,1140,373,0.8875179752660339,0.1066115999710746,0.8875179752660339,0.8572373752716846,0.1352899060606074,,,,
bace,classification,1,stratified_scaffold_group,6,rf_90_d12,bagging,1140,373,0.8926948518838078,0.1492154999868944,0.8926948518838078,0.8670797389027595,0.1393366176394468,,,,
bace,classification,1,stratified_scaffold_group,7,rf_90_leaf2,bagging,1140,373,0.8819672131147541,0.1600250999908894,0.8819672131147541,0.8546992844214133,0.1399007224969355,,,,
bace,classification,1,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1140,373,0.8841242450388266,0.215194699994754,0.8841242450388266,0.8558948760132858,0.1397440082760252,,,,
bace,classification,1,stratified_scaffold_group,9,et_60_sqrt,bagging,1140,373,0.8802272073626689,0.0784490000223741,0.8802272073626689,0.8336999733999798,0.1381470589745402,,,,
bace,classification,1,stratified_scaffold_group,10,et_90_d12,bagging,1140,373,0.8846994535519125,0.1007502000429667,0.8846994535519125,0.851570352007306,0.1401595318144367,,,,
bace,classification,1,stratified_scaffold_group,11,et_90_leaf2,bagging,1140,373,0.8831751509922348,0.1083592000068165,0.8831751509922348,0.8591790368885907,0.1370521906820597,,,,
bace,classification,1,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1140,373,0.8830601092896175,0.1337836000020615,0.8830601092896175,0.8570407422631936,0.1374616177185381,,,,
bace,classification,1,stratified_scaffold_group,13,histgb_lr0.05,boosting,1140,373,0.8748490077653148,1.1664268999593332,0.8748490077653148,0.8422446516023162,0.1402295737234112,,,,
