endpoint,task_type,seed,outer_fold,inner_fold,split_regime,outer_split_type,inner_split_type,train_n,validation_n,test_n,train_scaffold_n,validation_scaffold_n,test_scaffold_n,group_definition,train_group_n,validation_group_n,test_group_n,target_mean,target_sd,target_range,train_target_mean,train_target_sd,train_target_min,train_target_max,train_target_range,validation_target_mean,validation_target_sd,validation_target_min,validation_target_max,validation_target_range,test_target_mean,test_target_sd,test_target_min,test_target_max,test_target_range,outer_split_hash,split_hash,no_scaffold_overlap,no_group_overlap,max_train_validation_tanimoto,max_train_test_tanimoto,max_validation_test_tanimoto
bbbp,classification,23,1,1,scaffold,stratified_scaffold_group,stratified_scaffold_group,800,521,718,507,240,372,Bemis-Murcko scaffold,507,240,372,0.7604456824512534,0.4271090215534564,1.0,0.7825,0.4128035349267979,0.0,1.0,1.0,0.744721689059501,0.4364365859410858,0.0,1.0,1.0,0.7604456824512534,0.4271090215534564,0.0,1.0,1.0,acc67c7372001b7a11a3f970c848deb50d4a58af15dfe0b434f1ef61f4529084,f8284effae9da1c62a51cc275eeda8fe4cbe5bfbb9a44724125649bb2f7cba6c,True,True,,,
bbbp,classification,23,1,2,scaffold,stratified_scaffold_group,stratified_scaffold_group,922,399,718,501,246,372,Bemis-Murcko scaffold,501,246,372,0.7604456824512534,0.4271090215534564,1.0,0.7603036876355749,0.4271297978865789,0.0,1.0,1.0,0.7844611528822055,0.4117118911035415,0.0,1.0,1.0,0.7604456824512534,0.4271090215534564,0.0,1.0,1.0,acc67c7372001b7a11a3f970c848deb50d4a58af15dfe0b434f1ef61f4529084,483df3d6ad189626b6cb84cb5537cd071b54d47fe9e1381d9605b89c15984637,True,True,,,
bbbp,classification,23,1,3,scaffold,stratified_scaffold_group,stratified_scaffold_group,920,401,718,486,261,372,Bemis-Murcko scaffold,486,261,372,0.7604456824512534,0.4271090215534564,1.0,0.7619565217391304,0.4261175261527343,0.0,1.0,1.0,0.7805486284289277,0.4143919621015399,0.0,1.0,1.0,0.7604456824512534,0.4271090215534564,0.0,1.0,1.0,acc67c7372001b7a11a3f970c848deb50d4a58af15dfe0b434f1ef61f4529084,979eb808d2c9a1194513cf8d8249e661f3684d4d0525fa38db433e585e60b893,True,True,,,
bbbp,classification,23,2,1,scaffold,stratified_scaffold_group,stratified_scaffold_group,1071,342,626,500,244,375,Bemis-Murcko scaffold,500,244,375,0.7763578274760383,0.4170181690941446,1.0,0.776844070961718,0.416556570705578,0.0,1.0,1.0,0.7076023391812866,0.455530479062835,0.0,1.0,1.0,0.7763578274760383,0.4170181690941446,0.0,1.0,1.0,63983819743313a798eb3c4167feca1bb67edb2c756b8f78a55129c78099be07,ae3febd4e71f548c125be361548b657efd4c782b1d2968932e09399970b673f6,True,True,,,
bbbp,classification,23,2,2,scaffold,stratified_scaffold_group,stratified_scaffold_group,826,587,626,497,247,375,Bemis-Murcko scaffold,497,247,375,0.7763578274760383,0.4170181690941446,1.0,0.7760290556900726,0.4171554107649823,0.0,1.0,1.0,0.737649063032368,0.4402875954821674,0.0,1.0,1.0,0.7763578274760383,0.4170181690941446,0.0,1.0,1.0,63983819743313a798eb3c4167feca1bb67edb2c756b8f78a55129c78099be07,e038a333fb1eddc8af3e0d585aed8c5221eefae93a136df7ad599533daa1b2ca,True,True,,,
bbbp,classification,23,2,3,scaffold,stratified_scaffold_group,stratified_scaffold_group,929,484,626,491,253,375,Bemis-Murcko scaffold,491,253,375,0.7763578274760383,0.4170181690941446,1.0,0.7265877287405813,0.4459507509873153,0.0,1.0,1.0,0.8243801652892562,0.3808900822560877,0.0,1.0,1.0,0.7763578274760383,0.4170181690941446,0.0,1.0,1.0,63983819743313a798eb3c4167feca1bb67edb2c756b8f78a55129c78099be07,557ef3d29fd28632e00c39b1b97ce5e56e070a3df10429c988cdd0375bfd79c0,True,True,,,
bbbp,classification,23,3,1,scaffold,stratified_scaffold_group,stratified_scaffold_group,941,403,695,502,245,372,Bemis-Murcko scaffold,502,245,372,0.7597122302158273,0.4275658980607554,1.0,0.7630180658873539,0.4254572367601407,0.0,1.0,1.0,0.7791563275434243,0.4153309330625625,0.0,1.0,1.0,0.7597122302158273,0.4275658980607554,0.0,1.0,1.0,78debac33d1bb5acf84f5364ec20226a2976c2d0c2f12d002b5dfccd1c7c5010,8aa7570eb77d6bc5588e196f580eef1a776117c608f9dde8ac23590dcc34a39b,True,True,,,
bbbp,classification,23,3,2,scaffold,stratified_scaffold_group,stratified_scaffold_group,923,421,695,499,248,372,Bemis-Murcko scaffold,499,248,372,0.7597122302158273,0.4275658980607554,1.0,0.8028169014084507,0.3980874505461861,0.0,1.0,1.0,0.6912114014251781,0.4625433884030905,0.0,1.0,1.0,0.7597122302158273,0.4275658980607554,0.0,1.0,1.0,78debac33d1bb5acf84f5364ec20226a2976c2d0c2f12d002b5dfccd1c7c5010,7016e9e4d81df09a31e12cef8a1fd67845e0e84253cea3d20c5349580d2eb7cb,True,True,,,
bbbp,classification,23,3,3,scaffold,stratified_scaffold_group,stratified_scaffold_group,824,520,695,493,254,372,Bemis-Murcko scaffold,493,254,372,0.7597122302158273,0.4275658980607554,1.0,0.7342233009708737,0.4420141997144844,0.0,1.0,1.0,0.8211538461538461,0.3835924591859579,0.0,1.0,1.0,0.7597122302158273,0.4275658980607554,0.0,1.0,1.0,78debac33d1bb5acf84f5364ec20226a2976c2d0c2f12d002b5dfccd1c7c5010,299e531d9356e3ab3f9655515801e4d09b340f5844b5bcee86d352ae358cde1e,True,True,,,
bace,classification,23,1,1,scaffold,stratified_scaffold_group,stratified_scaffold_group,684,456,373,309,173,193,Bemis-Murcko scaffold,309,173,193,0.4906166219839142,0.5005834181634178,1.0,0.4444444444444444,0.4972676276830868,0.0,1.0,1.0,0.4473684210526316,0.4977682988622585,0.0,1.0,1.0,0.4906166219839142,0.5005834181634178,0.0,1.0,1.0,697447c6783e94d050a5d25d15632591bafc05e637f0c43334e10b45f1dacf61,286160aea6dce919ad5912f41f40bc39948a46ffaaa2a0b3ebcaf53f7999cd9a,True,True,,,
