dataset,task_type,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,family,inner_utility,inner_roc_auc,inner_pr_auc,inner_brier,minority_label,minority_threshold,minority_recall,majority_recall,balanced_recall,minority_constraint_feasible,minority_recall_target,fit_seconds
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8189812007277139,0.8189812007277139,0.9341628129500855,0.13265785570106245,0.0,0.7127428973907133,0.8041237113402062,0.6911764705882353,0.7476500909642207,1.0,0.8,0.005557199998293072
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8492217898832685,0.8492217898832685,0.9174195519135481,0.1471666841304686,0.0,0.5728514784003621,0.81,0.7470817120622568,0.7785408560311284,1.0,0.8,0.005528800014872104
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.7944807404382741,0.7944807404382741,0.9106120248785474,0.15825690524949151,0.0,0.7031578475401319,0.8037974683544304,0.5870967741935483,0.6954471212739894,1.0,0.8,0.005047100014053285
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.8068021022842127,0.8068021022842127,0.9246553479082673,0.14579330541243757,0.0,0.8677299282822705,0.8144329896907216,0.6666666666666666,0.7405498281786942,1.0,0.8,0.007642199983820319
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.847704280155642,0.847704280155642,0.9221295954841398,0.15074695297975124,0.0,0.6759187597991089,0.81,0.7509727626459144,0.7804863813229572,1.0,0.8,0.009315600036643445
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.7725398121682319,0.7725398121682319,0.9007950788352658,0.17219051846727176,0.0,0.9188560099795328,0.8037974683544304,0.578494623655914,0.6911460460051722,1.0,0.8,0.0062901999917812645
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.7906559531028907,0.7906559531028907,0.9161935641617799,0.1737865960130167,0.0,0.972168044586926,0.8041237113402062,0.6568627450980392,0.7304932282191228,1.0,0.8,0.01067950000287965
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.837704280155642,0.837704280155642,0.92467137550874,0.18501907218897984,0.0,0.9373806663420302,0.8,0.6926070038910506,0.7463035019455253,1.0,0.8,0.012948699994012713
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.7448414318769566,0.7448414318769566,0.8872454012705325,0.19838041365131995,0.0,0.9962722728958555,0.8037974683544304,0.513978494623656,0.6588879814890432,1.0,0.8,0.009402399999089539
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.7899231857691531,0.7899231857691531,0.9198247540049379,0.15450301541096018,0.0,0.8698319580310421,0.8041237113402062,0.6372549019607843,0.7206893066504952,1.0,0.8,0.011783799971453846
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.8406225680933853,0.8406225680933853,0.9203184591829745,0.1545857055015121,0.0,0.7018225958783488,0.8,0.754863813229572,0.777431906614786,1.0,0.8,0.015307400026358664
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.7552130121137879,0.7552130121137879,0.8881376697270461,0.17652649146082647,0.0,0.8919584977863562,0.8037974683544304,0.5333333333333333,0.6685654008438819,1.0,0.8,0.009820999985095114
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.82820396199717,0.82820396199717,0.9353796419626357,0.10730953007505006,0.0,0.80421768707483,0.8144329896907216,0.6985294117647058,0.7564812007277137,1.0,0.8,0.10588280000956729
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.8678015564202336,0.8678015564202336,0.9328528422946075,0.12062290461617613,0.0,0.7563218390804598,0.8200000000000001,0.7509727626459144,0.7854863813229572,1.0,0.8,0.10634230001596734
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.8226146726555056,0.8226146726555056,0.9132688362776253,0.13250585058087588,0.0,0.8345322049835449,0.8037974683544304,0.5956989247311828,0.6997481965428066,1.0,0.8,0.10782799997832626
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,6,rf_90_d12,bagging,0.8275975338589044,0.8275975338589044,0.9471968860618601,0.1166447474680336,0.0,0.744512420430064,0.8041237113402062,0.678921568627451,0.7415226399838286,1.0,0.8,0.16106819995911792
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,6,rf_90_d12,bagging,0.8494163424124515,0.8494163424124515,0.9223935714940331,0.13490310864653673,0.0,0.661026851771964,0.8,0.7509727626459144,0.7754863813229572,1.0,0.8,0.1545892000431195
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,6,rf_90_d12,bagging,0.8397236967469716,0.8397236967469716,0.9317045839395419,0.13665910834832462,0.0,0.7326289551584046,0.8037974683544304,0.7139784946236559,0.7588879814890432,1.0,0.8,0.14328179997392
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,7,rf_90_leaf2,bagging,0.8365423488983224,0.8365423488983224,0.9460943084753822,0.11105178762733914,0.0,0.7383956664941452,0.8041237113402062,0.7034313725490197,0.7537775419446129,1.0,0.8,0.15716399997472763
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,7,rf_90_leaf2,bagging,0.8652529182879377,0.8652529182879377,0.9285194408698179,0.12330812295874849,0.0,0.6865177281980684,0.8,0.7859922178988327,0.7929961089494164,1.0,0.8,0.14727339998353273
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,7,rf_90_leaf2,bagging,0.8353137334966653,0.8353137334966653,0.9255910411053024,0.13323718608130639,0.0,0.7596098858436965,0.810126582278481,0.6688172043010753,0.7394718932897781,1.0,0.8,0.15062650002073497
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,0.8444385486153225,0.8444385486153225,0.9496970528006035,0.11026205895583252,0.0,0.7481268242319632,0.8041237113402062,0.6764705882352942,0.7402971497877502,1.0,0.8,0.2090242999838665
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,0.8628404669260701,0.8628404669260701,0.9294308707006917,0.12494794749751431,0.0,0.6540559288546735,0.8,0.8093385214007782,0.8046692607003891,1.0,0.8,0.1976820999989286
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,0.8306996052810671,0.8306996052810671,0.9207410580483796,0.1329513216352113,0.0,0.7672872062591382,0.8164556962025317,0.6387096774193548,0.7275826868109432,1.0,0.8,0.19008789997315034
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,9,et_60_sqrt,bagging,0.8417222559126744,0.8417222559126744,0.9453988316388692,0.10354791283793104,0.0,0.8175510204081633,0.8144329896907216,0.6936274509803921,0.7540302203355569,1.0,0.8,0.06511640001554042
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,9,et_60_sqrt,bagging,0.8537354085603114,0.8537354085603114,0.9205309641358312,0.12251396196902381,0.0,0.7371010638297872,0.8,0.7821011673151751,0.7910505836575876,1.0,0.8,0.07939979998627678
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,9,et_60_sqrt,bagging,0.8252143732135566,0.8252143732135566,0.9131561111250392,0.13240687607898227,0.0,0.8371423047177108,0.8544303797468354,0.6258064516129033,0.7401184156798694,1.0,0.8,0.06490080000367016
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,10,et_90_d12,bagging,0.855442692540934,0.855442692540934,0.9549097973770655,0.10996846766828004,0.0,0.7420482448196289,0.8041237113402062,0.6887254901960784,0.7464246007681423,1.0,0.8,0.09028910001507029
