dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
bace,classification,1,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1033,480,0.8753758741258741,0.006699700024910271,0.8753758741258741,0.8556854355029702,0.14415291524765303,,,,
bace,classification,1,stratified_scaffold_group,2,logreg_l2_c1,linear,1033,480,0.8624388111888113,0.010422399966046214,0.8624388111888113,0.8397264688858199,0.1578721264171787,,,,
bace,classification,1,stratified_scaffold_group,3,logreg_l2_c10,linear,1033,480,0.8320367132867134,0.015579700004309416,0.8320367132867134,0.7998221604791893,0.20355191655811516,,,,
bace,classification,1,stratified_scaffold_group,4,logreg_l1_c1,linear,1033,480,0.8641171328671329,0.06358489999547601,0.8641171328671329,0.8494634776450003,0.15194290822221632,,,,
bace,classification,1,stratified_scaffold_group,5,rf_60_sqrt,bagging,1033,480,0.8883041958041957,0.10606910003116354,0.8883041958041957,0.8636960055240099,0.1410151723842373,,,,
bace,classification,1,stratified_scaffold_group,6,rf_90_d12,bagging,1033,480,0.8915472027972029,0.16048980003688484,0.8915472027972029,0.8684541748590939,0.14322421903157856,,,,
bace,classification,1,stratified_scaffold_group,7,rf_90_leaf2,bagging,1033,480,0.8927534965034964,0.1516144999768585,0.8927534965034964,0.8698264275081111,0.1414322347582951,,,,
bace,classification,1,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1033,480,0.8903933566433567,0.19533349998528138,0.8903933566433567,0.8656535581949647,0.14310709774735564,,,,
bace,classification,1,stratified_scaffold_group,9,et_60_sqrt,bagging,1033,480,0.8822027972027973,0.08281920000445098,0.8822027972027973,0.8551270230535668,0.1478395303834806,,,,
bace,classification,1,stratified_scaffold_group,10,et_90_d12,bagging,1033,480,0.8940646853146853,0.09286599996266887,0.8940646853146853,0.8721141618846879,0.1417829692751094,,,,
bace,classification,1,stratified_scaffold_group,11,et_90_leaf2,bagging,1033,480,0.8892220279720279,0.09514509997097775,0.8892220279720279,0.8648136853134833,0.1415000317250836,,,,
bace,classification,1,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1033,480,0.8924213286713287,0.11774250003509223,0.8924213286713287,0.8715199210679716,0.13969737378385186,,,,
bace,classification,1,stratified_scaffold_group,13,histgb_lr0.05,boosting,1033,480,0.8843444055944056,1.0375623000436462,0.8843444055944056,0.8637668194296417,0.1437036723060394,,,,
bace,classification,1,stratified_scaffold_group,14,histgb_lr0.1,boosting,1033,480,0.8843706293706294,0.7994667000020854,0.8843706293706294,0.8626395879302956,0.14466910342303851,,,,
bace,classification,1,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1033,480,0.8372377622377623,0.4508806000230834,0.8372377622377623,0.817773746940101,0.1745012602759131,,,,
bace,classification,1,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1033,480,0.8706643356643357,0.6648509000078775,0.8706643356643357,0.82457461287532,0.15085515232703967,,,,
bace,classification,1,stratified_scaffold_group,17,lgbm_60_l15,boosting,1033,480,0.8891520979020978,0.056700299959629774,0.8891520979020978,0.8665138973503556,0.14539242106501118,,,,
bace,classification,1,stratified_scaffold_group,18,lgbm_90_l31,boosting,1033,480,0.8893706293706294,0.10265650000656024,0.8893706293706294,0.869330716334262,0.14790152832600825,,,,
bace,classification,1,stratified_scaffold_group,19,lgbm_60_l63,boosting,1033,480,0.8895367132867132,0.07539410004392266,0.8895367132867132,0.8702770579200914,0.1479361023279303,,,,
bace,classification,1,stratified_scaffold_group,20,lgbm_100_leaf10,boosting,1033,480,0.8868618881118882,0.10696659999666736,0.8868618881118882,0.8680962835471736,0.14272734595776895,,,,
bace,classification,1,stratified_scaffold_group,21,lgbm_100_leaf30,boosting,1033,480,0.891617132867133,0.0907578999758698,0.891617132867133,0.8762363716352632,0.14370962342769655,,,,
bace,classification,1,stratified_scaffold_group,22,lgbm_80_ff0.7,boosting,1033,480,0.8925611888111887,0.08236360002774745,0.8925611888111887,0.8757718823759272,0.1414766128316844,,,,
bace,classification,1,stratified_scaffold_group,23,lgbm_80_bag0.8,boosting,1033,480,0.8931905594405594,0.08941269997740164,0.8931905594405594,0.8739901476050423,0.1436784236299583,,,,
bace,classification,1,stratified_scaffold_group,24,lgbm_120_l15,boosting,1033,480,0.8943793706293707,0.08353709999937564,0.8943793706293707,0.873401764376426,0.14201768115456984,,,,
bace,classification,1,stratified_scaffold_group,25,xgb_60_d3,boosting,1033,480,0.87368006993007,0.060138999950140715,0.87368006993007,0.8479515472190624,0.154371173333887,,,,
bace,classification,1,stratified_scaffold_group,26,xgb_80_d5,boosting,1033,480,0.8856293706293706,0.08662210003240034,0.8856293706293706,0.8661874407100166,0.1459254594423838,,,,
bace,classification,1,stratified_scaffold_group,27,xgb_100_d3,boosting,1033,480,0.8762849650349651,0.08055569999851286,0.8762849650349651,0.8562592476643754,0.15167969579309334,,,,
bace,classification,1,stratified_scaffold_group,28,xgb_60_d6,boosting,1033,480,0.8854108391608392,0.07684270001482219,0.8854108391608392,0.8637391669153807,0.1469899956507118,,,,
bace,classification,1,stratified_scaffold_group,29,cat_60_d4,boosting,1033,480,0.8710751748251747,0.2714425000012852,0.8710751748251747,0.8515638305687525,0.15677241016215024,,,,
bace,classification,1,stratified_scaffold_group,30,cat_80_d6,boosting,1033,480,0.8950611888111888,0.8654993000091054,0.8950611888111888,0.877745791656168,0.143804818107544,,,,
bace,classification,1,stratified_scaffold_group,31,cat_100_d4,boosting,1033,480,0.8777010489510491,0.43019680003635585,0.8777010489510491,0.8554021725724685,0.15402310252236492,,,,
bace,classification,1,stratified_scaffold_group,32,cat_60_d8,boosting,1033,480,0.8785052447552446,2.0960730999941006,0.8785052447552446,0.8589501752036057,0.14875606653191015,,,,
bace,classification,2,stratified_scaffold_group,1,logreg_l2_c0.1,linear,880,633,0.8653736857061665,0.005773600016254932,0.8653736857061665,0.8004885884679229,0.14784442516410695,,,,
bace,classification,2,stratified_scaffold_group,2,logreg_l2_c1,linear,880,633,0.8639122315592904,0.009229800023604184,0.8639122315592904,0.7988626756161461,0.15078323281332867,,,,
bace,classification,2,stratified_scaffold_group,3,logreg_l2_c10,linear,880,633,0.8436650022327772,0.017843800014816225,0.8436650022327772,0.7786448749606588,0.18043850129139438,,,,
bace,classification,2,stratified_scaffold_group,4,logreg_l1_c1,linear,880,633,0.854493971501644,0.04507480002939701,0.854493971501644,0.7953730274934717,0.15577311619629494,,,,
bace,classification,2,stratified_scaffold_group,5,rf_60_sqrt,bagging,880,633,0.8947600779442212,0.10258359997533262,0.8947600779442212,0.8759094801578042,0.13094146958587988,,,,
bace,classification,2,stratified_scaffold_group,6,rf_90_d12,bagging,880,633,0.8979214874355539,0.1568208000389859,0.8979214874355539,0.8758713480488161,0.136234631046111,,,,
bace,classification,2,stratified_scaffold_group,7,rf_90_leaf2,bagging,880,633,0.9005703730767669,0.15157170000020415,0.9005703730767669,0.8691034002132139,0.13234819076975235,,,,
bace,classification,2,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,880,633,0.9030670239110138,0.19884789997013286,0.9030670239110138,0.8741716251303407,0.13194486371259387,,,,
bace,classification,2,stratified_scaffold_group,9,et_60_sqrt,bagging,880,633,0.8891324645800348,0.065069800009951,0.8891324645800348,0.8585138200949691,0.12995802031768897,,,,
bace,classification,2,stratified_scaffold_group,10,et_90_d12,bagging,880,633,0.8965818211342508,0.0936195999966003,0.8965818211342508,0.8717293084126592,0.1331001109071659,,,,
bace,classification,2,stratified_scaffold_group,11,et_90_leaf2,bagging,880,633,0.9041935614825641,0.09163889999035746,0.9041935614825641,0.872561245708546,0.12666464818344977,,,,
bace,classification,2,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,880,633,0.9028031502456055,0.12311689998023212,0.9028031502456055,0.8735421150461962,0.12836888687948808,,,,
bace,classification,2,stratified_scaffold_group,13,histgb_lr0.05,boosting,880,633,0.8818810132748751,1.0274717000429519,0.8818810132748751,0.8435821168090083,0.13736434042933043,,,,
bace,classification,2,stratified_scaffold_group,14,histgb_lr0.1,boosting,880,633,0.8875339991068891,0.8156836999696679,0.8875339991068891,0.8544121609731713,0.13427347038507353,,,,
bace,classification,2,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,880,633,0.8629227053140097,0.47953120002057403,0.8629227053140097,0.8224721865408422,0.17080378373239244,,,,
bace,classification,2,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,880,633,0.8668503633337394,0.627667399996426,0.8668503633337394,0.8238845651889067,0.14570504613353705,,,,
bace,classification,2,stratified_scaffold_group,17,lgbm_60_l15,boosting,880,633,0.8813126699955346,0.053528100019320846,0.8813126699955346,0.8524012177305744,0.1410810255609766,,,,
