dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
clintox,classification,1,stratified_scaffold_group,1,logreg_l2_c0.1,linear,1026,454,0.8211306765523634,0.008605499984696507,0.8211306765523634,0.3963779355034916,0.10105016365070559,,,,
clintox,classification,1,stratified_scaffold_group,2,logreg_l2_c1,linear,1026,454,0.7882607352486871,0.011891499976627529,0.7882607352486871,0.4051235633709034,0.09023555424373576,,,,
clintox,classification,1,stratified_scaffold_group,3,logreg_l2_c10,linear,1026,454,0.7692307692307693,0.018574199988506734,0.7692307692307693,0.3935560401940473,0.09751325996409606,,,,
clintox,classification,1,stratified_scaffold_group,4,logreg_l1_c1,linear,1026,454,0.7835650293481619,0.020494199998211116,0.7835650293481619,0.36559921925706934,0.10040160384519899,,,,
clintox,classification,1,stratified_scaffold_group,5,rf_60_sqrt,bagging,1026,454,0.8381217176397902,0.16401100001530722,0.8381217176397902,0.3710253934802858,0.06722813083147475,,,,
clintox,classification,1,stratified_scaffold_group,6,rf_90_d12,bagging,1026,454,0.8303367315415509,0.2166188999544829,0.8303367315415509,0.41040834736515963,0.0724262773992856,,,,
clintox,classification,1,stratified_scaffold_group,7,rf_90_leaf2,bagging,1026,454,0.8581402533209762,0.23746149998623878,0.8581402533209762,0.4151633326249587,0.06857375889579141,,,,
clintox,classification,1,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,1026,454,0.8529502625888168,0.28524999995715916,0.8529502625888168,0.4156039048246968,0.06880670458384291,,,,
clintox,classification,1,stratified_scaffold_group,9,et_60_sqrt,bagging,1026,454,0.8222119246215632,0.08446250000270084,0.8222119246215632,0.35193959524483615,0.0668181980782085,,,,
clintox,classification,1,stratified_scaffold_group,10,et_90_d12,bagging,1026,454,0.8111831943157245,0.1308648000122048,0.8111831943157245,0.38738962634371943,0.08023539425797838,,,,
clintox,classification,1,stratified_scaffold_group,11,et_90_leaf2,bagging,1026,454,0.8403459993821439,0.12714369996683672,0.8403459993821439,0.3468018965369868,0.06906821129814729,,,,
clintox,classification,1,stratified_scaffold_group,12,et_120_d20_leaf2,bagging,1026,454,0.8468952734012974,0.17620320001151413,0.8468952734012974,0.41804072947675125,0.06867416509366557,,,,
clintox,classification,1,stratified_scaffold_group,13,histgb_lr0.05,boosting,1026,454,0.8419215322829781,1.4906659999978729,0.8419215322829781,0.4210406770156906,0.06636780840154055,,,,
clintox,classification,1,stratified_scaffold_group,14,histgb_lr0.1,boosting,1026,454,0.825949953660797,0.912598600029014,0.825949953660797,0.4216649490178083,0.06775206786296112,,,,
clintox,classification,1,stratified_scaffold_group,15,gb_lr0.05_d2,boosting,1026,454,0.7981773246833488,0.45955230004619807,0.7981773246833488,0.2300553326005319,0.07480856867103773,,,,
clintox,classification,1,stratified_scaffold_group,16,gb_lr0.1_d3,boosting,1026,454,0.8478220574606117,0.729111600026954,0.8478220574606117,0.31446106595716816,0.07258256258223453,,,,
clintox,classification,1,stratified_scaffold_group,17,lgbm_60_l15,boosting,1026,454,0.8568736484399135,0.07367189996875823,0.8568736484399135,0.49673683762111476,0.06338619767508956,,,,
clintox,classification,1,stratified_scaffold_group,18,lgbm_90_l31,boosting,1026,454,0.8606116774791474,0.1407811000244692,0.8606116774791474,0.4304143842827961,0.0669415480021798,,,,
clintox,classification,1,stratified_scaffold_group,19,lgbm_60_l63,boosting,1026,454,0.8833487797343219,0.1395586999715306,0.8833487797343219,0.4490829656006341,0.06714963998608484,,,,
clintox,classification,1,stratified_scaffold_group,20,lgbm_100_leaf10,boosting,1026,454,0.8513747296879827,0.16747720004059374,0.8513747296879827,0.4488592257076579,0.07023752793906456,,,,
clintox,classification,1,stratified_scaffold_group,21,lgbm_100_leaf30,boosting,1026,454,0.8824219956750077,0.18616199999814853,0.8824219956750077,0.4925442239095069,0.06483903852042269,,,,
