dataset,task_type,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,family,inner_utility,inner_roc_auc,inner_pr_auc,inner_brier,minority_label,minority_threshold,minority_recall,majority_recall,balanced_recall,minority_constraint_feasible,minority_recall_target,fit_seconds
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8608681339352898,0.8608681339352898,0.9372343055374766,0.1489071658118892,0.0,0.4966210194000059,0.8263888888888888,0.8148984198645598,0.8206436543767244,1.0,0.8,0.0073438000399619
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8123648070828513,0.8123648070828513,0.9365561698587588,0.1528728508122342,0.0,0.6404840453629589,0.8058252427184466,0.6632124352331606,0.7345188389758036,1.0,0.8,0.0074261000263504
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,1,logreg_l2_c0.1,linear,0.8878188533360948,0.8878188533360948,0.9360411528355992,0.1240199852534315,0.0,0.560913689312332,0.8108108108108107,0.8199233716475096,0.8153670912291602,1.0,0.8,0.0094910000334493
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.844910020065212,0.844910020065212,0.9304036562278856,0.1525463176172438,0.0,0.6041365683035671,0.8125,0.7720090293453724,0.7922545146726863,1.0,0.8,0.009598399978131
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.8034609386790079,0.8034609386790079,0.937085750692059,0.1588789954828698,0.0,0.8274412456863024,0.8058252427184466,0.6476683937823834,0.726746818250415,1.0,0.8,0.0109626000048592
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,2,logreg_l2_c1,linear,0.8706637672154913,0.8706637672154913,0.9225402018916548,0.1355262704071654,0.0,0.6343597006599054,0.8018018018018018,0.8084291187739464,0.8051154602878741,1.0,0.8,0.0125776000204496
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.8276978304489592,0.8276978304489592,0.9234370035708864,0.1747413921609367,0.0,0.8441202269947051,0.8125,0.7223476297968398,0.7674238148984198,1.0,0.8,0.0149084999575279
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.7713667689521606,0.7713667689521606,0.9265941799731162,0.2094466436212143,0.0,0.9824177218384506,0.8058252427184466,0.5854922279792746,0.6956587353488606,1.0,0.8,0.0154925000388175
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,3,logreg_l2_c10,linear,0.8366642504573538,0.8366642504573538,0.900779019620354,0.1870848391633845,0.0,0.914800538381858,0.8018018018018018,0.7164750957854407,0.7591384487936212,1.0,0.8,0.0184945000219158
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.8397056057185854,0.8397056057185854,0.9318976313851536,0.1599865589695754,0.0,0.6605016348381847,0.8055555555555556,0.7268623024830699,0.7662089290193128,1.0,0.8,0.0153579999459907
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.809723829166457,0.809723829166457,0.9347882274124658,0.1496201813862495,0.0,0.829637911526788,0.8058252427184466,0.6424870466321243,0.7241561446752854,1.0,0.8,0.020255499985069
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,4,logreg_l1_c1,linear,0.8726657692174934,0.8726657692174934,0.9215984332386974,0.1342156051984483,0.0,0.6363475101912824,0.8018018018018018,0.7969348659003831,0.7993683338510924,1.0,0.8,0.0238730999990366
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.8700699147228494,0.8700699147228494,0.9426526044049908,0.1205689110014726,0.0,0.7690444591904446,0.8402777777777778,0.7426636568848759,0.7914707173313269,1.0,0.8,0.129879800020717
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.7839428542683234,0.7839428542683234,0.919275887046922,0.1244101703407214,0.0,0.8180846422338568,0.8155339805825242,0.4870466321243523,0.6512903063534383,1.0,0.8,0.1361444999929517
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,5,rf_60_sqrt,bagging,0.8991750371060716,0.8991750371060716,0.9256150985861682,0.1164559570382395,0.0,0.7166666666666667,0.8018018018018018,0.8659003831417624,0.8338510924717821,1.0,0.8,0.1219481999869458
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,6,rf_90_d12,bagging,0.8663547153248057,0.8663547153248057,0.9456882856702042,0.1320980039499076,0.0,0.6855964802418835,0.8055555555555556,0.7539503386004515,0.7797529470780036,1.0,0.8,0.2028661000076681
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,6,rf_90_d12,bagging,0.8167915891141404,0.8167915891141404,0.9405850336927378,0.1282875754345592,0.0,0.7467723960279675,0.8155339805825242,0.5647668393782384,0.6901504099803812,1.0,0.8,0.1888567000278271
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,6,rf_90_d12,bagging,0.8877153015084049,0.8877153015084049,0.93636778870845,0.128546016909322,0.0,0.6495109456561778,0.8018018018018018,0.8582375478927203,0.830019674847261,1.0,0.8,0.1994994999840855
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,7,rf_90_leaf2,bagging,0.857905379984951,0.857905379984951,0.9395699875408778,0.1256465012976041,0.0,0.7101539250381381,0.8055555555555556,0.7178329571106095,0.7616942563330825,1.0,0.8,0.1930754000204615
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,7,rf_90_leaf2,bagging,0.8121887418884249,0.8121887418884249,0.9364953211118904,0.1278064047483778,0.0,0.7414579701915973,0.8058252427184466,0.5984455958549223,0.7021354192866844,1.0,0.8,0.2017261000000871
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,7,rf_90_leaf2,bagging,0.8909599254426841,0.8909599254426841,0.9280173650597768,0.1225987964474452,0.0,0.649221975553915,0.8018018018018018,0.8659003831417624,0.8338510924717821,1.0,0.8,0.1704271999769844
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,0.8724526586405817,0.8724526586405817,0.9468406566177334,0.1237108730005978,0.0,0.6898793853981908,0.8055555555555556,0.7765237020316027,0.7910396287935791,1.0,0.8,0.297844199987594
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,0.8222999144826199,0.8222999144826199,0.9394710990002318,0.1251794999331134,0.0,0.7311967208643658,0.8058252427184466,0.6424870466321243,0.7241561446752854,1.0,0.8,0.3147491000127047
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,8,rf_120_d20_leaf2,bagging,0.890959925442684,0.890959925442684,0.9298335514804318,0.1217714616392934,0.0,0.6534142083072612,0.8288288288288288,0.8582375478927203,0.8435331883607746,1.0,0.8,0.319092100020498
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,9,et_60_sqrt,bagging,0.8593789189867068,0.8593789189867068,0.936460827550892,0.1186110633023778,0.0,0.758284939992257,0.8055555555555556,0.7358916478555305,0.770723601705543,1.0,0.8,0.1028334999573417
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,9,et_60_sqrt,bagging,0.8236455556114493,0.8236455556114493,0.933128752725656,0.1151621425460372,0.0,0.8065519638512341,0.8058252427184466,0.6139896373056994,0.7099074400120731,1.0,0.8,0.0955277999746613
bbbp,classification,1,3,stratified_scaffold_group,stratified_scaffold_group,9,et_60_sqrt,bagging,0.892306099202651,0.892306099202651,0.9397072467466268,0.1148962486381795,0.0,0.7062232300327539,0.8018018018018018,0.8122605363984674,0.8070311691001346,1.0,0.8,0.101075500017032
bbbp,classification,1,1,stratified_scaffold_group,stratified_scaffold_group,10,et_90_d12,bagging,0.8814584900928015,0.8814584900928015,0.9525905979552858,0.1319679235659105,0.0,0.6731228175225749,0.8055555555555556,0.7562076749435666,0.780881615249561,1.0,0.8,0.1274901999859139
bbbp,classification,1,2,stratified_scaffold_group,stratified_scaffold_group,10,et_90_d12,bagging,0.8158106544594799,0.8158106544594799,0.936309800068709,0.1280033875156916,0.0,0.7245773074648437,0.8058252427184466,0.6139896373056994,0.7099074400120731,1.0,0.8,0.1279553000349551
