dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
esol,regression,1,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,752,376,-2.678132532181447,0.007227299967780709,,,,2.678132532181447,2.056771956381646,-0.25150710392728426,0.5077286765497339
esol,regression,1,seeded_scaffold_group_balanced,2,ridge_a1,linear,752,376,-2.0270945681740216,0.006750800006557256,,,,2.0270945681740216,1.6088250973097822,0.2830032140942612,0.6081521739485981
esol,regression,1,seeded_scaffold_group_balanced,3,ridge_a10,linear,752,376,-1.7299175500752335,0.0071622999967075884,,,,1.7299175500752335,1.3364602453188694,0.47782028327949766,0.719307613167125
esol,regression,1,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,752,376,-2.062468438410456,0.023112500028219074,,,,2.062468438410456,1.6357027030574516,0.2577609287958097,0.6022767464878664
esol,regression,1,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,752,376,-1.8190247716791832,0.06523179996293038,,,,1.8190247716791832,1.3667829021023303,0.42264036758613355,0.7139588555339109
esol,regression,1,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,752,376,-1.9888788903939403,0.09330549999140203,,,,1.9888788903939403,1.5015178379618583,0.3097826601644442,0.6879625186318403
esol,regression,1,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,752,376,-1.8853374332953858,0.0909135999972932,,,,1.8853374332953858,1.4215082169734887,0.37977771015473727,0.7243553359889398
esol,regression,1,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,752,376,-1.9081022388771003,0.1085181999951601,,,,1.9081022388771003,1.4418024635689357,0.364709338738227,0.7164319641026441
esol,regression,1,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,752,376,-1.7302094616201764,0.054037699999753386,,,,1.7302094616201764,1.2925282432033098,0.47764404002603844,0.7469868863101554
esol,regression,1,seeded_scaffold_group_balanced,10,et_90_d12,bagging,752,376,-1.9295547657008358,0.07212299999082461,,,,1.9295547657008358,1.4594094262882529,0.35034406853572386,0.7174418473458367
esol,regression,1,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,752,376,-1.829160747236992,0.09172660001786426,,,,1.829160747236992,1.3695188371818212,0.41618811056655136,0.7361916364867919
esol,regression,1,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,752,376,-1.8630900217976025,0.13866639998741448,,,,1.8630900217976025,1.4012225329125199,0.39432887588065013,0.7204858320672424
esol,regression,1,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,752,376,-1.747581236751855,1.5090450000134297,,,,1.747581236751855,1.347602788432127,0.4671021900915382,0.7186726054260907
esol,regression,1,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,752,376,-1.7034364285652055,1.0106756000313908,,,,1.7034364285652055,1.3123137026068807,0.49368470129244524,0.7320606858384777
esol,regression,1,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,752,376,-2.004020818843572,0.30617549997987226,,,,2.004020818843572,1.5319781275564623,0.29923299245029933,0.7056047008746915
esol,regression,1,seeded_scaffold_group_balanced,16,gb_lr0.1_d3,boosting,752,376,-1.793013834344761,0.4264316000044346,,,,1.793013834344761,1.3724993408004231,0.43903408993063087,0.7331573527970306
esol,regression,1,seeded_scaffold_group_balanced,17,lgbm_60_l15,boosting,752,376,-1.8077993062457256,0.031981299980543554,,,,1.8077993062457256,1.3877136831015267,0.42974431987852024,0.709341310538851
esol,regression,1,seeded_scaffold_group_balanced,18,lgbm_90_l31,boosting,752,376,-1.7564527566986845,0.05542420002166182,,,,1.7564527566986845,1.342686580959352,0.4616779921056907,0.7129726821568931
esol,regression,1,seeded_scaffold_group_balanced,19,lgbm_60_l63,boosting,752,376,-1.7562419900599517,0.04003570001805201,,,,1.7562419900599517,1.3339548126051584,0.4618071769213442,0.7121372693152831
esol,regression,1,seeded_scaffold_group_balanced,20,lgbm_100_leaf10,boosting,752,376,-1.711494682051748,0.07973520003724843,,,,1.711494682051748,1.2920670693921361,0.4888830340398539,0.7320086107082927
esol,regression,1,seeded_scaffold_group_balanced,21,lgbm_100_leaf30,boosting,752,376,-1.8372518028479776,0.03903980000177398,,,,1.8372518028479776,1.4103247515446458,0.41101185505405535,0.6807417341195658
esol,regression,1,seeded_scaffold_group_balanced,22,lgbm_80_ff0.7,boosting,752,376,-1.7208907245316671,0.050402200024109334,,,,1.7208907245316671,1.3256655187954143,0.4832556026669915,0.7264463407446377
esol,regression,1,seeded_scaffold_group_balanced,23,lgbm_80_bag0.8,boosting,752,376,-1.7463271610706856,0.04542049998417497,,,,1.7463271610706856,1.3456311875872948,0.46786673755150765,0.7163097340120024
esol,regression,1,seeded_scaffold_group_balanced,24,lgbm_120_l15,boosting,752,376,-1.740618523494573,0.05792950000613928,,,,1.740618523494573,1.3463981365647488,0.47134007391729194,0.7220224350828334
esol,regression,1,seeded_scaffold_group_balanced,25,xgb_60_d3,boosting,752,376,-1.9074680412063616,0.056396500032860786,,,,1.9074680412063616,1.4593695173403052,0.36513157282328923,0.69919654677651
esol,regression,1,seeded_scaffold_group_balanced,26,xgb_80_d5,boosting,752,376,-1.8025041168067686,0.08925309998448938,,,,1.8025041168067686,1.3772308990245168,0.4330800767864702,0.7296861846622514
esol,regression,1,seeded_scaffold_group_balanced,27,xgb_100_d3,boosting,752,376,-1.8639078820879444,0.07147120003355667,,,,1.8639078820879444,1.4199201983961656,0.39379700347395674,0.7172484355456082
esol,regression,1,seeded_scaffold_group_balanced,28,xgb_60_d6,boosting,752,376,-1.7527141628549168,0.08837790001416579,,,,1.7527141628549168,1.3412060382126811,0.46396718032472417,0.7437143695512916
esol,regression,1,seeded_scaffold_group_balanced,29,cat_60_d4,boosting,752,376,-1.9542610233405606,0.14527009997982532,,,,1.9542610233405606,1.4809933756938,0.33360101067857495,0.7158369758777979
esol,regression,1,seeded_scaffold_group_balanced,30,cat_80_d6,boosting,752,376,-1.8962507036150327,0.3018999000196345,,,,1.8962507036150327,1.4383047628878236,0.3725766186650472,0.7451255229290142
esol,regression,1,seeded_scaffold_group_balanced,31,cat_100_d4,boosting,752,376,-1.9387924703546149,0.20534179999958724,,,,1.9387924703546149,1.4750416388015435,0.34410874901969946,0.7328886128250752
esol,regression,1,seeded_scaffold_group_balanced,32,cat_60_d8,boosting,752,376,-1.878979967626047,0.603708699985873,,,,1.878979967626047,1.4405537382819955,0.3839535078279702,0.745700869354587
esol,regression,2,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,752,376,-2.426440146144679,0.007634799985680729,,,,2.426440146144679,1.9043871223596818,-0.8482625145580884,0.4504463061562289
esol,regression,2,seeded_scaffold_group_balanced,2,ridge_a1,linear,752,376,-1.8360137506897038,0.007115099986549467,,,,1.8360137506897038,1.4579162847196803,-0.058220934209011865,0.5639644716008938
esol,regression,2,seeded_scaffold_group_balanced,3,ridge_a10,linear,752,376,-1.5725462369351413,0.007507700007408857,,,,1.5725462369351413,1.2843586062167553,0.22369687023326412,0.6203822237060842
esol,regression,2,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,752,376,-1.8773584099262124,0.03919420001329854,,,,1.8773584099262124,1.4953122784469992,-0.10641708823973417,0.5545051888499117
esol,regression,2,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,752,376,-1.9127851480751665,0.07620459998724982,,,,1.9127851480751665,1.5565221031748488,-0.1485684215849905,0.4215402081386581
esol,regression,2,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,752,376,-1.7986309924841946,0.09329769999021664,,,,1.7986309924841946,1.4765649366408218,-0.015567127168192973,0.45503654828827744
esol,regression,2,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,752,376,-1.8380765868807085,0.10191769996890798,,,,1.8380765868807085,1.5111492886829387,-0.06060017864476075,0.42028185739193524
esol,regression,2,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,752,376,-1.8013596358698987,0.12250890000723302,,,,1.8013596358698987,1.476815735594431,-0.018650830855457157,0.4501305979101488
esol,regression,2,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,752,376,-1.898506523436834,0.058755299949552864,,,,1.898506523436834,1.5279236332742314,-0.13148467768310068,0.4416859384784424
esol,regression,2,seeded_scaffold_group_balanced,10,et_90_d12,bagging,752,376,-1.8118010648707559,0.07837950001703575,,,,1.8118010648707559,1.4931552486836506,-0.03049410295522037,0.4429630750080872
esol,regression,2,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,752,376,-1.7897722663195026,0.07383230002596974,,,,1.7897722663195026,1.4695491339875215,-0.005587897695177757,0.4449026183485857
esol,regression,2,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,752,376,-1.831591672292489,0.08776019996730611,,,,1.831591672292489,1.509280535311803,-0.05312957740442603,0.42136841409127374
esol,regression,2,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,752,376,-1.7986930649949797,1.1593336000223644,,,,1.7986930649949797,1.4605407255840308,-0.015637224802986127,0.5106742326131463
