dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
lipo,regression,1,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,2800,1400,-1.061798121282564,0.01185859995894134,,,,1.061798121282564,0.8399321780792304,0.11337292958302037,0.43900962812769295
lipo,regression,1,seeded_scaffold_group_balanced,2,ridge_a1,linear,2800,1400,-1.0564191155790899,0.01212249998934567,,,,1.0564191155790899,0.8357596513603416,0.12233337470570926,0.44053704556872203
lipo,regression,1,seeded_scaffold_group_balanced,3,ridge_a10,linear,2800,1400,-1.0209112361679475,0.013304000021889806,,,,1.0209112361679475,0.8109529224557537,0.180341306937564,0.4507808803657567
lipo,regression,1,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,2800,1400,-1.0391092008393275,0.03474780003307387,,,,1.0391092008393275,0.8237157441743784,0.1508596812179157,0.44498732730707585
lipo,regression,1,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,2800,1400,-0.945181827929982,0.12519829999655485,,,,0.945181827929982,0.7480464037698412,0.29743290038206827,0.5382424993712887
lipo,regression,1,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,2800,1400,-0.983826872906473,0.11502509994897991,,,,0.983826872906473,0.7799005053466408,0.23880759938895513,0.5348463615053072
lipo,regression,1,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,2800,1400,-0.9356301836642852,0.13298310001846403,,,,0.9356301836642852,0.7373323365242173,0.3115608979378347,0.5655978474582772
lipo,regression,1,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,2800,1400,-0.957118648136552,0.16799389995867386,,,,0.957118648136552,0.7563696382559377,0.2795752280053777,0.5491479577728666
lipo,regression,1,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,2800,1400,-0.9192575404999915,0.11817159998463467,,,,0.9192575404999915,0.7255045634920635,0.3354441523832594,0.5634041545169989
lipo,regression,1,seeded_scaffold_group_balanced,10,et_90_d12,bagging,2800,1400,-0.9719994413221754,0.09088470001006499,,,,0.9719994413221754,0.7715044430963505,0.25699948897138714,0.5381197056339942
lipo,regression,1,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,2800,1400,-0.9140984960928447,0.12552850000793114,,,,0.9140984960928447,0.7205542605823025,0.3428824433161255,0.5827174977557774
lipo,regression,1,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,2800,1400,-0.9335466468507804,0.1527011000434868,,,,0.9335466468507804,0.7354912682888607,0.31462362749122685,0.5672564832781649
lipo,regression,1,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,2800,1400,-0.9393226393116342,1.3683127999538556,,,,0.9393226393116342,0.7394013998782196,0.30611633886939493,0.5114121054111609
lipo,regression,1,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,2800,1400,-0.9188173539679058,1.240231000003405,,,,0.9188173539679058,0.7228640312694584,0.336080445222646,0.525720723661472
lipo,regression,1,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,2800,1400,-1.0557129501757094,1.3223705000127666,,,,1.0557129501757094,0.8482670183370247,0.12350633844994685,0.3378907156187242
