dataset,task_type,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,family,inner_utility,inner_roc_auc,inner_pr_auc,inner_brier,minority_label,minority_threshold,minority_recall,majority_recall,balanced_recall,minority_constraint_feasible,minority_recall_target,fit_seconds
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-3.957459351294504,,,,,,,,,,,0.002763899974524975
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-3.5141472109116254,,,,,,,,,,,0.002130199980456382
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-4.861385066671208,,,,,,,,,,,0.002675199997611344
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-4.132426631314745,,,,,,,,,,,0.0020668000215664506
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-2.495152239686401,,,,,,,,,,,0.002546300005633384
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-2.883932415252492,,,,,,,,,,,0.002438900002744049
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-4.523408884031346,,,,,,,,,,,0.0022154999896883965
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-2.2370383926730986,,,,,,,,,,,0.007562999962829053
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-2.41950424518996,,,,,,,,,,,0.002139699994586408
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-4.0082269774583175,,,,,,,,,,,0.02333359996555373
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-3.018598197062551,,,,,,,,,,,0.02372220001416281
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-3.995860719198462,,,,,,,,,,,0.030828499991912395
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-4.918777743925342,,,,,,,,,,,0.07148069998947904
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-2.396572506137655,,,,,,,,,,,0.07145819999277592
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-2.726313608085341,,,,,,,,,,,0.0672266999608837
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-4.95089643943111,,,,,,,,,,,0.09196699998574331
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-2.526552808125579,,,,,,,,,,,0.09702220000326633
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-2.67439649375427,,,,,,,,,,,0.08726819994626567
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-4.936809870778975,,,,,,,,,,,0.10008850001031533
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-2.4488974145819915,,,,,,,,,,,0.0894630000111647
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-2.805568587678811,,,,,,,,,,,0.09706070000538602
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,-4.918183535074354,,,,,,,,,,,0.12676850002026185
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,-2.4407724145303393,,,,,,,,,,,0.13489869999466464
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,-2.724484961544695,,,,,,,,,,,0.1158178000478074
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,-4.795335412482971,,,,,,,,,,,0.05569479998666793
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,-2.3806737565392018,,,,,,,,,,,0.048588500008918345
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,-2.555252048488728,,,,,,,,,,,0.05944339995039627
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,10,et_90_d12,bagging,-4.9351176167454,,,,,,,,,,,0.0711754999938421
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,10,et_90_d12,bagging,-2.4576589944573524,,,,,,,,,,,0.07312290003756061
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,10,et_90_d12,bagging,-2.6777054563989284,,,,,,,,,,,0.07922699995106086
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,-4.826260736358736,,,,,,,,,,,0.06796150002628565
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,-2.4511248178690024,,,,,,,,,,,0.06058540003141388
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,-2.754137506546684,,,,,,,,,,,0.06017199996858835
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,-4.819400715424607,,,,,,,,,,,0.08357489999616519
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,-2.446767343197041,,,,,,,,,,,0.09683990001212806
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,-2.7159465269358916,,,,,,,,,,,0.09366379998391494
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,-4.603900728924579,,,,,,,,,,,0.7825748000177555
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,-2.7333408050722836,,,,,,,,,,,0.7520290999673307
freesolv,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,-2.2925287239419005,,,,,,,,,,,0.5483478999813087
freesolv,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,-4.560605306757261,,,,,,,,,,,0.5941481999470852
freesolv,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,-2.768212312209012,,,,,,,,,,,0.666838800010737
