dataset,task_type,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,family,inner_utility,inner_roc_auc,inner_pr_auc,inner_brier,minority_label,minority_threshold,minority_recall,majority_recall,balanced_recall,minority_constraint_feasible,minority_recall_target,fit_seconds
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-0.9466373653994373,,,,,,,,,,,0.003641100018285215
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-0.9113618773029436,,,,,,,,,,,0.0036601999890990555
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,-0.9755495434211591,,,,,,,,,,,0.004154799971729517
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-0.6987758069162872,,,,,,,,,,,0.003304600017145276
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-0.6965180926966987,,,,,,,,,,,0.004104599996935576
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,2,ridge_a1,linear,-0.7219455374570581,,,,,,,,,,,0.0032562999986112118
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-0.5868648480739335,,,,,,,,,,,0.002933399984613061
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-0.5790797382277486,,,,,,,,,,,0.003146399976685643
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,3,ridge_a10,linear,-0.6075224820400704,,,,,,,,,,,0.002927499997895211
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-0.7346600038666218,,,,,,,,,,,0.030691799998749048
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-0.7270427976246684,,,,,,,,,,,0.041685800009872764
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,-0.7804102642706735,,,,,,,,,,,0.0480544000165537
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-0.5942982193969794,,,,,,,,,,,0.06829800002742559
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-0.5601903518847913,,,,,,,,,,,0.06539559998782352
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,-0.7042028324473669,,,,,,,,,,,0.07162350002909079
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-0.6085175284635015,,,,,,,,,,,0.08381909999297932
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-0.5660538288432592,,,,,,,,,,,0.09220080001978204
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,-0.696633424777994,,,,,,,,,,,0.09169950004434213
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-0.6114619792856832,,,,,,,,,,,0.09662330005085096
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-0.5682436254901252,,,,,,,,,,,0.12092529999790713
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,-0.7046644861780701,,,,,,,,,,,0.13163600000552833
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,-0.6129169163491562,,,,,,,,,,,0.15110289998119697
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,-0.5658985192233459,,,,,,,,,,,0.1477358000120148
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,-0.7039738839706415,,,,,,,,,,,0.1597374000120908
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,-0.5830967737190412,,,,,,,,,,,0.06177529995329678
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,-0.5561928406304679,,,,,,,,,,,0.06942779995733872
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,-0.6511800800769437,,,,,,,,,,,0.06203010003082454
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,10,et_90_d12,bagging,-0.610181156588921,,,,,,,,,,,0.08708359999582171
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,10,et_90_d12,bagging,-0.563266601546785,,,,,,,,,,,0.08515539998188615
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,10,et_90_d12,bagging,-0.6931936636030759,,,,,,,,,,,0.09107460000086576
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,-0.6045033918144541,,,,,,,,,,,0.07942239998374134
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,-0.5544241693006248,,,,,,,,,,,0.07988219999242574
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,-0.6905554351959045,,,,,,,,,,,0.09521210001548752
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,-0.5951227114183717,,,,,,,,,,,0.11531880003167316
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,-0.5620239029109028,,,,,,,,,,,0.10498579998966306
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,-0.6878565367743477,,,,,,,,,,,0.10495730000548065
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,-0.5836067294428388,,,,,,,,,,,1.1733103000442497
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,-0.5452329283231668,,,,,,,,,,,1.1860612000455149
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,-0.6515843872266447,,,,,,,,,,,1.1639820000273176
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,-0.5784670621807365,,,,,,,,,,,0.8936937000253238
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,-0.5465256883247076,,,,,,,,,,,0.6849006999982521
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,-0.6668530545251229,,,,,,,,,,,0.7011346000363119
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,-0.6501921047850041,,,,,,,,,,,0.1791920000105165
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,-0.5869347760595757,,,,,,,,,,,0.18221009999979287
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,-0.7042247816552982,,,,,,,,,,,0.21009820001199841
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,16,gb_lr0.1_d3,boosting,-0.6131358921332408,,,,,,,,,,,0.26132849999703467
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,16,gb_lr0.1_d3,boosting,-0.537934829802005,,,,,,,,,,,0.28217409999342635
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,16,gb_lr0.1_d3,boosting,-0.6522627895167074,,,,,,,,,,,0.33448520000092685
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,17,lgbm_60_l15,boosting,-0.6004674925649034,,,,,,,,,,,0.05519139999523759
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,17,lgbm_60_l15,boosting,-0.5539845513131959,,,,,,,,,,,0.0502242999500595
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,17,lgbm_60_l15,boosting,-0.6833150050626807,,,,,,,,,,,0.05496849998598918
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,18,lgbm_90_l31,boosting,-0.5835756754301015,,,,,,,,,,,0.0947168999700807
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,18,lgbm_90_l31,boosting,-0.5388798015022197,,,,,,,,,,,0.0661174000124447
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,18,lgbm_90_l31,boosting,-0.6792957576985948,,,,,,,,,,,0.06331759999739006
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,19,lgbm_60_l63,boosting,-0.5798866406715527,,,,,,,,,,,0.04764850001083687
tdc_caco2_wang,regression,1,2,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,19,lgbm_60_l63,boosting,-0.5455737400521211,,,,,,,,,,,0.05905560002429411
tdc_caco2_wang,regression,1,3,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,19,lgbm_60_l63,boosting,-0.6904762417981345,,,,,,,,,,,0.05277519999071956
tdc_caco2_wang,regression,1,1,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,20,lgbm_100_leaf10,boosting,-0.6077194782639446,,,,,,,,,,,0.1472656999831088
