dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,604,302,-1.2621107270747787,0.006229699996765703,,,,1.2621107270747787,1.0152164630342195,-1.7687624629125085,0.07590625457308396
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,2,ridge_a1,linear,604,302,-0.7601954456301322,0.005788900016341358,,,,0.7601954456301322,0.5879401448930349,-0.0044800353804195225,0.3908231015807786
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,3,ridge_a10,linear,604,302,-0.5911439377374689,0.006432100024539977,,,,0.5911439377374689,0.4527870079886935,0.3925965380113656,0.60522181429597
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,604,302,-0.7819533293970332,0.028564199979882687,,,,0.7819533293970332,0.6132553943359679,-0.06280220990313445,0.36290335924629497
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,604,302,-0.6214599007421605,0.06381449999753386,,,,0.6214599007421605,0.512438017937546,0.32869944659628836,0.4675335177931259
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,604,302,-0.6034391591946009,0.0997190999914892,,,,0.6034391591946009,0.49088306196345693,0.36706696781328874,0.5764265285802908
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,604,302,-0.6236762564807032,0.10068839997984469,,,,0.6236762564807032,0.5092403770320056,0.3239026964688806,0.48969716723390966
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,604,302,-0.6044743129687651,0.13272049999795854,,,,0.6044743129687651,0.49060151364771637,0.36489360877526755,0.5667606778643642
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,604,302,-0.5905954983103219,0.056229099980555475,,,,0.5905954983103219,0.48206731693340715,0.3937230639080097,0.5867909395493247
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,10,et_90_d12,bagging,604,302,-0.5978068109632032,0.07409110001754016,,,,0.5978068109632032,0.4904910692835749,0.3788271005695829,0.5939251904712295
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,604,302,-0.5985520534126556,0.07046230003470555,,,,0.5985520534126556,0.48765579009777626,0.3772773926981531,0.5792554251559783
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,604,302,-0.5950394427082802,0.08891849999781698,,,,0.5950394427082802,0.4874362762132973,0.3845648583190123,0.5639925919940174
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,604,302,-0.6311289403380597,1.0152291999547742,,,,0.6311289403380597,0.5086849623551477,0.30764796534446615,0.4575220345702449
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,604,302,-0.6364631341620721,0.8377667000168003,,,,0.6364631341620721,0.5066101215883315,0.2958952263913023,0.4568520142899854
tdc_caco2_wang,regression,1,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,604,302,-0.678431128013455,0.2782287999871187,,,,0.678431128013455,0.5663189627089175,0.19997729093990524,0.31065471591349025
