dataset,task_type,outer_fold,outer_split_type,candidate_order,candidate,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,brier,rmse,mae,r2,spearman
esol,regression,1,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,752,376,-2.755846705979345,0.0098068000515922,,,,2.755846705979345,2.1142555457734047,-1.6167997138225836,0.4180314791296245
esol,regression,1,seeded_scaffold_group_balanced,2,ridge_a1,linear,752,376,-1.951077591992104,0.014015799970366,,,,1.951077591992104,1.533302578456858,-0.3116242975761638,0.5384078668422476
esol,regression,1,seeded_scaffold_group_balanced,3,ridge_a10,linear,752,376,-1.5726323989421909,0.0126237000222317,,,,1.5726323989421909,1.2617289569238397,0.1478524330070072,0.6144490020032632
esol,regression,1,seeded_scaffold_group_balanced,4,elasticnet_a0.001,linear,752,376,-1.9932382764577947,0.0476721000159159,,,,1.9932382764577947,1.566180884947168,-0.36892233025663,0.5337124172428629
esol,regression,1,seeded_scaffold_group_balanced,5,rf_60_sqrt,bagging,752,376,-1.8615782663457632,0.0866516000241972,,,,1.8615782663457632,1.5136633123525407,-0.194051259506172,0.4436156350383275
esol,regression,1,seeded_scaffold_group_balanced,6,rf_90_d12,bagging,752,376,-1.7605229456297988,0.1196602000272832,,,,1.7605229456297988,1.4231593162336416,-0.0679323701977543,0.4253495583941863
esol,regression,1,seeded_scaffold_group_balanced,7,rf_90_leaf2,bagging,752,376,-1.7400962315944069,0.1171392999822273,,,,1.7400962315944069,1.4188757912957752,-0.043294466819614,0.4277581787697067
esol,regression,1,seeded_scaffold_group_balanced,8,rf_120_d20_leaf2,bagging,752,376,-1.7422219833866792,0.1322847999981604,,,,1.7422219833866792,1.4196481592761845,-0.0458450610885501,0.443995569251927
esol,regression,1,seeded_scaffold_group_balanced,9,et_60_sqrt,bagging,752,376,-1.852195325850713,0.06012149999151,,,,1.852195325850713,1.4783031302769332,-0.1820448056272199,0.4721507980096621
esol,regression,1,seeded_scaffold_group_balanced,10,et_90_d12,bagging,752,376,-1.7607342964930266,0.0767451000283472,,,,1.7607342964930266,1.4163435108903502,-0.0681887962523244,0.4433824371520243
esol,regression,1,seeded_scaffold_group_balanced,11,et_90_leaf2,bagging,752,376,-1.7971121765305806,0.0886029999819584,,,,1.7971121765305806,1.4434606036951263,-0.1127836723035282,0.4424724461745912
esol,regression,1,seeded_scaffold_group_balanced,12,et_120_d20_leaf2,bagging,752,376,-1.7612664933756426,0.0927730000112205,,,,1.7612664933756426,1.4241814629498315,-0.0688346320987836,0.454668066618421
esol,regression,1,seeded_scaffold_group_balanced,13,histgb_lr0.05,boosting,752,376,-1.7324554220955917,1.3966078000376,,,,1.7324554220955917,1.3712926399321896,-0.0341523144017772,0.5085518855428097
esol,regression,1,seeded_scaffold_group_balanced,14,histgb_lr0.1,boosting,752,376,-1.6812965656886951,0.9228272000327706,,,,1.6812965656886951,1.3232670726049105,0.0260222790655241,0.5556604031397867
esol,regression,1,seeded_scaffold_group_balanced,15,gb_lr0.05_d2,boosting,752,376,-1.742237070496062,0.3363109999918379,,,,1.742237070496062,1.425501442094247,-0.0458631745635316,0.4125314686721384
esol,regression,1,seeded_scaffold_group_balanced,16,gb_lr0.1_d3,boosting,752,376,-1.6876284664887216,0.4523624000139534,,,,1.6876284664887216,1.3455106262620264,0.0186723047708794,0.5211507350652289
esol,regression,1,seeded_scaffold_group_balanced,17,lgbm_60_l15,boosting,752,376,-1.8083680347173972,0.032287299982272,,,,1.8083680347173972,1.4508570991699237,-0.1267667284057374,0.442328358083642
esol,regression,1,seeded_scaffold_group_balanced,18,lgbm_90_l31,boosting,752,376,-1.7647833983040309,0.0523774000466801,,,,1.7647833983040309,1.402010373242704,-0.0731074014762118,0.5110115511012707
esol,regression,1,seeded_scaffold_group_balanced,19,lgbm_60_l63,boosting,752,376,-1.7547749028283002,0.0420192000456154,,,,1.7547749028283002,1.392798505700611,-0.0609702343558133,0.5254672073830422
esol,regression,1,seeded_scaffold_group_balanced,20,lgbm_100_leaf10,boosting,752,376,-1.7014944370962328,0.0952537999837659,,,,1.7014944370962328,1.3513069376125466,0.0024803991118587,0.5468112049814509
esol,regression,1,seeded_scaffold_group_balanced,21,lgbm_100_leaf30,boosting,752,376,-1.778165723626305,0.0488973999745212,,,,1.778165723626305,1.411185142656065,-0.089443820715827,0.5033422090252183
esol,regression,1,seeded_scaffold_group_balanced,22,lgbm_80_ff0.7,boosting,752,376,-1.7722917319620757,0.0633935999940149,,,,1.7722917319620757,1.41089540018856,-0.0822579729897157,0.5389653783984336
esol,regression,1,seeded_scaffold_group_balanced,23,lgbm_80_bag0.8,boosting,752,376,-1.7668360735001056,0.0532688999664969,,,,1.7668360735001056,1.4025903726391993,-0.0756051833417534,0.5337909402464678
esol,regression,1,seeded_scaffold_group_balanced,24,lgbm_120_l15,boosting,752,376,-1.769610529655491,0.061118500016164,,,,1.769610529655491,1.3965274233333662,-0.0789858732889925,0.499254776239774
esol,regression,1,seeded_scaffold_group_balanced,25,xgb_60_d3,boosting,752,376,-1.7218045802195183,0.0602180999703705,,,,1.7218045802195183,1.3770963092718989,-0.021475815239941,0.4818553167922628
esol,regression,1,seeded_scaffold_group_balanced,26,xgb_80_d5,boosting,752,376,-1.7246928651971256,0.1032916000112891,,,,1.7246928651971256,1.384214454591512,-0.0249056908775706,0.5464495797847906
esol,regression,1,seeded_scaffold_group_balanced,27,xgb_100_d3,boosting,752,376,-1.7548521147636242,0.0954149999888613,,,,1.7548521147636242,1.40907226037884,-0.0610636040150867,0.4675740123592378
esol,regression,1,seeded_scaffold_group_balanced,28,xgb_60_d6,boosting,752,376,-1.7886650369121344,0.0941912999842315,,,,1.7886650369121344,1.418694487686487,-0.1023472090902632,0.5215559841811046
esol,regression,1,seeded_scaffold_group_balanced,29,cat_60_d4,boosting,752,376,-1.703235288785605,0.1630362999858334,,,,1.703235288785605,1.3861775387760078,0.000438168475987,0.4550146527919399
esol,regression,1,seeded_scaffold_group_balanced,30,cat_80_d6,boosting,752,376,-1.703140561629184,0.3486271000001579,,,,1.703140561629184,1.3863199237565167,0.0005493486723717,0.480303523027797
esol,regression,1,seeded_scaffold_group_balanced,31,cat_100_d4,boosting,752,376,-1.6807058852793708,0.20295329997316,,,,1.6807058852793708,1.3754705540837384,0.026706523012115,0.469669469455547
esol,regression,1,seeded_scaffold_group_balanced,32,cat_60_d8,boosting,752,376,-1.7330536308025712,0.5805179000017233,,,,1.7330536308025712,1.4183330729455843,-0.0348666135606257,0.4858795592519661
esol,regression,2,seeded_scaffold_group_balanced,1,ridge_a0.1,linear,752,376,-2.565638821011821,0.0060932000051252,,,,2.565638821011821,2.010373073509399,-0.0683800493962838,0.5211890367791172
esol,regression,2,seeded_scaffold_group_balanced,2,ridge_a1,linear,752,376,-1.993669637066692,0.0061508999788202,,,,1.993669637066692,1.5550309552905408,0.3548790845393077,0.6403596615590745
