endpoint,task_type,seed,outer_fold,inner_fold,split_regime,outer_split_type,inner_split_type,train_n,validation_n,test_n,train_scaffold_n,validation_scaffold_n,test_scaffold_n,group_definition,train_group_n,validation_group_n,test_group_n,target_mean,target_sd,target_range,train_target_mean,train_target_sd,train_target_min,train_target_max,train_target_range,validation_target_mean,validation_target_sd,validation_target_min,validation_target_max,validation_target_range,test_target_mean,test_target_sd,test_target_min,test_target_max,test_target_range,outer_split_hash,split_hash,no_scaffold_overlap,no_group_overlap,max_train_validation_tanimoto,max_train_test_tanimoto,max_validation_test_tanimoto
esol,regression,53,1,1,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,502,250,376,308,153,123,Bemis-Murcko scaffold,308,153,123,-2.7933191489361704,1.7058785292449774,10.279,-3.004296812749004,2.155608711180757,-9.332,1.57,10.902,-3.52828,2.413982551851312,-11.6,1.12,12.72,-2.7933191489361704,1.7058785292449774,-8.699,1.58,10.279,da2e6f9755d1ad5e3b11091c44e6d57ecc927fdbd56dcfe19e66c1ce90e2502c,dfa1041c9f5c62187a4bdecea0998b3c7cbb7e1b2ac5a3c7c0d75c249f0d3c21,True,True,,,
esol,regression,53,1,2,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,501,251,376,307,154,123,Bemis-Murcko scaffold,307,154,123,-2.7933191489361704,1.7058785292449774,10.279,-3.256844311377246,2.296213699922673,-11.6,1.12,12.72,-3.0221035856573706,2.171892414745052,-8.402000000000001,1.57,9.972,-2.7933191489361704,1.7058785292449774,-8.699,1.58,10.279,da2e6f9755d1ad5e3b11091c44e6d57ecc927fdbd56dcfe19e66c1ce90e2502c,35a09c2c70daf6f7b7ddf91fd304b0bb5a2e7b0265bf801c8e37b1b18a56f7a2,True,True,,,
esol,regression,53,1,3,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,501,251,376,307,154,123,Bemis-Murcko scaffold,307,154,123,-2.7933191489361704,1.7058785292449774,10.279,-3.2746866267465067,2.3075400494034333,-11.6,1.57,13.17,-2.9864900398406378,2.143392420183574,-9.332,1.1,10.432,-2.7933191489361704,1.7058785292449774,-8.699,1.58,10.279,da2e6f9755d1ad5e3b11091c44e6d57ecc927fdbd56dcfe19e66c1ce90e2502c,9502e3335b95db7c5828fd5fc67efbf8ccc07e9fd13a8cc4ed2fec616bc43f85,True,True,,,
esol,regression,53,2,1,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,503,249,376,178,176,230,Bemis-Murcko scaffold,178,176,230,-3.3630292553191485,2.485483716128884,13.17,-2.9504333996023857,1.8189778178500284,-8.402000000000001,1.34,9.742,-2.778907630522088,1.9213797198169336,-8.699,1.58,10.279,-3.3630292553191485,2.485483716128884,-11.6,1.57,13.17,03fe68406ed06f1a0682c52a1f3d2c807404b49d0f505ca25c7e46af08c0ec7c,3a0af6ea61b0746b674a20c7451507ecdb7565c9f534d4e87a7aaaa4cca1b3d4,True,True,,,
esol,regression,53,2,2,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,503,249,376,177,177,230,Bemis-Murcko scaffold,177,177,230,-3.3630292553191485,2.485483716128884,13.17,-2.8168946322067594,1.6991136659540136,-8.699,1.58,10.279,-3.048666666666667,2.1281378894103846,-8.402000000000001,1.34,9.742,-3.3630292553191485,2.485483716128884,-11.6,1.57,13.17,03fe68406ed06f1a0682c52a1f3d2c807404b49d0f505ca25c7e46af08c0ec7c,69e0f565fdf218f321b356751260ad70082c85224ab7bf8ab4d855d02033ae75,True,True,,,
esol,regression,53,2,3,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,498,254,376,353,1,230,Bemis-Murcko scaffold,353,1,230,-3.3630292553191485,2.485483716128884,13.17,-2.913787148594377,2.0298507946067605,-8.699,1.58,10.279,-2.854133858267717,1.451473893745451,-6.98,0.81,7.790000000000001,-3.3630292553191485,2.485483716128884,-11.6,1.57,13.17,03fe68406ed06f1a0682c52a1f3d2c807404b49d0f505ca25c7e46af08c0ec7c,65c711089536b5c785122503161be41fb6479f2238989ac95f9a066c57bf3dc6,True,True,,,
esol,regression,53,3,1,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,503,249,376,176,177,231,Bemis-Murcko scaffold,176,177,231,-2.9939574468085106,1.988348121980756,9.742,-3.153662027833002,2.0948880013348963,-11.6,1.57,13.17,-2.925682730923695,2.2515019341360376,-9.332,1.58,10.912,-2.9939574468085106,1.988348121980756,-8.402000000000001,1.34,9.742,a614f872f1eea4d93c81c267957b80fd129f9632cdaecac3da6329d8b7d0a4fb,e228ad69391a4aa060de94ad050f714b3d2eecfde411976104e79b6ec072c8d6,True,True,,,
esol,regression,53,3,2,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,498,254,376,352,1,231,Bemis-Murcko scaffold,352,1,231,-2.9939574468085106,1.988348121980756,9.742,-3.1924437751004016,2.42248926837328,-11.6,1.58,13.18,-2.854133858267717,1.451473893745451,-6.98,0.81,7.790000000000001,-2.9939574468085106,1.988348121980756,-8.402000000000001,1.34,9.742,a614f872f1eea4d93c81c267957b80fd129f9632cdaecac3da6329d8b7d0a4fb,9f245ba449fd89757ec544f088f8616c8d02d68af9121cfd8827d9106e37474c,True,True,,,
esol,regression,53,3,3,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,503,249,376,178,175,231,Bemis-Murcko scaffold,178,175,231,-2.9939574468085106,1.988348121980756,9.742,-2.889552683896621,1.8887562278796957,-9.332,1.58,10.912,-3.459204819277109,2.558986885716104,-11.6,1.57,13.17,-2.9939574468085106,1.988348121980756,-8.402000000000001,1.34,9.742,a614f872f1eea4d93c81c267957b80fd129f9632cdaecac3da6329d8b7d0a4fb,89aab117423d20226b77c14a7e66e70f3f758bc3b5d7ddac86ff98ee046f8dbf,True,True,,,
freesolv,regression,53,1,1,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,276,152,214,221,1,160,Bemis-Murcko scaffold,221,1,160,-3.3462616822429903,3.520685625545672,21.49,-3.6418115942028986,4.360126726349674,-25.47,3.16,28.63,-4.73875,3.0853532030250963,-11.95,1.07,13.02,-3.3462616822429903,3.520685625545672,-18.06,3.43,21.49,711bb334309e14219eacd16b5a285a34137bd33e060d529020fc4eff005b5c8c,f6fc886a0992fa70b3d8722c48a8e1a53d4ca03bb9ae2aff9d284914710f10cd,True,True,,,
