dataset,seed,outer_fold,pool_size,alternative_selector,candidate_changed_vs_roc,delta_outer_roc_auc_vs_roc_selector,delta_outer_pr_auc_vs_roc_selector,delta_outer_minority_recall_vs_roc_selector,delta_outer_balanced_recall_vs_roc_selector
bace,11,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,11,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,11,1,16,pr_auc,1,-0.001939946018893468,-0.003346349750275479,0.0,0.002083333333333215
bace,11,1,32,pr_auc,1,-0.001939946018893468,-0.003346349750275479,0.0,0.002083333333333215
bace,11,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,11,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,11,2,16,pr_auc,1,0.0008351166553578482,0.0030368579667062745,-0.01680672268907568,-0.0068505663134819095
bace,11,2,32,pr_auc,1,0.0008351166553578482,0.0030368579667062745,-0.01680672268907568,-0.0068505663134819095
bace,11,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,11,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,11,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,11,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,1,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,2,4,pr_auc,1,-0.018668831168831224,-0.013156592036038806,-0.045454545454545414,-0.043831168831168776
bace,23,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,23,3,8,pr_auc,1,-0.008468680429062903,-0.012404858691644871,-0.016393442622950727,0.0010625379477838814
bace,23,3,16,pr_auc,1,-0.0012522768670308881,0.001683153761609102,0.0,-0.0015432098765432167
bace,23,3,32,pr_auc,1,-0.004199554746002865,-0.013036592958889814,0.0,-0.006172839506172867
bace,37,1,4,pr_auc,1,0.009244791666666585,0.01694737509184674,0.08333333333333326,0.02499999999999991
bace,37,1,8,pr_auc,1,-0.0077473958333331705,0.018604196487960967,-0.01041666666666663,0.0031250000000000444
bace,37,1,16,pr_auc,1,0.01068793402777779,0.022019883889555114,-0.02083333333333337,-0.008333333333333304
bace,37,1,32,pr_auc,1,0.01068793402777779,0.022019883889555114,-0.02083333333333337,-0.008333333333333304
bace,37,2,4,pr_auc,1,-0.018936324246058733,-0.027956615302738075,-0.02930402930402931,-0.007277383383578084
bace,37,2,8,pr_auc,1,0.0031983748797906886,0.003695222098358153,-0.007326007326007411,0.0007617750980583038
bace,37,2,16,pr_auc,1,0.002647303532259504,0.0010117212929168229,0.00366300366300365,0.00920613309993834
bace,37,2,32,pr_auc,1,-0.001350665067479273,-0.008639636658078542,-0.010989010989011061,-0.014344063016629494
bace,37,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,37,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,37,3,16,pr_auc,1,0.0012382096944535403,0.009081253809847145,-0.008849557522123908,-0.01059761826723482
bace,37,3,32,pr_auc,1,0.0012382096944535403,0.009081253809847145,-0.008849557522123908,-0.01059761826723482
bace,53,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,1,8,pr_auc,1,0.0023601398601397205,0.004172869313146421,0.00909090909090915,0.002622377622377714
bace,53,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,1,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,53,3,32,pr_auc,1,-8.755472170107748e-05,0.0034852302806208657,0.03589743589743588,-0.0015634771732333519
bace,71,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,71,1,8,pr_auc,1,-0.047954838833978775,-0.04216990929973696,-0.07762557077625565,-0.04514189931217838
bace,71,1,16,pr_auc,1,-0.003814808392578528,-0.003818955842310068,-0.004566210045662045,-0.014941332870932245
bace,71,1,32,pr_auc,1,-0.003814808392578528,-0.003818955842310068,-0.004566210045662045,-0.014941332870932245
bace,71,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,71,2,8,pr_auc,1,0.0074410774410774705,0.008482422041843796,0.0,0.010000000000000009
bace,71,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,71,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,71,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bace,71,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,71,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bace,71,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bace,83,1,4,pr_auc,1,-0.015103530728530767,-0.005289196866098078,-0.01831501831501825,-0.012629731379731335
bace,83,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bace,83,1,16,pr_auc,1,-0.002410205535205656,0.0005013972818845858,-0.02930402930402931,-0.00423534798534797
