dataset,seed,outer_fold,pool_size,control,selected_candidate,available_opportunity,same_fold_gap,crossfit_gap,effective_rank,unique_candidates
bace,11,1,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,2,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,3,4,registered,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,1,8,registered,rf_90_d12,0.016320850202429238,0.0023869770580298155,-0.005094466936572117,1.1773932921492731,8
bace,11,2,8,registered,rf_90_d12,0.0051281382118063545,0.0,-0.0035753431807504787,1.1773932921492731,8
bace,11,3,8,registered,rf_90_d12,0.016336818521284435,0.011053024645257703,0.008625840179238287,1.1773932921492731,8
bace,11,1,16,registered,et_90_leaf2,0.016320850202429238,0.0060138326585694735,-0.001939946018893468,1.1713455735312785,16
bace,11,2,16,registered,et_90_leaf2,0.0051281382118063545,0.0011743827965968734,0.0008351166553578482,1.1713455735312785,16
bace,11,3,16,registered,rf_90_d12,0.028379387602688544,0.02309559372666181,0.020519044062733527,1.1713455735312785,16
bace,11,1,32,registered,et_90_leaf2,0.016320850202429238,0.0060138326585694735,-0.001939946018893468,1.148535782464749,32
bace,11,2,32,registered,et_90_leaf2,0.0051281382118063545,0.0011743827965968734,0.0008351166553578482,1.148535782464749,32
bace,11,3,32,registered,rf_90_d12,0.030209111277072376,0.024925317401045644,0.020519044062733527,1.148535782464749,32
bace,11,1,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,2,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,3,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,1,8,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.1568574910997036,8
bace,11,2,8,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.1568574910997036,8
bace,11,3,8,weak_added,xgb_100_d3,0.0,0.004378267363704169,0.004378267363704169,1.1568574910997036,8
bace,11,1,16,weak_added,xgb_60_d6,0.014431511470985203,0.0,0.0,1.1613738925872286,16
bace,11,2,16,weak_added,histgb_lr0.1,0.0021399864293542015,0.0016310872174957192,0.0016310872174957192,1.1613738925872286,16
bace,11,3,16,weak_added,xgb_100_d3,0.02058439133681844,0.02496265870052261,0.019520164301717657,1.1613738925872286,16
bace,11,1,32,weak_added,et_90_leaf2,0.016320850202429238,0.0060138326585694735,-0.001939946018893468,1.1485357824647489,32
bace,11,2,32,weak_added,et_90_leaf2,0.0051281382118063545,0.0011743827965968734,0.0008351166553578482,1.1485357824647489,32
bace,11,3,32,weak_added,rf_90_d12,0.030209111277072376,0.024925317401045644,0.020519044062733527,1.1485357824647489,32
bace,11,1,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,2,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,3,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.064089941413091,4
bace,11,1,8,complementary_strong_added,rf_60_sqrt,0.016320850202429238,0.0,-0.01355431848852906,1.1872031048039808,8
bace,11,2,8,complementary_strong_added,rf_60_sqrt,0.0022443760112740296,0.0,-0.00028707135027927766,1.1872031048039808,8
bace,11,3,8,complementary_strong_added,rf_60_sqrt,0.027875280059746044,0.018231889469753404,0.0066934279312917955,1.1872031048039808,8
bace,11,1,16,complementary_strong_added,et_90_leaf2,0.016320850202429238,0.0060138326585694735,-0.001939946018893468,1.1649958119414172,16
bace,11,2,16,complementary_strong_added,et_90_leaf2,0.0051281382118063545,0.0011743827965968734,0.0008351166553578482,1.1649958119414172,16
bace,11,3,16,complementary_strong_added,rf_90_d12,0.028379387602688544,0.02309559372666181,0.020519044062733527,1.1649958119414172,16
bace,11,1,32,complementary_strong_added,et_90_leaf2,0.016320850202429238,0.0060138326585694735,-0.001939946018893468,1.148535782464749,32
bace,11,2,32,complementary_strong_added,et_90_leaf2,0.0051281382118063545,0.0011743827965968734,0.0008351166553578482,1.148535782464749,32
bace,11,3,32,complementary_strong_added,rf_90_d12,0.030209111277072376,0.024925317401045644,0.020519044062733527,1.148535782464749,32
bace,11,1,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0640899414130909,4
bace,11,2,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0640899414130909,4
bace,11,3,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0640899414130909,4
bace,11,1,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0640899414130913,4
bace,11,2,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0640899414130913,4
