task,task_type,matrix_level,transformation,omission_type,omitted,n_matrix_rows,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
bace,classification,outer,raw,seed,11,27,1.4877607462144786,1.1485357824647489,0.9357012825245811,2.2430971542763705,1.3269399780282332,0.8680095680026202,0.07234329565021483
bace,classification,outer,raw,seed,23,27,1.5559281552365465,1.1725960694819013,0.9277797283296122,2.6075604385288713,1.421070290179589,0.8393710379240753,0.09529060369179353
bace,classification,outer,raw,seed,37,27,1.4904741577472278,1.148237177055172,0.934391047065829,2.397528608377544,1.3631431543080077,0.8545861475580748,0.0854084590796935
bace,classification,outer,raw,seed,53,27,1.5449443545597654,1.1683752338479299,0.9291222530176166,2.5290331236363564,1.400801748142766,0.8453421292167826,0.0901712595180361
bace,classification,outer,raw,seed,71,27,1.5002610042601991,1.1523711287051817,0.9365819628947059,2.361766173658832,1.3562478070854318,0.8604636470153941,0.08127245547634929
bace,classification,outer,raw,seed,83,27,1.5492467956265827,1.1675131576811026,0.927540929459165,2.5626164304061634,1.40713874731996,0.8415913918643156,0.09266387591646794
bace,classification,outer,raw,seed,97,27,1.5331677764489067,1.1628147206396169,0.9339006244404511,2.562085073608131,1.40653319466605,0.8457809807826908,0.09435655288329789
bace,classification,outer,raw,seed,113,27,1.5007683016955076,1.1525719235256213,0.936069058379132,2.3609995657767024,1.3560482396927258,0.8601362341441168,0.0811188272438982
bace,classification,outer,raw,seed,127,27,1.5295838520719613,1.1625913926294302,0.9301314664864634,2.4842268269746555,1.388000548751004,0.8481447542842018,0.08814529467749704
bace,classification,outer,raw,seed,149,27,1.6351539817624996,1.1978282028288763,0.9174687206727878,2.204970261338396,1.3297472506137196,0.8689043900737055,0.052932955102240324
bace,classification,outer,raw,outer_fold,1,20,1.5576733799184543,1.175642906729881,0.9259852074409591,2.367126080456441,1.36419228630558,0.8569818457715043,0.07451885960484364
bace,classification,outer,raw,outer_fold,2,20,1.4907007105198575,1.155519386842974,0.9334402243112083,2.8227530902413753,1.4710812124885169,0.8230453894599872,0.11826663558738583
bace,classification,outer,raw,outer_fold,3,20,1.4548541017781111,1.1404310872613623,0.9441755695843157,2.8209276797830936,1.4656842717837288,0.8284498761185249,0.12256798120368684
bace,classification,outer,row_centred,seed,11,27,10.525289458316953,6.960840693508477,-0.06409047113392621,19.963892157104485,12.72525399931964,-0.04158871882412124,0.3510935699440299
bace,classification,outer,row_centred,seed,23,27,10.274005792582663,6.7748498957326415,-0.07392793292886288,19.47713172512894,12.252371671531453,-0.048639478894230176,0.34206899926400613
bace,classification,outer,row_centred,seed,37,27,9.95886245422719,6.674988321429319,-0.06748191955589787,19.048705019554962,11.940423817455937,-0.04490439621542544,0.3345714450486342
bace,classification,outer,row_centred,seed,53,27,10.100979014042151,6.681817233029659,-0.044453976730493026,19.101089127653783,11.941295128023718,-0.029598341515752954,0.3341801185708076
bace,classification,outer,row_centred,seed,71,27,10.184242038885255,6.671690446036489,-0.033708276763943695,19.072654704764442,11.842344340540816,-0.022571091473252612,0.33039912923119436
bace,classification,outer,row_centred,seed,83,27,10.607489063711041,7.131394462214329,-0.09123477258541467,20.64764972092009,13.509654449939308,-0.05715737826460922,0.37351322697606293
bace,classification,outer,row_centred,seed,97,27,10.732744846459102,7.150266242369186,-0.04745638548241359,20.841817326546956,13.624931409269994,-0.029562571999486083,0.37705807766498783
bace,classification,outer,row_centred,seed,113,27,10.355952336594891,6.906541736184075,-0.0410759130456791,19.805571238172522,12.614014132169252,-0.02671496296565231,0.3496197409916725
bace,classification,outer,row_centred,seed,127,27,9.93035101909261,6.65412803861131,-0.0645515836868955,18.850750782543578,11.774585451587312,-0.04334856875623261,0.32846622374916706
bace,classification,outer,row_centred,seed,149,27,10.54260776259966,6.970088234516949,-0.07058602982175988,19.29619204998193,12.161611319169822,-0.04757358410868415,0.3260198338281037
bace,classification,outer,row_centred,outer_fold,1,20,9.56877663818851,6.8494306576889175,-0.09564973524152875,21.40483597136095,14.374354439391677,-0.055273305840612394,0.42212797870229674
bace,classification,outer,row_centred,outer_fold,2,20,8.58852684501417,5.972131976023683,-0.05356193643931771,19.807451159065277,12.48398059531235,-0.032078994583577006,0.4010859816481712
bace,classification,outer,row_centred,outer_fold,3,20,9.733524825116756,6.738833403497343,-0.04007181724891712,22.480118171906387,15.246335831686448,-0.021695859434814183,0.45857560439437023
bace,classification,outer,fixed_reference_relative,seed,11,27,5.3760419435652915,2.857813136209349,0.5639573941258804,8.330447513225042,3.7286509417294504,0.4860284981129958,0.13818224004966279
bace,classification,outer,fixed_reference_relative,seed,23,27,5.007281838304585,2.668937080420943,0.5907710471705688,7.552371652372175,3.3847384987188436,0.5179274819958096,0.12330253069041726
bace,classification,outer,fixed_reference_relative,seed,37,27,5.6254820882601955,3.0316442360520486,0.5132450705783532,9.041312001295601,4.081812675406671,0.4339371252232258,0.15452256612179185
bace,classification,outer,fixed_reference_relative,seed,53,27,5.245802878351014,2.8032212988684004,0.5644859840198142,7.988522210488147,3.598147347634263,0.4911708659511383,0.129879430391849
bace,classification,outer,fixed_reference_relative,seed,71,27,5.0368711638084624,2.6760923934385983,0.5901772266347545,7.5315231231534225,3.3774787729265294,0.5187901937474404,0.12095863694092324
bace,classification,outer,fixed_reference_relative,seed,83,27,5.337302207477464,2.846100892702695,0.5515827805225261,8.354939715912721,3.7370362793215244,0.47368479720997564,0.1412262783815622
bace,classification,outer,fixed_reference_relative,seed,97,27,5.413714551179429,2.8368327838607574,0.5580659040036169,8.46267489879506,3.73685564549289,0.4784057842540461,0.1427432121870945
bace,classification,outer,fixed_reference_relative,seed,113,27,5.181809809046285,2.724945420669703,0.5796116321625165,7.9312972945701485,3.5081855009170058,0.5037031867567869,0.1309643236843215
bace,classification,outer,fixed_reference_relative,seed,127,27,5.093871129435543,2.7475283052169854,0.5646115291274875,7.740157327855361,3.502084743616927,0.49337730061383783,0.12616502646293862
bace,classification,outer,fixed_reference_relative,seed,149,27,5.366399563896854,2.856662480243886,0.5474058135501406,8.026793774733456,3.6310733130841366,0.4788091547999407,0.12531225838710747
bace,classification,outer,fixed_reference_relative,outer_fold,1,20,4.921991026635399,2.720765486561492,0.5764729075134781,8.493399474442443,3.7573143309275743,0.4814784203795422,0.16478569226033415
bace,classification,outer,fixed_reference_relative,outer_fold,2,20,5.506814376163924,3.1777812705391115,0.4668419371461529,10.855304703973394,4.982496182824574,0.3605332378494124,0.22771882908938168
bace,classification,outer,fixed_reference_relative,outer_fold,3,20,4.345822862562676,2.3690947051045828,0.6486975910319273,7.088000711334914,3.098416416998695,0.5599644934064028,0.13678653790647052
