task,task_type,matrix_level,candidate_count,transformation,reference_label,reference_candidate_order,n_seeds,n_matrix_rows,n_columns_after_transform,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
bace,classification,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,5.370017479394126,2.8158958524760505,0.5604881492504814,7.903249713588767,3.5486480071612503,0.4927458991147807,0.12086294817524619
bace,classification,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,3.1442057624799946,1.741074948030659,0.787889250931947,5.321396253979807,2.273854468001122,0.6831279756462342,0.13296446824448602
bace,classification,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,6.004300194396589,3.171988237812805,0.4922095442939203,10.233953465648902,4.569886404554107,0.39964238139016256,0.18806454278847062
bace,classification,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,5.054845530685157,2.632911997466421,0.6019270640194785,7.684725156921883,3.3771005649257537,0.5244659513896577,0.12868853597072075
bace,classification,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,4.947034001808208,2.4444896352845813,0.6341822096349141,5.8340010210440765,2.6798416973121473,0.6031932317430214,0.0488644705276934
bace,classification,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,3.1244337692785114,1.6688893367965967,0.7927393285454323,3.5623699842328884,1.770724081660525,0.7682693400296099,0.030867635343286567
bace,classification,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,6.794287654356496,3.2048514701392716,0.4975815154217111,8.204284592047413,3.635357531440511,0.4635589993219377,0.06837576365942455
bace,classification,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,5.746459458834427,2.775013686471514,0.5664176478071153,6.789711021729894,3.0666640326678385,0.5360197273365289,0.053666972751063906
bbbp,classification,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,4.098560318680492,2.1115872560261764,0.7119137417627978,5.557886093531944,2.4732874814965804,0.6536700924067941,0.0818127898638177
bbbp,classification,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,3.5824744121869427,1.8754621253475803,0.7638081627049094,5.380613220261157,2.3140632215399846,0.6824264187369704,0.1065473608971893
bbbp,classification,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,4.865673445299532,2.4479358411840484,0.6092537300151832,6.844923396319208,2.9727812826912805,0.5477570541384291,0.1009377092779084
