matrix_level,candidate_count,transformation,n_endpoints,ledoit_wolf_entropy_rank_median,ledoit_wolf_entropy_rank_q25,ledoit_wolf_entropy_rank_q75,ledoit_wolf_entropy_rank_min,ledoit_wolf_entropy_rank_max,ledoit_wolf_participation_rank_median,ledoit_wolf_participation_rank_q25,ledoit_wolf_participation_rank_q75,ledoit_wolf_participation_rank_min,ledoit_wolf_participation_rank_max,ledoit_wolf_median_correlation_median,ledoit_wolf_median_correlation_q25,ledoit_wolf_median_correlation_q75,ledoit_wolf_median_correlation_min,ledoit_wolf_median_correlation_max
inner,4,fixed_reference_relative,9,1.8894513653370306,1.3214697191506186,2.032839931943722,1.3116092225524862,2.120482844115439,1.5559080255707847,1.1416967953864843,1.7038164580873028,1.1349896561722208,1.8910629733638447,0.6005922122368391,0.49345509782190594,0.9014928327877224,0.196363535626408,0.9245653294392181
inner,4,raw,9,1.7606772777803912,1.5518103441174529,1.7894712420445213,1.175689663146341,2.211211721444627,1.3738121866430648,1.2412823773683603,1.4737599129390921,1.0615743698976028,1.799984892659358,0.7990900086484866,0.7594579810075259,0.8625365938546798,0.6284611743143883,0.9651399563842538
inner,4,row_centred,9,2.410482493738071,2.1865856314927696,2.8217079749607556,1.5513128260077023,3.061593150962937,2.0824157116988244,1.8786550185099187,2.453725213188842,1.2631823867278955,2.6777477524202062,-0.3416292428997672,-0.4232908503656336,-0.27385530132088554,-0.7945977052803235,-0.18023833564076622
inner,4,within_unit_rank,9,2.7550436691133453,1.687621226113517,3.0391346519161244,1.0,3.2728747043583897,2.3706533670137,1.5152194986185406,2.689584053020548,1.0,2.871854490865118,-0.2851259556421245,-0.4081282412685479,-0.22720779487141923,-0.5656330749354024,1.0
inner,8,fixed_reference_relative,9,3.1348487323072347,1.7243569846454774,3.619251580158641,1.4422666202083494,4.267518531672843,2.3003135168319453,1.2983864757069765,2.70367174279167,1.1603794648781192,3.3778969849886638,0.45428286210492447,0.09992320488211322,0.8727472390186796,-0.07541588832499184,0.9338313966177011
inner,8,raw,9,2.2119506756552347,2.042576958985097,2.6633273578167946,1.6935999756129623,3.132673285732521,1.549666715571491,1.4662935163691668,2.042775163208041,1.357974545683106,2.1786251207992917,0.7682470003555979,0.6196783598970673,0.7935500646953799,0.5784949794111514,0.8851426840161629
inner,8,row_centred,9,2.9773867236421627,2.39712304551329,3.6369181213228483,1.4962995894408904,4.19989465239837,1.9854924671906076,1.665818531509472,2.443007128291885,1.1788235839906047,3.017481826286311,-0.3531244611761946,-0.42542544744762745,-0.29564968084666676,-0.8613928436272575,-0.011463960397531524
inner,8,within_unit_rank,9,5.895866539108162,4.8921872645136695,6.679064960148946,3.629415871659319,7.480698107081111,5.133955482977989,3.6042915499045587,5.772086262885402,2.3918279329862577,7.018398752832338,-0.15387878036482983,-0.26603441615791323,-0.11849311971958369,-0.41779753309408857,-0.08111938733539006
inner,16,fixed_reference_relative,9,4.06874960416922,1.7122198331924512,5.690935785950516,1.5862505530812852,6.661732408013992,2.315496848079319,1.2340106607599137,3.3481909032697663,1.1848306799768415,4.161705183905546,0.6146905401367373,0.4108943901551328,0.9105550648257628,0.1928407254337386,0.9247579589377825
inner,16,raw,9,2.603525021139767,2.246805969773585,2.9461047307224,1.701732811939413,4.972238881067714,1.6961213519544587,1.444593364521017,1.757633504056671,1.2891744688105247,2.7198848375628812,0.7975516194345065,0.7401331895507912,0.8445279992495666,0.5404827940814791,0.9343882080417301
inner,16,row_centred,9,7.443691150143769,4.833962193174001,8.56278462472609,4.013947674212678,10.185218387585724,4.450516091812488,2.896174858284519,5.573233377996229,2.3370815868616015,7.415605178372495,-0.09335188293410496,-0.11047638085482318,0.020721808971999565,-0.14676605447627739,0.08664144755251366
inner,16,within_unit_rank,9,11.06520242216117,8.99799840248727,13.237159242486454,7.133848357802719,14.036373330579776,8.339850921273984,6.173700626629864,11.063368125563505,4.424751798634339,12.430007712913227,-0.09093047768007483,-0.1024683345643932,-0.05803269072853475,-0.1315263220072493,-0.03858009290891902
inner,32,fixed_reference_relative,9,4.409318633100303,1.6998254509193491,6.909929183380467,1.6306255523268114,9.521980032375305,2.1102837532628573,1.2025282385626996,3.2078238351192665,1.1822519864002086,5.077285794768779,0.6944229549102099,0.5090792695302311,0.9150328619056342,0.3261003396980604,0.9323606386799058
inner,32,raw,9,2.5457232501964495,2.2429783937000414,2.997215084048767,1.671804555927611,5.241795997181885,1.591619217188797,1.3596017789662627,1.6492173256666756,1.2211874681600496,2.3646357174159616,0.8297934466637502,0.7949558026369232,0.8694364592300459,0.61566201949272,0.9399977991963364
inner,32,row_centred,9,12.608704085026952,10.93080780812145,17.476800677409543,5.256677069664742,18.85089194156993,6.558923815834773,6.048516083262261,10.664650741315647,2.799917834956907,12.054794381919153,-0.07256452917855005,-0.08599702588066921,-0.06646648414399485,-0.1478879006132794,-0.0022016123536944387
inner,32,within_unit_rank,9,17.77819169683667,13.345168737920813,21.68288363210302,7.835149656922271,23.583037132424742,10.526165054463652,7.561104271655719,15.096521134920872,3.7309418232751126,17.16561896406981,-0.05926970277356594,-0.06565727881845625,-0.04725082721588912,-0.10218419664423718,-0.03400462300815723
outer,4,fixed_reference_relative,9,1.810933967629204,1.468017349571429,2.279407810767608,1.3316186893963902,2.51459100509837,1.4862556832105254,1.221229965579198,1.9047117186363358,1.1444786703818948,2.260256300149798,0.6372958176980587,0.5062705870231492,0.8407159560058188,-0.09837510901568064,0.9059431296286931
outer,4,raw,9,2.053071446846636,1.7066271336683507,2.598216496483185,1.2045890057726303,2.731044184982948,1.5500714548309982,1.3306153665291733,2.0542935939245903,1.0714840202357825,2.394883466921139,0.7344502778920874,0.5344492364724904,0.8462404859467385,0.35424619147371395,0.9556932430865209
outer,4,row_centred,9,2.7205391873661013,2.414067905400823,2.848904940966125,1.9116752863171205,3.6058059990630076,2.317804821187711,1.9389500495857583,2.474635913780074,1.518470772249104,3.3630174383704015,-0.24526236425400122,-0.36615774386165056,-0.21517027044546772,-0.6018384840617186,-0.18817696067484196
outer,4,within_unit_rank,9,2.674436030318343,1.0,3.4498698850419016,1.0,4.0,2.159718106944218,1.0,3.131569040532043,1.0,4.0,-0.17518366026191748,-0.2571016667377701,0.0,-1.0,1.0
outer,8,fixed_reference_relative,9,3.926085881295311,1.6590766168223507,4.191398355408104,1.4200090450064493,5.58776203362214,2.858555086844773,1.256905662936056,3.1076505181220027,1.1471535697506117,4.690309214103169,0.33574740939294667,0.3059209759617569,0.8809949045063133,-0.2330353667108337,0.9414848348263236
outer,8,raw,9,2.4745276954122057,2.1611364949111906,3.2085024973806626,1.7432940880273828,4.003656472299199,1.8574690149117008,1.4547211162504567,2.3928056870223244,1.26649923685655,2.7946136216635726,0.7012137214416487,0.5363915579487786,0.7596439227399991,0.4671855845014321,0.8841285801596994
outer,8,row_centred,9,3.603120418636647,2.5947860634761346,4.344339106207929,1.7244411643251671,6.389891006592467,2.3045741394110237,1.7931736969199195,2.9404161134173123,1.2640399941306184,5.467995740017709,-0.3428745362389727,-0.374449483670994,-0.16349558708175985,-0.8269218346383749,-0.04132418572675185
outer,8,within_unit_rank,9,6.629965928018074,5.993610065711903,7.489986521679064,3.231281452524901,7.955813087480214,5.728773722159233,5.21715169994526,6.9851984170660995,2.108802003306327,7.910921615568174,-0.07075443144881939,-0.15398066918476366,-0.04790432719406827,-0.34240396421581565,-0.0056925453393569265
outer,16,fixed_reference_relative,9,5.539439631200159,1.6550184958474237,5.934009625424944,1.4750696344207002,9.157334559441972,2.9938354842248476,1.2099607048032632,3.396891403866929,1.13876288756934,6.0774403789098494,0.6015782463854213,0.3977585362570464,0.919050095348454,0.2357883884555453,0.9415643054791147
outer,16,raw,9,2.4077306885371756,2.2613796709177008,3.772516589049094,1.88818517568655,5.828959389109136,1.51485649479827,1.4231332855173362,2.036836207451311,1.3401088081808281,3.084091831838681,0.82558796445333,0.6820287564315513,0.8433342874267603,0.5178768595120216,0.9127463070976164
outer,16,row_centred,9,8.833710683968567,4.774506375020701,11.37281531537932,3.8840268871405996,13.587322279660903,5.536160957454744,2.749753274793079,8.283521077119996,2.5975904142561905,11.52600407450042,-0.05442434395176167,-0.07300889449711871,0.017334906896184873,-0.08741206105455213,0.19643196819881276
outer,16,within_unit_rank,9,13.63216901799333,8.133883762021178,14.348334074181572,7.790933369788379,14.816901529192634,11.611991540073154,5.131709726406835,12.736327658607731,4.57038594161497,13.67964249302046,-0.03873533059743474,-0.06163395315580627,-0.02664405580608696,-0.133355110357291,-0.005453696325368717
outer,32,fixed_reference_relative,9,5.557886093531944,1.6380412444097503,7.903249713588767,1.4992795093468085,11.071847833004432,2.4732874814965804,1.177131100825213,3.5486480071612503,1.1329560725184047,4.998978412264118,0.6536700924067941,0.4927458991147807,0.9328745906197314,0.395456318043223,0.9503330324660265
outer,32,raw,9,2.359882035718542,2.279802974456111,3.6592129271196767,1.8683076328378643,6.963642779106461,1.4222747591108362,1.3541701192870255,1.8821653128653357,1.26510512540621,2.9004425064472272,0.8590797598141031,0.7779401014521956,0.8790822948694975,0.5638492647578135,0.9204554378185911
outer,32,row_centred,9,19.246471734000394,12.225180986635362,22.64988587792225,5.3428923946664275,25.4656858826072,12.11905883512365,6.504823025367588,15.680943810160848,2.9663133439591047,19.986211860169096,-0.0329052406988176,-0.042913774049446796,-0.021267442002590488,-0.08123592704788068,0.009359601191957136
outer,32,within_unit_rank,9,24.332824575030735,16.5214617461749,27.737900986720987,9.37221417000293,28.469646176178184,18.073891425574732,9.46165087943928,23.47705427770321,4.36469164526357,24.8338051737616,-0.023794087121891527,-0.024121584207883618,-0.017205531354975177,-0.039226890914927384,-0.0019342998335461284
