task,task_type,matrix_level,candidate_count,transformation,reference_label,n_seeds,n_matrix_rows,n_columns_after_transform,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
bace,classification,outer,4,raw,candidate_1,10,30,4,1.1821760831818366,1.065758910929173,0.9559216842490152,1.8123610970961008,1.3782853129122654,0.7945606474326801,0.16880152367618143
bace,classification,outer,4,row_centred,candidate_1,10,30,4,2.8105195592423495,2.6686956388680607,-0.411979850843061,3.6058059990630076,3.3630174383704015,-0.2538551821965497,0.3838165102563404
bace,classification,outer,4,fixed_reference_relative,candidate_1,10,30,3,1.7115638819375039,1.4141277890094057,0.7916301791663055,2.1206771255663948,1.7373141033742507,0.6372958176980587,0.19495765261347417
bace,classification,outer,4,within_unit_rank,candidate_1,10,30,4,2.8711849481019316,2.7728044483656866,-0.43975655677720704,4.0,4.0,0.0,1.0
bace,classification,outer,8,raw,candidate_1,10,30,8,1.4535419340338198,1.1869288239489102,0.9154492831257008,2.1611364949111906,1.4547211162504567,0.8104931909783202,0.11464981630551925
bace,classification,outer,8,row_centred,candidate_1,10,30,8,2.7214107290320104,1.8612778488994013,-0.32447761014502796,3.603120418636647,2.3045741394110237,-0.28087889631381313,0.13436586213676815
bace,classification,outer,8,fixed_reference_relative,candidate_1,10,30,7,2.976357264981289,2.249472107668565,-0.28135186950222685,3.957711654068274,2.858555086844773,-0.2330353667108337,0.17172980892885334
bace,classification,outer,8,within_unit_rank,candidate_1,10,30,8,5.859247475798027,5.133057575605564,-0.040091775603552454,7.955813087480214,7.910921615568174,-0.0056925453393569265,0.8580121420500887
bace,classification,outer,16,raw,candidate_1,10,30,16,1.552497129665924,1.1888888419427799,0.9206590971202291,2.3488028812384885,1.4231332855173362,0.8348048371615341,0.09325304037861812
bace,classification,outer,16,row_centred,candidate_1,10,30,16,6.15461560184938,3.976857640219785,-0.11055265108024401,8.833710683968567,5.536160957454744,-0.08741206105455213,0.2093173686888378
bace,classification,outer,16,fixed_reference_relative,candidate_1,10,30,15,4.3012892238915965,2.6828193046088833,0.4611403308159601,5.934009625424944,3.396891403866929,0.3977585362570464,0.13744578455491757
bace,classification,outer,16,within_unit_rank,candidate_1,10,30,16,9.463201587621747,7.392265732410137,-0.10853190794785553,14.280005732757505,12.676219953772748,-0.051501876401127494,0.5254678796776364
bace,classification,outer,32,raw,candidate_1,10,30,32,1.5373497103489215,1.163331375452147,0.9306365038809442,2.355937547926694,1.3566428297859756,0.8590797598141031,0.07689011098150016
bace,classification,outer,32,row_centred,candidate_1,10,30,32,10.702544345898943,7.016072403208595,-0.06908583912929722,19.246471734000394,12.11905883512365,-0.04689102593458145,0.3212642919944446
bace,classification,outer,32,fixed_reference_relative,candidate_1,10,30,31,5.370017479394126,2.8158958524760505,0.5604881492504814,7.903249713588767,3.5486480071612503,0.4927458991147807,0.12086294817524619
bace,classification,outer,32,within_unit_rank,candidate_1,10,30,32,13.673537707289997,9.468735017825745,-0.04595420364282922,25.41655800795677,19.518196615650954,-0.023823044540163617,0.48159161400502265
bace,classification,inner,4,raw,candidate_1,10,90,4,1.4095543673264948,1.1792914427557672,0.9083635802634556,1.555043628591033,1.2470070368459825,0.8726885492059091,0.03927395575150624
bace,classification,inner,4,row_centred,candidate_1,10,90,4,2.6256776810521085,2.4083065497891916,-0.30866029225603725,2.973174537062357,2.6311122900213504,-0.27385530132088554,0.11276147858462039
bace,classification,inner,4,fixed_reference_relative,candidate_1,10,90,3,1.740140992597807,1.4528287315209398,0.6433335724077828,1.8894513653370306,1.5559080255707847,0.6005922122368391,0.06643732272664826
bace,classification,inner,4,within_unit_rank,candidate_1,10,90,4,2.616218368788543,2.4076140315417414,-0.2948170669818855,3.227858725474504,2.871854490865118,-0.22720779487141923,0.22932618115565398
bace,classification,inner,8,raw,candidate_1,10,90,8,1.8037097378733276,1.3954350246050602,0.8527800473682501,2.042576958985097,1.4825300046916663,0.8218782849813733,0.0362364978897453
bace,classification,inner,8,row_centred,candidate_1,10,90,8,2.690221365184873,1.8610160488076053,-0.3085209710700021,2.9773867236421627,1.9854924671906076,-0.29564968084666676,0.04171933654524539
bace,classification,inner,8,fixed_reference_relative,candidate_1,10,90,7,2.9537608169378045,2.3560397346669952,-0.0804751379186386,3.3407396504396045,2.5631223052659697,-0.07541588832499184,0.06286723731696728
bace,classification,inner,8,within_unit_rank,candidate_1,10,90,8,5.679916230743397,4.856674292211959,-0.14657822262347237,7.282804572845663,6.676536280814523,-0.08111938733539006,0.4465795403743687
bace,classification,inner,16,raw,candidate_1,10,90,16,1.9427215779406284,1.3572884522017545,0.873875101402237,2.246805969773585,1.444593364521017,0.8445279992495666,0.033582719207332266
bace,classification,inner,16,row_centred,candidate_1,10,90,16,6.459380332122102,3.950252075599643,-0.1012100307725901,7.443691150143769,4.450516091812488,-0.09335188293410496,0.07764198645628005
bace,classification,inner,16,fixed_reference_relative,candidate_1,10,90,15,4.249090693985564,2.6144452086248955,0.5486750131536827,4.856999547376138,2.8545618603555334,0.5199769428975485,0.052304314153442645
bace,classification,inner,16,within_unit_rank,candidate_1,10,90,16,10.395088686450064,8.10934353668279,-0.08602859287028489,13.237159242486454,11.089707961003056,-0.05803269072853475,0.32542554989784245
bace,classification,inner,32,raw,candidate_1,10,90,32,1.9083312216258352,1.2823328549932898,0.8963760365984035,2.2429783937000414,1.3596017789662627,0.8694364592300459,0.030053879475168768
bace,classification,inner,32,row_centred,candidate_1,10,90,32,13.288310964877697,8.248531542036742,-0.10523891630304977,17.476800677409543,10.758408434534749,-0.08714429630604059,0.17193848656616031
bace,classification,inner,32,fixed_reference_relative,candidate_1,10,90,31,4.947034001808208,2.4444896352845813,0.6341822096349141,5.8340010210440765,2.6798416973121473,0.6031932317430214,0.0488644705276934
