source,seed,dataset,inner_fits,outer_fits,total_fits,expected_inner_fits,expected_outer_fits,complete_fit_matrix,nonfinite_inner_utility,nonfinite_outer_utility,summed_fit_seconds
legacy_historical_outputs,11,bace,288,96,384,288,96,1,0,0,95.10409620031714
legacy_historical_outputs,11,bbbp,288,96,384,288,96,1,0,0,113.53906339977402
legacy_historical_outputs,11,clintox,288,96,384,288,96,1,0,0,108.4102653011214
legacy_historical_outputs,11,esol,288,96,384,288,96,1,0,0,60.31361760140861
legacy_historical_outputs,11,freesolv,288,96,384,288,96,1,0,0,45.01878450228831
legacy_historical_outputs,11,lipo,288,96,384,288,96,1,0,0,148.37895980116446
legacy_historical_outputs,11,tdc_caco2_wang,288,96,384,288,96,1,0,0,74.78117580036633
legacy_historical_outputs,11,tdc_hia_hou,288,96,384,288,96,1,0,0,58.12571810162625
legacy_historical_outputs,11,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,83.05098299949896
legacy_historical_outputs,23,bace,288,96,384,288,96,1,0,0,101.40565910050645
legacy_historical_outputs,23,bbbp,288,96,384,288,96,1,0,0,119.34095130069181
legacy_historical_outputs,23,clintox,288,96,384,288,96,1,0,0,112.25697919772938
legacy_historical_outputs,23,esol,288,96,384,288,96,1,0,0,63.90972409851382
legacy_historical_outputs,23,freesolv,288,96,384,288,96,1,0,0,44.19594579923431
legacy_historical_outputs,23,lipo,288,96,384,288,96,1,0,0,147.22777680004947
legacy_historical_outputs,23,tdc_caco2_wang,288,96,384,288,96,1,0,0,75.77531750069465
legacy_historical_outputs,23,tdc_hia_hou,288,96,384,288,96,1,0,0,56.442941599059836
legacy_historical_outputs,23,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,81.80884170043282
legacy_historical_outputs,37,bace,288,96,384,288,96,1,0,0,97.34952979919035
legacy_historical_outputs,37,bbbp,288,96,384,288,96,1,0,0,116.27334479987621
legacy_historical_outputs,37,clintox,288,96,384,288,96,1,0,0,111.80863819946535
legacy_historical_outputs,37,esol,288,96,384,288,96,1,0,0,59.051247199997306
legacy_historical_outputs,37,freesolv,288,96,384,288,96,1,0,0,46.661753898370065
legacy_historical_outputs,37,lipo,288,96,384,288,96,1,0,0,168.668345600483
legacy_historical_outputs,37,tdc_caco2_wang,288,96,384,288,96,1,0,0,78.96057170035783
legacy_historical_outputs,37,tdc_hia_hou,288,96,384,288,96,1,0,0,63.12417660164647
legacy_historical_outputs,37,tdc_pgp_broccatelli,288,96,384,288,96,1,0,0,101.4670899999328
legacy_historical_outputs,53,bace,288,96,384,288,96,1,0,0,129.77408420154825
