dataset,task_type,estimand,contrast,n_seeds,n_folds_per_seed,mean_natural_scale_effect,seed_block_interval_low,seed_block_interval_high,interval_interpretation,contrast_direction
bace,classification,fixed_k32_gap,K=32 minus K=4,10,3,-0.019462673835894947,-0.02384761040270403,-0.015167982367262075,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
bace,classification,k_dependent_crossfit_gap,K=32 minus K=4,10,3,0.0010116792790506551,-0.0017345016042856513,0.003114680074730721,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
bace,classification,same_fold_opportunity_gap,K=32 minus K=4,10,3,0.005324947110335093,0.0021675180197144373,0.008114886452767252,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
bbbp,classification,fixed_k32_gap,K=32 minus K=4,10,3,-0.026291987955384212,-0.030058204899052456,-0.022502570836361892,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
bbbp,classification,k_dependent_crossfit_gap,K=32 minus K=4,10,3,0.0023718415751617485,0.00029768465180022983,0.004949294504001228,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
bbbp,classification,same_fold_opportunity_gap,K=32 minus K=4,10,3,0.006706939791732895,0.00434916626434895,0.009368683108374519,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
clintox,classification,fixed_k32_gap,K=32 minus K=4,10,3,-0.014404666957767254,-0.024147903099542525,-0.003124517165947715,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
clintox,classification,k_dependent_crossfit_gap,K=32 minus K=4,10,3,0.009495530736325633,-0.0015089949143261268,0.021365049077211873,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
clintox,classification,same_fold_opportunity_gap,K=32 minus K=4,10,3,0.026625462498579423,0.016771528087039266,0.037684418137108947,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
esol,regression,fixed_k32_gap,K=32 minus K=4,10,3,0.06834561058508307,0.06180511254799252,0.07574805512916583,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
esol,regression,k_dependent_crossfit_gap,K=32 minus K=4,10,3,0.06834561058508307,0.06180511254799252,0.07574805512916583,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
esol,regression,same_fold_opportunity_gap,K=32 minus K=4,10,3,0.11991034083179955,0.10884028177230214,0.1307980741981297,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
freesolv,regression,fixed_k32_gap,K=32 minus K=4,10,3,-0.0586070615537594,-0.09122611995146676,-0.026277058106859933,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
freesolv,regression,k_dependent_crossfit_gap,K=32 minus K=4,10,3,-0.04030148305989344,-0.07388105269077931,-0.006408023309704194,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
freesolv,regression,same_fold_opportunity_gap,K=32 minus K=4,10,3,-0.0195154095663524,-0.05414801251798451,0.01310653613312429,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
lipo,regression,fixed_k32_gap,K=32 minus K=4,10,3,-0.09465016353782021,-0.09924110445579536,-0.08994159220803802,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
lipo,regression,k_dependent_crossfit_gap,K=32 minus K=4,10,3,0.009776084636878245,0.0074863778416336905,0.012714011691879076,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
lipo,regression,same_fold_opportunity_gap,K=32 minus K=4,10,3,0.01004508303725052,0.007913185026224635,0.012854459262732362,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_caco2_wang,regression,fixed_k32_gap,K=32 minus K=4,10,3,-0.004918969780662028,-0.012127428778977661,0.0008394298586521112,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_caco2_wang,regression,k_dependent_crossfit_gap,K=32 minus K=4,10,3,0.01024313296346301,0.0018511695350804888,0.019148863775011855,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_caco2_wang,regression,same_fold_opportunity_gap,K=32 minus K=4,10,3,0.02746235040783509,0.017443692604409613,0.03868260615585817,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_hia_hou,classification,fixed_k32_gap,K=32 minus K=4,10,3,-0.0021856044514448414,-0.007481336169302109,0.003099143288398933,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_hia_hou,classification,k_dependent_crossfit_gap,K=32 minus K=4,10,3,0.003455993947444831,-0.001575752992636806,0.008595734706137125,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_hia_hou,classification,same_fold_opportunity_gap,K=32 minus K=4,10,3,0.01544290018682476,0.011203256457011434,0.01936038919492026,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_pgp_broccatelli,classification,fixed_k32_gap,K=32 minus K=4,10,3,-0.022183710090697566,-0.027124191870503266,-0.017794184912987406,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_pgp_broccatelli,classification,k_dependent_crossfit_gap,K=32 minus K=4,10,3,0.0001993342624033759,-0.0027820604741803996,0.0029359465303543317,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
tdc_pgp_broccatelli,classification,same_fold_opportunity_gap,K=32 minus K=4,10,3,0.000814589082233545,-0.002323785633982444,0.0038351659109728733,descriptive split-seed sensitivity interval,negative favors K=32; positive favors K=4
