dataset,task_type,seed,outer_fold,pool_size,selected_candidate,fixed_k32_reference_candidate,k_dependent_reference_candidate,same_fold_oracle_candidate,selected_utility,fixed_k32_reference_utility,k_dependent_reference_utility,same_fold_oracle_utility,fixed_k32_gap,k_dependent_crossfit_gap,same_fold_opportunity_gap,validation_audit_spearman
bace,classification,11,1,4,logreg_l2_c0.1,et_120_d20_leaf2,logreg_l2_c0.1,logreg_l2_c0.1,0.8688849527665317,0.877252024291498,0.8688849527665317,0.8688849527665317,0.008367071524966296,0.0,0.0,1.0
bace,classification,11,1,8,rf_90_d12,et_120_d20_leaf2,rf_120_d20_leaf2,rf_60_sqrt,0.8828188259109311,0.877252024291498,0.877724358974359,0.8852058029689609,-0.005566801619433126,-0.005094466936572117,0.0023869770580298155,0.9285714285714287
bace,classification,11,1,16,et_90_leaf2,et_120_d20_leaf2,et_120_d20_leaf2,rf_60_sqrt,0.8791919703103914,0.877252024291498,0.877252024291498,0.8852058029689609,-0.001939946018893468,-0.001939946018893468,0.0060138326585694735,0.8323529411764706
bace,classification,11,1,32,et_90_leaf2,et_120_d20_leaf2,et_120_d20_leaf2,rf_60_sqrt,0.8791919703103914,0.877252024291498,0.877252024291498,0.8852058029689609,-0.001939946018893468,-0.001939946018893468,0.0060138326585694735,0.7628299120234603
bace,classification,11,2,4,logreg_l2_c0.1,et_120_d20_leaf2,logreg_l2_c0.1,logreg_l2_c0.1,0.8768985855211651,0.8816874575917324,0.8768985855211651,0.8768985855211651,0.004788872070567329,0.0,0.0,0.7999999999999999
bace,classification,11,2,8,rf_90_d12,et_120_d20_leaf2,rf_120_d20_leaf2,rf_90_d12,0.8820267237329714,0.8816874575917324,0.8784513805522209,0.8820267237329714,-0.0003392661412390252,-0.0035753431807504787,0.0,0.9523809523809524
bace,classification,11,2,16,et_90_leaf2,et_120_d20_leaf2,et_120_d20_leaf2,rf_90_d12,0.8808523409363745,0.8816874575917324,0.8816874575917324,0.8820267237329714,0.0008351166553578482,0.0008351166553578482,0.0011743827965968734,0.888235294117647
bace,classification,11,2,32,et_90_leaf2,et_120_d20_leaf2,et_120_d20_leaf2,rf_90_d12,0.8808523409363745,0.8816874575917324,0.8816874575917324,0.8820267237329714,0.0008351166553578482,0.0008351166553578482,0.0011743827965968734,0.8060850439882697
bace,classification,11,3,4,logreg_l2_c0.1,et_120_d20_leaf2,logreg_l2_c0.1,logreg_l2_c0.1,0.8605955937266617,0.886398431665422,0.8605955937266617,0.8605955937266617,0.02580283793876026,0.0,0.0,0.7999999999999999
bace,classification,11,3,8,rf_90_d12,et_120_d20_leaf2,rf_120_d20_leaf2,rf_90_leaf2,0.8658793876026885,0.886398431665422,0.8745052277819267,0.8769324122479462,0.020519044062733527,0.008625840179238287,0.011053024645257703,0.7619047619047621
