dataset,task_type,seed,outer_fold,pool_size,tau,tau_status,fixed_tau_regret,crossfit_tau_success,same_fold_tau_success,validation_near_equivalent_n,crossfit_near_equivalent_n,same_fold_near_equivalent_n,validation_crossfit_set_jaccard,selected_in_crossfit_set
bace,classification,11,1,4,0.005,retrospective working threshold with sensitivity grid,0.0033670715249662963,0,1,1,1,1,1.0,1
bace,classification,11,1,4,0.01,retrospective working threshold with sensitivity grid,0.0,1,1,2,1,1,0.5,1
bace,classification,11,1,4,0.02,retrospective working threshold with sensitivity grid,0.0,1,1,4,3,3,0.75,1
bace,classification,11,1,8,0.005,retrospective working threshold with sensitivity grid,0.0,1,1,4,4,2,1.0,1
bace,classification,11,1,8,0.01,retrospective working threshold with sensitivity grid,0.0,1,1,4,4,3,1.0,1
bace,classification,11,1,8,0.02,retrospective working threshold with sensitivity grid,0.0,1,1,5,5,5,1.0,1
bace,classification,11,1,16,0.005,retrospective working threshold with sensitivity grid,0.0,1,0,2,6,2,0.3333333333333333,1
bace,classification,11,1,16,0.01,retrospective working threshold with sensitivity grid,0.0,1,1,7,10,7,0.7,1
bace,classification,11,1,16,0.02,retrospective working threshold with sensitivity grid,0.0,1,1,10,10,12,1.0,1
bace,classification,11,1,32,0.005,retrospective working threshold with sensitivity grid,0.0,1,0,2,7,6,0.2857142857142857,1
bace,classification,11,1,32,0.01,retrospective working threshold with sensitivity grid,0.0,1,1,9,19,15,0.47368421052631576,1
bace,classification,11,1,32,0.02,retrospective working threshold with sensitivity grid,0.0,1,1,19,22,26,0.8636363636363636,1
bace,classification,11,2,4,0.005,retrospective working threshold with sensitivity grid,0.0,1,1,1,1,2,1.0,1
bace,classification,11,2,4,0.01,retrospective working threshold with sensitivity grid,0.0,1,1,2,1,3,0.5,1
bace,classification,11,2,4,0.02,retrospective working threshold with sensitivity grid,0.0,1,1,3,3,3,1.0,1
bace,classification,11,2,8,0.005,retrospective working threshold with sensitivity grid,0.0,1,1,2,4,4,0.5,1
bace,classification,11,2,8,0.01,retrospective working threshold with sensitivity grid,0.0,1,1,4,4,6,1.0,1
bace,classification,11,2,8,0.02,retrospective working threshold with sensitivity grid,0.0,1,1,4,5,7,0.8,1
bace,classification,11,2,16,0.005,retrospective working threshold with sensitivity grid,0.0,1,1,4,6,7,0.42857142857142855,1
bace,classification,11,2,16,0.01,retrospective working threshold with sensitivity grid,0.0,1,1,7,10,11,0.7,1
bace,classification,11,2,16,0.02,retrospective working threshold with sensitivity grid,0.0,1,1,10,10,14,1.0,1
bace,classification,11,2,32,0.005,retrospective working threshold with sensitivity grid,0.0,1,1,4,7,12,0.375,1
bace,classification,11,2,32,0.01,retrospective working threshold with sensitivity grid,0.0,1,1,8,19,18,0.42105263157894735,1
bace,classification,11,2,32,0.02,retrospective working threshold with sensitivity grid,0.0,1,1,20,22,26,0.9090909090909091,1
bace,classification,11,3,4,0.005,retrospective working threshold with sensitivity grid,0.020802837938760258,0,1,1,1,1,1.0,1
