task,variant,policy,mean_normalized_regret,median_normalized_regret,mean_outer_utility,selected_representations
bace,fingerprints_only,one_se_stable,0.06321778882529332,0.0176134714023006,0.8692964793295653,1
bace,fingerprints_only,risk_adjusted,0.03193420976903157,0.0,0.8725294864119272,1
bace,fingerprints_only,validation_best,0.07245270434999398,0.0124886466848314,0.8693574702518035,2
bace,full_multiview,one_se_stable,0.10916809428660522,0.0713719968318215,0.8690579252548474,3
bace,full_multiview,risk_adjusted,0.10344320901998644,0.0713719968318215,0.8708908202203963,3
bace,full_multiview,validation_best,0.06310405253056041,0.0258851214033591,0.8750399297353328,3
bace,morgan_only,one_se_stable,0.07116216047117647,0.0199868218756833,0.8692964793295653,1
bace,morgan_only,risk_adjusted,0.029775953505122008,0.0,0.8725294864119272,1
bace,morgan_only,validation_best,0.046955274731744955,0.0,0.8711026466668343,1
bace,no_multiview_concat,one_se_stable,0.11362323086272423,0.105809722392575,0.8663075191043154,2
bace,no_multiview_concat,risk_adjusted,0.10371853235547088,0.0402825666470434,0.8692437895809153,2
bace,no_multiview_concat,validation_best,0.12749208485222088,0.0861635220125782,0.8671612362636393,2
bbbp,fingerprints_only,one_se_stable,0.10080188978919453,0.0960579972813779,0.8880605160084999,2
bbbp,fingerprints_only,risk_adjusted,0.0896352147128895,0.0,0.8896266903722752,2
bbbp,fingerprints_only,validation_best,0.0896352147128895,0.0,0.8896266903722752,2
bbbp,full_multiview,one_se_stable,0.13290873520785146,0.1187234665495531,0.8929427634498525,4
bbbp,full_multiview,risk_adjusted,0.08360599940402086,0.0234586038576386,0.9002251868772269,3
bbbp,full_multiview,validation_best,0.05809832886150236,0.0208426915820688,0.9027143084874877,3
bbbp,morgan_only,one_se_stable,0.03588840133549442,0.0,0.8781070545458051,1
bbbp,morgan_only,risk_adjusted,0.0698112669981856,0.0,0.875273151706132,1
bbbp,morgan_only,validation_best,0.047297851298697166,0.0,0.877835178604574,1
bbbp,no_multiview_concat,one_se_stable,0.12819454777226397,0.0994821011894598,0.8907514548727536,3
bbbp,no_multiview_concat,risk_adjusted,0.10511177113821166,0.0517395182872437,0.8942806312665678,2
bbbp,no_multiview_concat,validation_best,0.07800249150244751,0.0235047575894889,0.8968578702842176,2
clintox,fingerprints_only,one_se_stable,0.01471527441217,0.0,0.901069362001202,1
clintox,fingerprints_only,risk_adjusted,0.01471527441217,0.0,0.901069362001202,1
clintox,fingerprints_only,validation_best,0.005775332004458967,0.0,0.902972915116758,1
clintox,full_multiview,one_se_stable,0.05906137604386443,0.0600830238147255,0.9087725171180394,3
clintox,full_multiview,risk_adjusted,0.03765600146407058,0.0,0.9125229721681648,2
clintox,full_multiview,validation_best,0.03765600146407058,0.0,0.9125229721681648,2
clintox,morgan_only,one_se_stable,0.08766037165432969,0.0,0.8270919198127515,1
clintox,morgan_only,risk_adjusted,0.13009672751419737,0.0715393897603858,0.8226796902243283,1
clintox,morgan_only,validation_best,0.09070554932298355,0.0008389261744963,0.8251994170188302,1
clintox,no_multiview_concat,one_se_stable,0.04667521083005594,0.0055382485289027,0.8973803485713225,2
clintox,no_multiview_concat,risk_adjusted,0.04814738367347336,0.0215291750503019,0.8971656255932389,2
clintox,no_multiview_concat,validation_best,0.04361543716530102,0.0001940993788817,0.898210638227613,2
esol,fingerprints_only,one_se_stable,0.08454050630977097,0.104168025460806,-1.3524243786419266,1
esol,fingerprints_only,risk_adjusted,0.14145664008531592,0.1263498690604602,-1.4932280089708045,1
esol,fingerprints_only,validation_best,0.1158720672667592,0.1206150182331779,-1.4297919532917014,1
esol,full_multiview,one_se_stable,0.02427767638412662,0.0128078358353197,-0.814041180205119,2
esol,full_multiview,risk_adjusted,0.00979668644186758,0.0086762017863406,-0.7872900657969353,2
esol,full_multiview,validation_best,0.00979668644186758,0.0086762017863406,-0.7872900657969353,2
esol,morgan_only,one_se_stable,0.06990599410227151,0.0536937765761317,-1.7230382107149909,1
esol,morgan_only,risk_adjusted,0.07227958534441115,0.0536937765761317,-1.7283527231361446,1
esol,morgan_only,validation_best,0.024838763809859072,0.0151588690159863,-1.6880585223479063,1
esol,no_multiview_concat,one_se_stable,0.02906942263689648,0.0128078358353197,-0.8235485127540018,1
esol,no_multiview_concat,risk_adjusted,0.011751065248248368,0.0128078358353197,-0.791555854675181,1
esol,no_multiview_concat,validation_best,0.011751065248248368,0.0128078358353197,-0.791555854675181,1
freesolv,fingerprints_only,one_se_stable,0.010697508860961647,0.0,-1.66080352894284,1
freesolv,fingerprints_only,risk_adjusted,0.04336041526861886,0.0197524563708308,-1.8200648734280285,1
freesolv,fingerprints_only,validation_best,0.04336041526861886,0.0197524563708308,-1.8200648734280285,1
freesolv,full_multiview,one_se_stable,0.01289937560844396,0.0139620373516011,-1.5432042545174793,1
freesolv,full_multiview,risk_adjusted,0.01289937560844396,0.0139620373516011,-1.5432042545174793,1
freesolv,full_multiview,validation_best,0.012054691109264321,0.0119886466906216,-1.5396105260407966,2
freesolv,morgan_only,one_se_stable,0.006119792047821413,0.0,-2.749092811838788,1
freesolv,morgan_only,risk_adjusted,0.0006601873115450667,0.0,-2.7336273270039055,1
freesolv,morgan_only,validation_best,0.0009512301525498932,0.0,-2.734536812167991,1
freesolv,no_multiview_concat,one_se_stable,0.05549862086684039,0.0754932768827854,-1.7562801113919344,2
freesolv,no_multiview_concat,risk_adjusted,0.03450368586560802,0.0165509448080773,-1.6750165895722247,1
freesolv,no_multiview_concat,validation_best,0.009339260238012886,0.0119886466906216,-1.5575582729552244,2
lipo,fingerprints_only,one_se_stable,0.0,0.0,-0.9138007241025753,1
