task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8587711715173055,0.1013795000035315
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8368284789644013,0.1088427999056875
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7447693087713368,0.1120341001078486
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8637979060608971,0.1788969000335782
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8781229773462783,0.1676374000962823
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8762210579685652,0.1640345000196248
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.848717702430122,0.0948547000298276
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8776699029126215,0.1052242000587284
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8842656751732297,0.1071907000150531
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8529760189543112,0.0335171000333502
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8384466019417476,0.0391442000400275
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8713199256379923,0.0313773000380024
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9108955271667788,0.1544514999259263
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.899190938511327,0.1555574999656528
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9097515632922089,0.1475976000074297
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8963276022156053,0.0537334000691771
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.882588996763754,0.0545455999672412
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9067094811559911,0.0581491000484675
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8629654532065444,0.0505663000512868
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8177669902912621,0.053021700005047
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8930370119993241,0.0423482999904081
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9110556142541544,0.151611200068146
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9028155339805828,0.1555121999699622
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.931113740070982,0.1679729000898078
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9185797073608044,0.1648109999950975
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8834627831715209,0.1702189999632537
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8969748183200946,0.1744791999226436
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.9019466589824864,0.2080607000971213
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.8912621359223302,0.1914457000093534
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.8563630218015886,0.216409399989061
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8996093875068037,0.1944533000933006
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.9060517799352752,0.205676699988544
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.9197566334291024,0.2134638000279665
bbbp,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.9227739890500432,0.3321199999190867
bbbp,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8837702265372167,0.3431658999761566
bbbp,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8986986648639513,0.3597237999783829
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7738676298320968,0.1083589999470859
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7123104371097235,0.1633487999206408
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8267836896663427,0.1158837999682873
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.842005076142132,0.166235200013034
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.9186886708296164,0.1704772999510169
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8340115808228055,0.1706610999535769
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.828885201093323,0.1055521999951452
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8805976806422836,0.1289600000018254
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8576996274700356,0.1088561000069603
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8423369777430691,0.0362547000404447
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8708519179304193,0.044864899944514
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8614350502105604,0.033346000011079
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8804763764154627,0.1503734999569133
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9267395182872435,0.1502290000207722
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8649882572076449,0.1509089000755921
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8505661850839514,0.0574133000336587
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.9267841213202498,0.0607048000674694
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8804259799157759,0.0604244000278413
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8295880515423663,0.0529420999810099
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8859946476360392,0.0618082999717444
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8346088435374149,0.0450511000817641
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.8908531823506444,0.1703622000059113
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.9371766280107048,0.1706419000402093
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.8575275348234531,0.1685505000641569
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9034361577508786,0.168277799966745
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.9444692239072257,0.1769665000028908
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8669116456106252,0.143616999965161
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.8336294416243655,0.2369988000718876
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.8128902765388047,0.280241800006479
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.8716492549400713,0.2135548000223934
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8911167512690354,0.1962019000202417
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.9409901873327386,0.2110172000247985
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8859835600907029,0.2000781000824645
bbbp,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8864701288559157,0.4161378999706357
bbbp,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.938670829616414,0.3592211999930441
bbbp,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8704952218982831,0.3162399000721052
bbbp,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7557016840417001,0.0878856999333947
bbbp,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7488949787835926,0.1339406000915914
bbbp,classification,11,3,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8107224871930754,0.1182447999017313
bbbp,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8301042502004812,0.1745858000358566
bbbp,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8767533003300331,0.1835832999786362
bbbp,classification,11,3,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8793322734499205,0.1685166000388562
bbbp,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8144827586206898,0.1073113000020384
bbbp,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8615776756247053,0.1078923000022769
bbbp,classification,11,3,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8802155096272744,0.1121218000771477
bbbp,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8179711307137127,0.0363412000006064
bbbp,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.780999528524281,0.0460070999106392
bbbp,classification,11,3,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8150326797385621,0.0370987999485805
bbbp,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8450120288692863,0.159008500049822
bbbp,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8782708628005658,0.1533513999311253
bbbp,classification,11,3,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.9087263734322558,0.1645239000208676
bbbp,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8415477145148356,0.0535875000059604
bbbp,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.82621699669967,0.057078699930571
bbbp,classification,11,3,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8753400459282813,0.0615964999888092
bbbp,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8219085805934243,0.0506063000066205
bbbp,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.7557019094766619,0.0591840000124648
