task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
bbbp,classification,11,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1257,782,0.7910016162145633,0.196468099951744,0.7910016162145633,0.8991269122261244,
bbbp,classification,11,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1257,782,0.8633818197702354,0.1811042999615892,0.8633818197702354,0.9393057213291413,
bbbp,classification,11,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1257,782,0.858603066439523,0.1162273000227287,0.858603066439523,0.9353272284837348,
bbbp,classification,11,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,1257,782,0.7999213733455642,0.0571070999139919,0.7999213733455642,0.9048823604186428,
bbbp,classification,11,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1257,782,0.8776132442231249,0.1609161000233143,0.8776132442231249,0.952538240777155,
bbbp,classification,11,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1257,782,0.8625693443410649,0.0592274999944493,0.8625693443410649,0.9454728433571012,
bbbp,classification,11,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1257,782,0.8196872406412439,0.0757729000179097,0.8196872406412439,0.907371922899251,
bbbp,classification,11,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1257,782,0.8727820731227887,0.1854310999624431,0.8727820731227887,0.9487150343747056,
bbbp,classification,11,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1257,782,0.8650504521032629,0.2159262000350281,0.8650504521032629,0.9420841610218882,
bbbp,classification,11,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,1257,782,0.8320927794522343,0.4203572000842541,0.8320927794522343,0.9117090247712258,
bbbp,classification,11,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1257,782,0.8728869086620363,0.2419039000524208,0.8728869086620363,0.9478058841213384,
bbbp,classification,11,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1257,782,0.8618005503865811,0.4156456999480724,0.8618005503865811,0.940713366717078,
bbbp,classification,11,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1413,626,0.7658102907133626,0.2185911999549716,0.7658102907133626,0.9039674220503174,
bbbp,classification,11,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1413,626,0.8796102992345165,0.2008754000999033,0.8796102992345165,0.9543966331242968,
bbbp,classification,11,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1413,626,0.8411798957578855,0.1442390000447631,0.8411798957578855,0.935815681767022,
bbbp,classification,11,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,1413,626,0.8118245210401489,0.064978800015524,0.8118245210401489,0.9139171835662414,
bbbp,classification,11,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1413,626,0.8750372800477184,0.1750877000158652,0.8750372800477184,0.9512082738338554,
bbbp,classification,11,2,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1413,626,0.8553463138909008,0.0693004999775439,0.8553463138909008,0.9427281292794172,
bbbp,classification,11,2,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1413,626,0.8262181699402098,0.0994146999437362,0.8262181699402098,0.916516871769042,
bbbp,classification,11,2,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1413,626,0.8882947751125502,0.1823057000292465,0.8882947751125502,0.9510809185402276,
bbbp,classification,11,2,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1413,626,0.870521068552682,0.2119169000070542,0.870521068552682,0.9405799442512608,
bbbp,classification,11,2,stratified_scaffold_group,10,multiview__linear,multiview,linear,1413,626,0.82233394401602,0.5292708999477327,0.82233394401602,0.9288732926996504,
bbbp,classification,11,2,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1413,626,0.8939116356354649,0.2507739999564364,0.8939116356354649,0.9490569388451532,
bbbp,classification,11,2,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1413,626,0.8988255009728318,0.3863642000360414,0.8988255009728318,0.9596226947273462,
bbbp,classification,11,3,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1408,631,0.8544578740506517,0.2267180000199005,0.8544578740506517,0.9417938120247592,
bbbp,classification,11,3,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1408,631,0.9151718431395728,0.1912677000509575,0.9151718431395728,0.966892080622132,
bbbp,classification,11,3,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1408,631,0.9127781553828423,0.1310817000921815,0.9127781553828423,0.9676558928540524,
bbbp,classification,11,3,stratified_scaffold_group,4,maccs__linear,maccs,linear,1408,631,0.9043706965335854,0.0638416999718174,0.9043706965335854,0.9667149791750898,
bbbp,classification,11,3,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1408,631,0.9350010343095246,0.1737930999370291,0.9350010343095246,0.9727261543609949,
bbbp,classification,11,3,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1408,631,0.9242294394042376,0.0702191999880597,0.9242294394042376,0.9715264203734588,
bbbp,classification,11,3,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1408,631,0.8975885812228493,0.1093156000133603,0.8975885812228493,0.9608230009191504,
bbbp,classification,11,3,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1408,631,0.9364195159431424,0.1870663999579846,0.9364195159431424,0.9720144253669796,
bbbp,classification,11,3,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1408,631,0.9331171133898756,0.1829113999847322,0.9331171133898756,0.9702552564503496,
bbbp,classification,11,3,stratified_scaffold_group,10,multiview__linear,multiview,linear,1408,631,0.8853763409084193,0.4800270999548957,0.8853763409084193,0.948532625506802,
bbbp,classification,11,3,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1408,631,0.9349788705339992,0.2511771999998018,0.9349788705339992,0.9735890879696936,
bbbp,classification,11,3,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1408,631,0.936692869174621,0.4712138000177219,0.936692869174621,0.9746391317515952,
bbbp,classification,23,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1321,718,0.8056371922650994,0.2093501000199467,0.8056371922650994,0.9036340131665768,
bbbp,classification,23,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1321,718,0.8999914813868303,0.1916976999491453,0.8999914813868303,0.9577196931833593,
bbbp,classification,23,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1321,718,0.9107675270465968,0.1345195999601856,0.9107675270465968,0.9627872803171318,
bbbp,classification,23,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,1321,718,0.8532136468182981,0.0657867999980226,0.8532136468182981,0.9416520017706178,
bbbp,classification,23,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1321,718,0.9221185790953234,0.1670401999726891,0.9221185790953234,0.9726953396947964,
bbbp,classification,23,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1321,718,0.9081959706959708,0.0784333000192418,0.9081959706959708,0.9609231122433024,
bbbp,classification,23,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1321,718,0.8673811653462817,0.0874874000437557,0.8673811653462817,0.9354005979387704,
bbbp,classification,23,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1321,718,0.9281614703126332,0.179318799986504,0.9281614703126332,0.97360835988287,
bbbp,classification,23,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1321,718,0.9153888746912,0.1800642000744119,0.9153888746912,0.9677948370849908,
bbbp,classification,23,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,1321,718,0.8796639407104524,0.4301711999578401,0.8796639407104524,0.9419022594382058,
bbbp,classification,23,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1321,718,0.9393048811653462,0.2423750999150797,0.9393048811653462,0.97383736629066,
bbbp,classification,23,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1321,718,0.9242162875883808,0.4478878999361768,0.9242162875883808,0.968692596080684,
bbbp,classification,23,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1413,626,0.8120517342739565,0.207552200066857,0.8120517342739565,0.923781689055472,
bbbp,classification,23,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1413,626,0.8762786596119929,0.1865380000090226,0.8762786596119929,0.9561324673957696,
bbbp,classification,23,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1413,626,0.8642857142857143,0.1207125999499112,0.8642857142857143,0.9501752130543912,
bbbp,classification,23,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,1413,626,0.7948192239858907,0.0625171000137925,0.7948192239858907,0.9082395856289852,
bbbp,classification,23,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1413,626,0.8564006466784245,0.1696533999638632,0.8564006466784245,0.944811628498579,
