task,seed,outer_fold,left_outer_utility,left_representation,left_family,right_outer_utility,right_representation,right_family,full_utility_max,full_utility_min,full_utility_range,raw_utility_gain,normalized_utility_gain,comparison
bbbp,11,1,0.8776132442231249,maccs,random_forest,0.8633818197702354,morgan512,random_forest,0.8776132442231249,0.7910016162145633,0.08661162800856159,0.014231424452889496,0.164313092596328,attainable multiview gain vs Morgan-only oracle
bbbp,11,2,0.8988255009728318,multiview,lightgbm,0.8796102992345165,morgan512,random_forest,0.8988255009728318,0.7658102907133626,0.13301521025946916,0.019215201738315257,0.14445868033311893,attainable multiview gain vs Morgan-only oracle
bbbp,11,3,0.936692869174621,multiview,lightgbm,0.9151718431395728,morgan512,random_forest,0.936692869174621,0.8544578740506517,0.08223499512396937,0.02152102603504824,0.261701554217949,attainable multiview gain vs Morgan-only oracle
bbbp,23,1,0.9393048811653462,multiview,random_forest,0.9107675270465968,morgan512,lightgbm,0.9393048811653462,0.8056371922650994,0.13366768890024672,0.02853735411874936,0.2134947821237948,attainable multiview gain vs Morgan-only oracle
bbbp,23,2,0.8882716049382717,multiview,random_forest,0.8762786596119929,morgan512,random_forest,0.8882716049382717,0.7948192239858907,0.09345238095238106,0.011992945326278814,0.12833215380986232,attainable multiview gain vs Morgan-only oracle
bbbp,23,3,0.8984360823806932,multiview,lightgbm,0.8693181818181819,morgan512,random_forest,0.8984360823806932,0.7573602794411178,0.14107580293957533,0.02911790056251129,0.20639897101973526,attainable multiview gain vs Morgan-only oracle
bbbp,37,1,0.9427700675168792,multiview,random_forest,0.9117498124531132,morgan512,lightgbm,0.9427700675168792,0.8146567891972993,0.12811327831957986,0.031020255063766045,0.24213145952276474,attainable multiview gain vs Morgan-only oracle
bbbp,37,2,0.9171947215425476,rdkit2d,random_forest,0.8899815965033357,morgan512,random_forest,0.9171947215425476,0.7857508835769705,0.13144383796557702,0.027213125039211805,0.2070323376158453,attainable multiview gain vs Morgan-only oracle
bbbp,37,3,0.8796112863517465,multiview,lightgbm,0.8553046622557317,morgan512,random_forest,0.8796112863517465,0.7781485613171257,0.10146272503462073,0.024306624096014806,0.23956210606132441,attainable multiview gain vs Morgan-only oracle
bbbp,53,1,0.8605699159807956,maccs,random_forest,0.826383530521262,morgan512,random_forest,0.8605699159807956,0.7475405092592593,0.11302940672153627,0.034186385459533564,0.30245567459941197,attainable multiview gain vs Morgan-only oracle
bbbp,53,2,0.9267813966718816,multiview,random_forest,0.9109017209500784,morgan512,random_forest,0.9267813966718816,0.7925330678424121,0.13424832882946958,0.015879675721803266,0.11828583536391428,attainable multiview gain vs Morgan-only oracle
bbbp,53,3,0.9210802674414532,multiview,random_forest,0.8571370229052171,morgan512,lightgbm,0.9210802674414532,0.8135202623073242,0.107560005134129,0.06394324453623612,0.5944890431763916,attainable multiview gain vs Morgan-only oracle
bbbp,71,1,0.943748901002286,multiview,random_forest,0.9059170036926324,morgan512,random_forest,0.943748901002286,0.7843766484965711,0.15937225250571496,0.03783189730965364,0.23738070281899928,attainable multiview gain vs Morgan-only oracle
bbbp,71,2,0.919763954991884,multiview,lightgbm,0.8813378634900547,morgan512,random_forest,0.919763954991884,0.8009505075793008,0.11881344741258326,0.038426091501829296,0.3234153400868299,attainable multiview gain vs Morgan-only oracle
bbbp,71,3,0.8784838350055741,multiview,random_forest,0.8779980888676542,morgan512,lightgbm,0.8784838350055741,0.8106386367255933,0.06784519827998081,0.00048574613791996235,0.007159624413144242,attainable multiview gain vs Morgan-only oracle
