task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
bbbp,classification,11,1,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.8881118881118882
bbbp,classification,11,1,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,11,1,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
bbbp,classification,11,1,no_multiview_concat,9,2,1.0,1.0,0.5,0.9666666666666668
bbbp,classification,11,2,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.8461538461538463
bbbp,classification,11,2,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,11,2,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.7714285714285715
bbbp,classification,11,2,no_multiview_concat,9,2,1.0,1.0,0.5,0.7833333333333333
bbbp,classification,11,3,full_multiview,12,2,1.0,1.0,0.5,0.8881118881118882
bbbp,classification,11,3,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,11,3,fingerprints_only,6,1,1.0,1.0,1.0,0.8285714285714287
bbbp,classification,11,3,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.9
bbbp,classification,23,1,full_multiview,12,1,1.0,1.0,1.0,0.9370629370629372
bbbp,classification,23,1,morgan_only,3,2,1.0,,0.5,0.5
bbbp,classification,23,1,fingerprints_only,6,1,1.0,1.0,1.0,0.8285714285714287
bbbp,classification,23,1,no_multiview_concat,9,2,1.0,1.0,0.5,0.9
bbbp,classification,23,2,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.7342657342657343
bbbp,classification,23,2,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,23,2,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.4857142857142857
bbbp,classification,23,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.7166666666666667
bbbp,classification,23,3,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.8881118881118882
bbbp,classification,23,3,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,23,3,fingerprints_only,6,1,1.0,1.0,1.0,1.0
bbbp,classification,23,3,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.9
bbbp,classification,37,1,full_multiview,12,1,1.0,1.0,1.0,0.8951048951048951
bbbp,classification,37,1,morgan_only,3,2,1.0,,0.5,0.5
bbbp,classification,37,1,fingerprints_only,6,1,1.0,1.0,1.0,0.7714285714285715
bbbp,classification,37,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8666666666666667
bbbp,classification,37,2,full_multiview,12,1,1.0,1.0,1.0,0.9300699300699302
bbbp,classification,37,2,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,37,2,fingerprints_only,6,1,1.0,1.0,1.0,1.0
bbbp,classification,37,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.9833333333333332
bbbp,classification,37,3,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.8531468531468532
bbbp,classification,37,3,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,37,3,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
bbbp,classification,37,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.8666666666666667
bbbp,classification,53,1,full_multiview,12,2,1.0,1.0,0.5,0.8881118881118882
bbbp,classification,53,1,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,53,1,fingerprints_only,6,1,1.0,1.0,1.0,1.0
bbbp,classification,53,1,no_multiview_concat,9,1,1.0,1.0,1.0,0.9333333333333332
bbbp,classification,53,2,full_multiview,12,1,1.0,1.0,1.0,0.8881118881118882
bbbp,classification,53,2,morgan_only,3,2,1.0,,0.5,0.5
bbbp,classification,53,2,fingerprints_only,6,4,0.0,-1.0,0.25,0.6
bbbp,classification,53,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.8166666666666667
bbbp,classification,53,3,full_multiview,12,1,1.0,1.0,1.0,0.7482517482517484
bbbp,classification,53,3,morgan_only,3,2,1.0,,0.5,0.5
bbbp,classification,53,3,fingerprints_only,6,2,1.0,1.0,0.5,0.6571428571428573
bbbp,classification,53,3,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.6833333333333333
bbbp,classification,71,1,full_multiview,12,1,1.0,1.0,1.0,0.9160839160839164
bbbp,classification,71,1,morgan_only,3,2,1.0,,0.5,0.5
bbbp,classification,71,1,fingerprints_only,6,4,0.0,-1.0,0.25,0.6
bbbp,classification,71,1,no_multiview_concat,9,2,1.0,1.0,0.5,0.8499999999999999
bbbp,classification,71,2,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.7692307692307694
bbbp,classification,71,2,morgan_only,3,1,1.0,,1.0,1.0
bbbp,classification,71,2,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
bbbp,classification,71,2,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.7666666666666667
bbbp,classification,71,3,full_multiview,12,2,1.0,1.0,0.5,0.5454545454545455
bbbp,classification,71,3,morgan_only,3,2,1.0,,0.5,0.5
bbbp,classification,71,3,fingerprints_only,6,4,0.0,-1.0,0.25,0.6
bbbp,classification,71,3,no_multiview_concat,9,7,0.0,-0.4999999999999999,0.1428571428571428,0.5166666666666667
bace,classification,11,1,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.8181818181818183
bace,classification,11,1,morgan_only,3,2,1.0,,0.5,0.5
bace,classification,11,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8857142857142858
bace,classification,11,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8166666666666667
bace,classification,11,2,full_multiview,12,2,1.0,1.0,0.5,0.8111888111888113
bace,classification,11,2,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,11,2,fingerprints_only,6,1,1.0,1.0,1.0,0.8857142857142858
bace,classification,11,2,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.8166666666666667
bace,classification,11,3,full_multiview,12,7,0.0,-0.3333333333333333,0.1428571428571428,0.7132867132867133
bace,classification,11,3,morgan_only,3,2,1.0,,0.5,0.5
bace,classification,11,3,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.6571428571428573
bace,classification,11,3,no_multiview_concat,9,5,0.0,-0.4999999999999999,0.2,0.7
bace,classification,23,1,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.8251748251748254
bace,classification,23,1,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,23,1,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
bace,classification,23,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.7833333333333333
bace,classification,23,2,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.8041958041958043
bace,classification,23,2,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,23,2,fingerprints_only,6,1,1.0,1.0,1.0,0.8857142857142858
bace,classification,23,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.7999999999999999
bace,classification,23,3,full_multiview,12,6,0.0,-0.3333333333333333,0.1666666666666666,0.6433566433566434
bace,classification,23,3,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,23,3,fingerprints_only,6,2,1.0,1.0,0.5,0.5428571428571429
bace,classification,23,3,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.4833333333333333
bace,classification,37,1,full_multiview,12,6,0.0,-0.3333333333333333,0.1666666666666666,0.5384615384615385
bace,classification,37,1,morgan_only,3,2,1.0,,0.5,0.5
bace,classification,37,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8857142857142858
bace,classification,37,1,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.4833333333333333
bace,classification,37,2,full_multiview,12,2,1.0,1.0,0.5,0.8741258741258742
bace,classification,37,2,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,37,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
bace,classification,37,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.8666666666666667
bace,classification,37,3,full_multiview,12,2,1.0,1.0,0.5,0.9510489510489512
bace,classification,37,3,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,37,3,fingerprints_only,6,1,1.0,1.0,1.0,1.0
bace,classification,37,3,no_multiview_concat,9,2,1.0,1.0,0.5,0.9666666666666668
bace,classification,53,1,full_multiview,12,1,1.0,1.0,1.0,0.7972027972027973
bace,classification,53,1,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,53,1,fingerprints_only,6,1,1.0,1.0,1.0,1.0
bace,classification,53,1,no_multiview_concat,9,1,1.0,1.0,1.0,0.7833333333333333
bace,classification,53,2,full_multiview,12,1,1.0,1.0,1.0,0.9160839160839164
bace,classification,53,2,morgan_only,3,2,1.0,,0.5,0.5
bace,classification,53,2,fingerprints_only,6,2,1.0,1.0,0.5,0.8857142857142858
bace,classification,53,2,no_multiview_concat,9,2,1.0,1.0,0.5,0.9
bace,classification,53,3,full_multiview,12,8,0.0,-0.3333333333333333,0.125,0.5664335664335665
bace,classification,53,3,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,53,3,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.7714285714285715
bace,classification,53,3,no_multiview_concat,9,6,0.0,-0.4999999999999999,0.1666666666666666,0.45
bace,classification,71,1,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.6713286713286714
bace,classification,71,1,morgan_only,3,2,1.0,,0.5,0.5
bace,classification,71,1,fingerprints_only,6,2,1.0,1.0,0.5,0.6571428571428573
bace,classification,71,1,no_multiview_concat,9,2,1.0,1.0,0.5,0.5833333333333334
bace,classification,71,2,full_multiview,12,1,1.0,1.0,1.0,0.8461538461538463
bace,classification,71,2,morgan_only,3,2,1.0,,0.5,0.5
bace,classification,71,2,fingerprints_only,6,2,1.0,1.0,0.5,0.942857142857143
bace,classification,71,2,no_multiview_concat,9,2,1.0,1.0,0.5,0.75
bace,classification,71,3,full_multiview,12,1,1.0,1.0,1.0,0.9160839160839164
bace,classification,71,3,morgan_only,3,1,1.0,,1.0,1.0
bace,classification,71,3,fingerprints_only,6,1,1.0,1.0,1.0,0.8857142857142858
bace,classification,71,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.9333333333333332
clintox,classification,11,1,full_multiview,12,1,1.0,1.0,1.0,0.8671328671328673
clintox,classification,11,1,morgan_only,3,2,1.0,,0.5,0.5
clintox,classification,11,1,fingerprints_only,6,1,1.0,1.0,1.0,0.8285714285714287
clintox,classification,11,1,no_multiview_concat,9,2,1.0,1.0,0.5,0.75
clintox,classification,11,2,full_multiview,12,1,1.0,1.0,1.0,0.8811188811188813
clintox,classification,11,2,morgan_only,3,2,1.0,,0.5,0.5
clintox,classification,11,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
clintox,classification,11,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.9166666666666666
clintox,classification,11,3,full_multiview,12,1,1.0,1.0,1.0,0.9300699300699302
clintox,classification,11,3,morgan_only,3,1,1.0,,1.0,1.0
clintox,classification,11,3,fingerprints_only,6,1,1.0,1.0,1.0,1.0
clintox,classification,11,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.9
clintox,classification,23,1,full_multiview,12,1,1.0,1.0,1.0,0.8321678321678322
clintox,classification,23,1,morgan_only,3,2,1.0,,0.5,0.5
clintox,classification,23,1,fingerprints_only,6,1,1.0,1.0,1.0,0.8857142857142858
clintox,classification,23,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.7999999999999999
clintox,classification,23,2,full_multiview,12,1,1.0,1.0,1.0,0.8111888111888113
clintox,classification,23,2,morgan_only,3,1,1.0,,1.0,1.0
clintox,classification,23,2,fingerprints_only,6,1,1.0,1.0,1.0,0.6571428571428573
clintox,classification,23,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.7666666666666667
clintox,classification,23,3,full_multiview,12,1,1.0,1.0,1.0,0.9300699300699302
clintox,classification,23,3,morgan_only,3,1,1.0,,1.0,1.0
clintox,classification,23,3,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
clintox,classification,23,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.9
clintox,classification,37,1,full_multiview,12,1,1.0,1.0,1.0,0.8531468531468532
clintox,classification,37,1,morgan_only,3,2,1.0,,0.5,0.5
clintox,classification,37,1,fingerprints_only,6,1,1.0,1.0,1.0,0.7714285714285715
clintox,classification,37,1,no_multiview_concat,9,2,1.0,1.0,0.5,0.7666666666666667
clintox,classification,37,2,full_multiview,12,1,1.0,1.0,1.0,0.8881118881118882
clintox,classification,37,2,morgan_only,3,1,1.0,,1.0,1.0
clintox,classification,37,2,fingerprints_only,6,2,1.0,1.0,0.5,0.942857142857143
clintox,classification,37,2,no_multiview_concat,9,2,1.0,1.0,0.5,0.8666666666666667
clintox,classification,37,3,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.7342657342657343
clintox,classification,37,3,morgan_only,3,1,1.0,,1.0,1.0
clintox,classification,37,3,fingerprints_only,6,1,1.0,1.0,1.0,0.7142857142857143
clintox,classification,37,3,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.6833333333333333
clintox,classification,53,1,full_multiview,12,1,1.0,1.0,1.0,0.9020979020979022
clintox,classification,53,1,morgan_only,3,1,1.0,,1.0,1.0
clintox,classification,53,1,fingerprints_only,6,2,1.0,1.0,0.5,0.7714285714285715
clintox,classification,53,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8333333333333333
clintox,classification,53,2,full_multiview,12,1,1.0,1.0,1.0,0.8391608391608393
clintox,classification,53,2,morgan_only,3,2,1.0,,0.5,0.5
clintox,classification,53,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
clintox,classification,53,2,no_multiview_concat,9,2,1.0,1.0,0.5,0.7666666666666667
clintox,classification,53,3,full_multiview,12,2,1.0,1.0,0.5,0.5944055944055945
clintox,classification,53,3,morgan_only,3,2,1.0,,0.5,0.5
clintox,classification,53,3,fingerprints_only,6,1,1.0,1.0,1.0,0.6
clintox,classification,53,3,no_multiview_concat,9,5,0.0,-0.4999999999999999,0.2,0.4833333333333333
clintox,classification,71,1,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.8181818181818183
clintox,classification,71,1,morgan_only,3,1,1.0,,1.0,1.0
clintox,classification,71,1,fingerprints_only,6,1,1.0,1.0,1.0,0.8285714285714287
clintox,classification,71,1,no_multiview_concat,9,1,1.0,1.0,1.0,0.8833333333333333
clintox,classification,71,2,full_multiview,12,2,1.0,1.0,0.5,0.9510489510489512
clintox,classification,71,2,morgan_only,3,2,1.0,,0.5,0.5
clintox,classification,71,2,fingerprints_only,6,1,1.0,1.0,1.0,0.8285714285714287
clintox,classification,71,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.9
clintox,classification,71,3,full_multiview,12,1,1.0,1.0,1.0,0.8391608391608393
clintox,classification,71,3,morgan_only,3,2,1.0,,0.5,0.5
clintox,classification,71,3,fingerprints_only,6,1,1.0,1.0,1.0,0.7714285714285715
clintox,classification,71,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.8333333333333333
esol,regression,11,1,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.8531468531468532
esol,regression,11,1,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,11,1,fingerprints_only,6,2,1.0,1.0,0.5,0.7714285714285715
esol,regression,11,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8666666666666667
esol,regression,11,2,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.9160839160839164
esol,regression,11,2,morgan_only,3,1,1.0,,1.0,1.0
esol,regression,11,2,fingerprints_only,6,2,1.0,1.0,0.5,0.942857142857143
esol,regression,11,2,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.9333333333333332
esol,regression,11,3,full_multiview,12,2,1.0,1.0,0.5,0.8811188811188813
esol,regression,11,3,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,11,3,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.3142857142857143
esol,regression,11,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.7999999999999999
esol,regression,23,1,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.8671328671328673
esol,regression,23,1,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,23,1,fingerprints_only,6,2,1.0,1.0,0.5,0.7714285714285715
esol,regression,23,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8666666666666667
esol,regression,23,2,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.9020979020979022
esol,regression,23,2,morgan_only,3,1,1.0,,1.0,1.0
esol,regression,23,2,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
esol,regression,23,2,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.9
esol,regression,23,3,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.9230769230769232
esol,regression,23,3,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,23,3,fingerprints_only,6,1,1.0,1.0,1.0,0.6
esol,regression,23,3,no_multiview_concat,9,2,1.0,1.0,0.5,0.8666666666666667
esol,regression,37,1,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.8811188811188813
esol,regression,37,1,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,37,1,fingerprints_only,6,2,1.0,1.0,0.5,0.7714285714285715
esol,regression,37,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8833333333333333
esol,regression,37,2,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.9020979020979022
esol,regression,37,2,morgan_only,3,1,1.0,,1.0,1.0
esol,regression,37,2,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
esol,regression,37,2,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.9
esol,regression,37,3,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.8671328671328673
esol,regression,37,3,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,37,3,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.3142857142857143
esol,regression,37,3,no_multiview_concat,9,2,1.0,1.0,0.5,0.7833333333333333
esol,regression,53,1,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.8671328671328673
esol,regression,53,1,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,53,1,fingerprints_only,6,2,1.0,1.0,0.5,0.7714285714285715
esol,regression,53,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8666666666666667
esol,regression,53,2,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.9020979020979022
esol,regression,53,2,morgan_only,3,1,1.0,,1.0,1.0
esol,regression,53,2,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
esol,regression,53,2,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.9
esol,regression,53,3,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.9230769230769232
esol,regression,53,3,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,53,3,fingerprints_only,6,1,1.0,1.0,1.0,0.6
esol,regression,53,3,no_multiview_concat,9,2,1.0,1.0,0.5,0.8666666666666667
esol,regression,71,1,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.8671328671328673
esol,regression,71,1,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,71,1,fingerprints_only,6,2,1.0,1.0,0.5,0.7714285714285715
esol,regression,71,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8666666666666667
esol,regression,71,2,full_multiview,12,5,0.0,-0.3333333333333333,0.2,0.9020979020979022
esol,regression,71,2,morgan_only,3,1,1.0,,1.0,1.0
esol,regression,71,2,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
esol,regression,71,2,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.9
esol,regression,71,3,full_multiview,12,3,1.0,1.0,0.3333333333333333,0.8671328671328673
esol,regression,71,3,morgan_only,3,2,1.0,,0.5,0.5
esol,regression,71,3,fingerprints_only,6,3,1.0,1.0,0.3333333333333333,0.3142857142857143
esol,regression,71,3,no_multiview_concat,9,2,1.0,1.0,0.5,0.7833333333333333
freesolv,regression,11,1,full_multiview,12,2,1.0,1.0,0.5,0.7832167832167832
freesolv,regression,11,1,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,11,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
freesolv,regression,11,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.75
freesolv,regression,11,2,full_multiview,12,1,1.0,1.0,1.0,0.8251748251748254
freesolv,regression,11,2,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,11,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
freesolv,regression,11,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.7999999999999999
freesolv,regression,11,3,full_multiview,12,1,1.0,1.0,1.0,0.7412587412587414
freesolv,regression,11,3,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,11,3,fingerprints_only,6,2,1.0,1.0,0.5,0.942857142857143
freesolv,regression,11,3,no_multiview_concat,9,1,1.0,1.0,1.0,0.8499999999999999
freesolv,regression,23,1,full_multiview,12,2,1.0,1.0,0.5,0.7342657342657343
freesolv,regression,23,1,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,23,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
freesolv,regression,23,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.7333333333333334
freesolv,regression,23,2,full_multiview,12,1,1.0,1.0,1.0,0.8251748251748254
freesolv,regression,23,2,morgan_only,3,2,1.0,,0.5,0.5
freesolv,regression,23,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
freesolv,regression,23,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.7999999999999999
freesolv,regression,23,3,full_multiview,12,6,0.0,-0.3333333333333333,0.1666666666666666,0.6573426573426573
freesolv,regression,23,3,morgan_only,3,2,1.0,,0.5,0.5
freesolv,regression,23,3,fingerprints_only,6,2,1.0,1.0,0.5,0.8857142857142858
freesolv,regression,23,3,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.7666666666666667
freesolv,regression,37,1,full_multiview,12,2,1.0,1.0,0.5,0.7832167832167832
freesolv,regression,37,1,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,37,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
freesolv,regression,37,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.7333333333333334
freesolv,regression,37,2,full_multiview,12,1,1.0,1.0,1.0,0.8601398601398602
freesolv,regression,37,2,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,37,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
freesolv,regression,37,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.8499999999999999
freesolv,regression,37,3,full_multiview,12,6,0.0,-0.3333333333333333,0.1666666666666666,0.7202797202797203
freesolv,regression,37,3,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,37,3,fingerprints_only,6,2,1.0,1.0,0.5,0.942857142857143
freesolv,regression,37,3,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.7833333333333333
freesolv,regression,53,1,full_multiview,12,2,1.0,1.0,0.5,0.6853146853146854
freesolv,regression,53,1,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,53,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
freesolv,regression,53,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.65
freesolv,regression,53,2,full_multiview,12,1,1.0,1.0,1.0,0.8321678321678322
freesolv,regression,53,2,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,53,2,fingerprints_only,6,1,1.0,1.0,1.0,1.0
freesolv,regression,53,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.8166666666666667
freesolv,regression,53,3,full_multiview,12,6,0.0,-0.3333333333333333,0.1666666666666666,0.6643356643356644
freesolv,regression,53,3,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,53,3,fingerprints_only,6,2,1.0,1.0,0.5,0.942857142857143
freesolv,regression,53,3,no_multiview_concat,9,4,0.0,-0.4999999999999999,0.25,0.7833333333333333
freesolv,regression,71,1,full_multiview,12,2,1.0,1.0,0.5,0.7972027972027973
freesolv,regression,71,1,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,71,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8285714285714287
freesolv,regression,71,1,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.75
freesolv,regression,71,2,full_multiview,12,1,1.0,1.0,1.0,0.8251748251748254
freesolv,regression,71,2,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,71,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
freesolv,regression,71,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.7999999999999999
freesolv,regression,71,3,full_multiview,12,4,0.0,-0.3333333333333333,0.25,0.6993006993006995
freesolv,regression,71,3,morgan_only,3,1,1.0,,1.0,1.0
freesolv,regression,71,3,fingerprints_only,6,2,1.0,1.0,0.5,0.942857142857143
freesolv,regression,71,3,no_multiview_concat,9,3,1.0,1.0,0.3333333333333333,0.8166666666666667
lipo,regression,11,1,full_multiview,12,1,1.0,1.0,1.0,0.6363636363636365
lipo,regression,11,1,morgan_only,3,1,1.0,,1.0,1.0
lipo,regression,11,1,fingerprints_only,6,1,1.0,1.0,1.0,0.6
