task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7381884387801548,0.1141718999715522
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7936553945249598,0.09441310004331172
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8482861709685059,0.09549690003041178
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8175238962221211,0.1675927999895066
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8733333333333333,0.15400800004135817
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8710484252900782,0.16278399992734194
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.7988620846609011,0.0982293999986723
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8626731078904992,0.10014430002775043
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8821187544399716,0.08784609998110682
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.7153846153846154,0.030370900058187544
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8012238325281803,0.027874600025825202
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.766235496092825,0.02688230003695935
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8017068730086481,0.1523783999728039
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8452173913043478,0.14751230005640537
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8708560265214302,0.14916210004594177
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.7946517979062357,0.061709199915640056
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.856086956521739,0.048366199946030974
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8829475491356855,0.04996100009884685
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.7798588984979518,0.03937449993100017
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8208373590982287,0.04229230002965778
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8322430736443287,0.03284110000822693
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.8337278106508875,0.16450330009683967
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.8702093397745572,0.16248539998196065
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.8655132607151312,0.16142310004215688
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8065771506599908,0.1540853000478819
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8525281803542671,0.12147510005161166
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8559673218091405,0.11085500009357929
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.7576012744651797,0.21574180002789944
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.8244766505636071,0.15585630002897233
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.8455629883968743,0.18404570000711828
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8274237596722804,0.1889436999335885
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8792270531400965,0.18211509997490793
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8688876391191097,0.18599999998696148
bace,classification,11,1,1,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8123577605826127,0.2267944999039173
bace,classification,11,1,2,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8628985507246376,0.22233909997157753
bace,classification,11,1,3,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8581429078853896,0.2507323999889195
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7675613123274322,0.08591270004399121
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7740302497710226,0.07648839999455959
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7102260013425821,0.10426579997874796
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8230672405392235,0.16410880000330508
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.868888778869718,0.154995399992913
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8530618333706272,0.16003789997193962
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8404458340100698,0.08006330009084195
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8653489120479243,0.07853739999700338
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8476169165361378,0.09214570000767708
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.7676222186129609,0.025930700008757412
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.7815555610565139,0.02280299994163215
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.7712016110986797,0.03326990001369268
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8129770992366412,0.14846850000321865
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8177958759313809,0.14730049995705485
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8418363541433579,0.15180360001977533
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8216257917817118,0.04670009994879365
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.821360497066614,0.04012470005545765
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.845565749235474,0.0626862000208348
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.7856707812246223,0.035205099964514375
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8445181572889077,0.03207839990500361
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8244200790631758,0.03724289999809116
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.8382938119213903,0.16647860000375658
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.8726638116691834,0.14992520003579557
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,0.8696203475796225,0.1535364999435842
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8340100698392073,0.11139810003805906
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.842265514765948,0.10252129996661097
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,0.8473185649287686,0.13924289995338768
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.7945630989118077,0.16976930003147572
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.7838453350496324,0.13195139996241778
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,10,multiview__linear,multiview,linear,0.7273066308644738,0.17981700005475432
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8355124248822479,0.17462179996073246
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8719583137361684,0.17033019999507815
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,0.8672335347206683,0.18432510003913194
bace,classification,11,2,1,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8272494721455254,0.26193240005522966
bace,classification,11,2,2,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8421664975121915,0.17251810000743717
bace,classification,11,2,3,stratified_scaffold_group,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,0.8713358693219959,0.26449059997685254
bace,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.796036808532887,0.11548449995461851
bace,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8175517327349787,0.08202029997482896
bace,classification,11,3,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.681316497492968,0.09016339993104339
bace,classification,11,3,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8762940499843146,0.16536320000886917
bace,classification,11,3,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8527050610820245,0.15602180000860244
