task,task_type,seed,outer_fold,variant,candidate_count,policy,selected_candidate,selected_representation,selected_family,outer_utility,oracle_candidate,oracle_utility,raw_regret,normalized_regret
bace,classification,11,1,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.09385249348246608
bace,classification,11,1,full_multiview,12,validation_best,multiview__random_forest,multiview,random_forest,0.8816717273954117,morgan512__lightgbm,0.8824477058029689,0.0007759784075572762,0.007736943907155896
bace,classification,11,1,full_multiview,12,one_se_stable,rdkit2d__random_forest,rdkit2d,random_forest,0.8784075573549258,morgan512__lightgbm,0.8824477058029689,0.004040148448043124,0.04028256664704341
bace,classification,11,1,full_multiview,12,risk_adjusted,rdkit2d__random_forest,rdkit2d,random_forest,0.8784075573549258,morgan512__lightgbm,0.8824477058029689,0.004040148448043124,0.04028256664704341
bace,classification,11,1,full_multiview,12,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.8824477058029689,morgan512__lightgbm,0.8824477058029689,0.0,0.0
bace,classification,11,1,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.13419913419913448
bace,classification,11,1,morgan_only,3,validation_best,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.13419913419913448
bace,classification,11,1,morgan_only,3,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.13419913419913448
bace,classification,11,1,morgan_only,3,risk_adjusted,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.13419913419913448
bace,classification,11,1,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.8824477058029689,morgan512__lightgbm,0.8824477058029689,0.0,0.0
bace,classification,11,1,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.09385249348246608
bace,classification,11,1,fingerprints_only,6,validation_best,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.09385249348246608
bace,classification,11,1,fingerprints_only,6,one_se_stable,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.09385249348246608
bace,classification,11,1,fingerprints_only,6,risk_adjusted,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.09385249348246608
bace,classification,11,1,fingerprints_only,6,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.8824477058029689,morgan512__lightgbm,0.8824477058029689,0.0,0.0
bace,classification,11,1,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.8730347503373819,morgan512__lightgbm,0.8824477058029689,0.00941295546558707,0.09385249348246608
bace,classification,11,1,no_multiview_concat,9,validation_best,rdkit2d__random_forest,rdkit2d,random_forest,0.8784075573549258,morgan512__lightgbm,0.8824477058029689,0.004040148448043124,0.04028256664704341
bace,classification,11,1,no_multiview_concat,9,one_se_stable,rdkit2d__random_forest,rdkit2d,random_forest,0.8784075573549258,morgan512__lightgbm,0.8824477058029689,0.004040148448043124,0.04028256664704341
bace,classification,11,1,no_multiview_concat,9,risk_adjusted,rdkit2d__random_forest,rdkit2d,random_forest,0.8784075573549258,morgan512__lightgbm,0.8824477058029689,0.004040148448043124,0.04028256664704341
bace,classification,11,1,no_multiview_concat,9,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.8824477058029689,morgan512__lightgbm,0.8824477058029689,0.0,0.0
bace,classification,11,2,full_multiview,12,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.877303095151104,multiview__random_forest,0.8910172764758078,0.0137141813247037,0.1722527247398169
bace,classification,11,2,full_multiview,12,validation_best,rdkit2d__random_forest,rdkit2d,random_forest,0.8775444960592934,multiview__random_forest,0.8910172764758078,0.01347278041651434,0.16922068343849758
bace,classification,11,2,full_multiview,12,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,multiview__random_forest,0.8910172764758078,0.013113941228665604,0.16471359501762145
bace,classification,11,2,full_multiview,12,risk_adjusted,rdkit2d__random_forest,rdkit2d,random_forest,0.8775444960592934,multiview__random_forest,0.8910172764758078,0.01347278041651434,0.16922068343849758
bace,classification,11,2,full_multiview,12,test_oracle,multiview__random_forest,multiview,random_forest,0.8910172764758078,multiview__random_forest,0.8910172764758078,0.0,0.0
bace,classification,11,2,morgan_only,3,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.877303095151104,morgan512__lightgbm,0.8779033352471421,0.000600240096038096,0.009403107113649977
bace,classification,11,2,morgan_only,3,validation_best,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,morgan512__lightgbm,0.8779033352471421,0.0,0.0
bace,classification,11,2,morgan_only,3,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,morgan512__lightgbm,0.8779033352471421,0.0,0.0
bace,classification,11,2,morgan_only,3,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,morgan512__lightgbm,0.8779033352471421,0.0,0.0
bace,classification,11,2,morgan_only,3,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,morgan512__lightgbm,0.8779033352471421,0.0,0.0
bace,classification,11,2,fingerprints_only,6,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.877303095151104,morgan512__lightgbm,0.8779033352471421,0.000600240096038096,0.00902580202099003
bace,classification,11,2,fingerprints_only,6,validation_best,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,morgan512__lightgbm,0.8779033352471421,0.0,0.0
bace,classification,11,2,fingerprints_only,6,one_se_stable,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,morgan512__lightgbm,0.8779033352471421,0.0,0.0
bace,classification,11,2,fingerprints_only,6,risk_adjusted,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,morgan512__lightgbm,0.8779033352471421,0.0,0.0
bace,classification,11,2,fingerprints_only,6,test_oracle,morgan512__lightgbm,morgan512,lightgbm,0.8779033352471421,morgan512__lightgbm,0.8779033352471421,0.0,0.0
bace,classification,11,2,no_multiview_concat,9,fixed_morgan_rf,morgan512__random_forest,morgan512,random_forest,0.877303095151104,rdkit2d__lightgbm,0.88635889138264,0.009055796231535962,0.12081121072329887
bace,classification,11,2,no_multiview_concat,9,validation_best,rdkit2d__random_forest,rdkit2d,random_forest,0.8775444960592934,rdkit2d__lightgbm,0.88635889138264,0.008814395323346602,0.1175907389677066
