task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
bace,classification,37,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1081,432,0.7952365451388889,0.17060469998978078,0.7952365451388889,0.7070673561927427,
bace,classification,37,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1081,432,0.8430230034722221,0.17961200000718236,0.8430230034722221,0.8074298166044872,
bace,classification,37,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1081,432,0.8424262152777777,0.12352040002588183,0.8424262152777777,0.8078470685264386,
bace,classification,37,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,1081,432,0.8021375868055556,0.04678760003298521,0.8021375868055556,0.7804119163095962,
bace,classification,37,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1081,432,0.8409288194444444,0.17326509999111295,0.8409288194444444,0.8104014075015692,
bace,classification,37,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1081,432,0.8331814236111111,0.059349399991333485,0.8331814236111111,0.8107540647864998,
bace,classification,37,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1081,432,0.8165581597222222,0.06437979999464005,0.8165581597222222,0.7736271770138543,
bace,classification,37,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1081,432,0.8280381944444444,0.18208110006526113,0.8280381944444444,0.7806459771547102,
bace,classification,37,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1081,432,0.8160373263888889,0.15724969992879778,0.8160373263888889,0.7697607386293094,
bace,classification,37,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,1081,432,0.8089409722222222,0.2863660999573767,0.8089409722222222,0.741293056527077,
bace,classification,37,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1081,432,0.8333333333333334,0.21318069996777922,0.8333333333333334,0.7747703656342092,
bace,classification,37,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1081,432,0.8306857638888888,0.313277899986133,0.8306857638888888,0.7748212694121273,
bace,classification,37,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,901,612,0.808972738176278,0.14679880009498447,0.808972738176278,0.7709702364638115,
bace,classification,37,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,901,612,0.9004829978281305,0.174746899981983,0.9004829978281305,0.8684283421096408,
bace,classification,37,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,901,612,0.8844262915059375,0.09622169996146113,0.8844262915059375,0.8433346593114942,
bace,classification,37,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,901,612,0.7409100240958647,0.03967129997909069,0.7409100240958647,0.6815454367809834,
bace,classification,37,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,901,612,0.8616000518655386,0.17215170001145452,0.8616000518655386,0.7895837049261005,
bace,classification,37,2,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,901,612,0.841874939220072,0.051879100035876036,0.841874939220072,0.7866679118350759,
bace,classification,37,2,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,901,612,0.8629291062919382,0.059497800073586404,0.8629291062919382,0.7967237253947171,
bace,classification,37,2,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,901,612,0.8980680086874777,0.17310940008610487,0.8980680086874777,0.8516361839241129,
bace,classification,37,2,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,901,612,0.8915956216841173,0.1561437000054866,0.8915956216841173,0.8519695136748068,
bace,classification,37,2,stratified_scaffold_group,10,multiview__linear,multiview,linear,901,612,0.7854225420597103,0.26151770004071295,0.7854225420597103,0.7519811385711103,
bace,classification,37,2,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,901,612,0.8976628091672338,0.22205620002932847,0.8976628091672338,0.8521156798114935,
bace,classification,37,2,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,901,612,0.8893643229926417,0.32776590005960315,0.8893643229926417,0.8448625253307438,
bace,classification,37,3,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1044,469,0.8162806365854547,0.1857317000394687,0.8162806365854547,0.7431095063950958,
bace,classification,37,3,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1044,469,0.8747678356822901,0.16973019996657968,0.8747678356822901,0.8543696639169464,
bace,classification,37,3,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1044,469,0.8674296223460431,0.09690780006349087,0.8674296223460431,0.8247204822566893,
bace,classification,37,3,stratified_scaffold_group,4,maccs__linear,maccs,linear,1044,469,0.7804362868276339,0.04796210001222789,0.7804362868276339,0.7319940163941034,
bace,classification,37,3,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1044,469,0.8543464802068538,0.17019569990225136,0.8543464802068538,0.8284843465452587,
bace,classification,37,3,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1044,469,0.8450234895662623,0.06131320004351437,0.8450234895662623,0.8258318161419377,
bace,classification,37,3,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1044,469,0.8422921446520266,0.06639469997026026,0.8422921446520266,0.7825354848502788,
bace,classification,37,3,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1044,469,0.8753050001820897,0.17636680009309202,0.8753050001820897,0.8382343322268521,
bace,classification,37,3,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1044,469,0.8647802177792345,0.1613150000339374,0.8647802177792345,0.8267003055035714,
