task,task_type,seed,outer_fold,variant,candidate_count,oracle_validation_rank,top3_hit,chance_adjusted_hit,mrr,spearman
bace,classification,37,1,full_multiview,12,6,0.0,-0.3333333333333333,0.16666666666666666,0.5384615384615385
bace,classification,37,1,morgan_only,3,2,1.0,0.0,0.5,0.5
bace,classification,37,1,fingerprints_only,6,2,1.0,1.0,0.5,0.8857142857142858
bace,classification,37,1,no_multiview_concat,9,4,0.0,-0.49999999999999994,0.25,0.48333333333333334
bace,classification,37,2,full_multiview,12,2,1.0,1.0,0.5,0.8741258741258742
bace,classification,37,2,morgan_only,3,1,1.0,0.0,1.0,1.0
bace,classification,37,2,fingerprints_only,6,1,1.0,1.0,1.0,0.942857142857143
bace,classification,37,2,no_multiview_concat,9,1,1.0,1.0,1.0,0.8666666666666667
bace,classification,37,3,full_multiview,12,2,1.0,1.0,0.5,0.9510489510489512
bace,classification,37,3,morgan_only,3,1,1.0,0.0,1.0,1.0
bace,classification,37,3,fingerprints_only,6,1,1.0,1.0,1.0,1.0
bace,classification,37,3,no_multiview_concat,9,2,1.0,1.0,0.5,0.9666666666666667
