task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
bace,classification,53,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1033,480,0.8148339160839161,0.1737256000051275,0.8148339160839161,0.7686268024872824,
bace,classification,53,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1033,480,0.8931905594405595,0.1819653999991715,0.8931905594405595,0.8707484539463862,
bace,classification,53,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1033,480,0.8911276223776223,0.11538150010164827,0.8911276223776223,0.8699451897414613,
bace,classification,53,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,1033,480,0.8083741258741259,0.04443840007297695,0.8083741258741259,0.7883196553949054,
bace,classification,53,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1033,480,0.8737849650349652,0.16457550006452948,0.8737849650349652,0.8456668646063873,
bace,classification,53,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1033,480,0.8536451048951049,0.06022580002900213,0.8536451048951049,0.8416994669781587,
bace,classification,53,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1033,480,0.7990297202797202,0.06156329996883869,0.7990297202797202,0.7919428902156993,
bace,classification,53,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1033,480,0.8770979020979022,0.17549210006836802,0.8770979020979022,0.8440888005342682,
bace,classification,53,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1033,480,0.8810751748251748,0.15810539992526174,0.8810751748251748,0.8453956323397551,
bace,classification,53,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,1033,480,0.8042744755244754,0.3041945999721065,0.8042744755244754,0.7750122339681478,
bace,classification,53,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1033,480,0.8843356643356645,0.207396800047718,0.8843356643356645,0.847611078997978,
bace,classification,53,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1033,480,0.8870891608391608,0.32078680000267923,0.8870891608391608,0.8533625433529395,
bace,classification,53,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,880,633,0.8355965574635651,0.1567653000820428,0.8355965574635651,0.7480079711372158,
bace,classification,53,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,880,633,0.8991393658912841,0.16954489995259792,0.8991393658912841,0.8678875847530574,
bace,classification,53,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,880,633,0.8903097470872406,0.11255680001340806,0.8903097470872406,0.8533784427129795,
bace,classification,53,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,880,633,0.7750223277716883,0.037166599999181926,0.7750223277716883,0.6414526184732964,
bace,classification,53,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,880,633,0.8585332683798156,0.16747069999109954,0.8585332683798156,0.792922089919011,
bace,classification,53,2,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,880,633,0.867362887183859,0.08974460000172257,0.867362887183859,0.8219146202462577,
bace,classification,53,2,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,880,633,0.8466031340072261,0.05558809998910874,0.8466031340072261,0.7588962897316679,
bace,classification,53,2,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,880,633,0.886006576543661,0.17480249993968755,0.886006576543661,0.8388375288282239,
bace,classification,53,2,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,880,633,0.8892796248934357,0.14202340005431324,0.8892796248934357,0.8469152796105462,
bace,classification,53,2,stratified_scaffold_group,10,multiview__linear,multiview,linear,880,633,0.8423101124507772,0.2618162001017481,0.8423101124507772,0.7688865971339192,
bace,classification,53,2,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,880,633,0.9002151585271789,0.19932560005690902,0.9002151585271789,0.8667822295836329,
bace,classification,53,2,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,880,633,0.8848140705557586,0.29247460002079606,0.8848140705557586,0.8532585101058155,
bace,classification,53,3,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1113,400,0.7707442151344589,0.19988279999233782,0.7707442151344589,0.7408734334655269,
bace,classification,53,3,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1113,400,0.8418886804252659,0.18079260003287345,0.8418886804252659,0.8056399658937419,
bace,classification,53,3,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1113,400,0.8386491557223265,0.10638699994888157,0.8386491557223265,0.7994821937955364,
bace,classification,53,3,stratified_scaffold_group,4,maccs__linear,maccs,linear,1113,400,0.7759599749843652,0.050406499998643994,0.7759599749843652,0.7515180653673169,
bace,classification,53,3,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1113,400,0.8591619762351469,0.16284150001592934,0.8591619762351469,0.821895499230902,
bace,classification,53,3,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1113,400,0.8380737961225766,0.06208840000908822,0.8380737961225766,0.799592816861872,
bace,classification,53,3,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1113,400,0.8144215134459036,0.0738204000517726,0.8144215134459036,0.7525174202392334,
bace,classification,53,3,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1113,400,0.8449781113195747,0.17280850000679493,0.8449781113195747,0.803496934015067,
bace,classification,53,3,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1113,400,0.8243777360850532,0.16921359999105334,0.8243777360850532,0.7777779918266656,
bace,classification,53,3,stratified_scaffold_group,10,multiview__linear,multiview,linear,1113,400,0.7958348968105066,0.35717360000126064,0.7958348968105066,0.7733489730909288,
bace,classification,53,3,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1113,400,0.8545841150719199,0.21331739996094257,0.8545841150719199,0.8147569337981757,
bace,classification,53,3,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1113,400,0.8333458411507192,0.3585018999874592,0.8333458411507192,0.7864284726739483,
