task,task_type,seed,outer_fold,inner_fold,outer_split_type,inner_split_type,candidate_order,candidate,representation,family,inner_utility,fit_seconds
bbbp,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7315711960313155,0.09294689993839711
bbbp,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.7942083364291552,0.12447709997650236
bbbp,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,0.8085063897763578,0.12951950007118285
bbbp,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.7988528021083636,0.1649069000268355
bbbp,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8754179359536369,0.15986610006075352
bbbp,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,0.8873983444670346,0.16426450002472848
bbbp,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.7617432757150608,0.09471630002371967
bbbp,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8627498328256187,0.11098339990712702
bbbp,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,0.8685920708684287,0.11254010000266135
bbbp,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.6815944500426323,0.0325466999784112
bbbp,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8632699309012556,0.04374780005309731
bbbp,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,4,maccs__linear,maccs,linear,0.8427425210572174,0.03392590000294149
bbbp,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8219905433687311,0.16895660001318902
bbbp,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.88879188647002,0.15660569991450757
bbbp,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,0.8978906476909672,0.1475095999194309
bbbp,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8131733974110535,0.05566489999182522
bbbp,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8869715432052901,0.0549558000639081
bbbp,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,0.8894496079000871,0.06295990000944585
bbbp,classification,23,1,1,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.7810441051081312,0.049061199999414384
bbbp,classification,23,1,2,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8587747975332491,0.059090199996717274
bbbp,classification,23,1,3,stratified_scaffold_group,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,0.8450297705489398,0.047050800058059394
