task,task_type,seed,outer_fold,outer_split_type,candidate_order,candidate,representation,family,n_train,n_test,outer_utility,fit_seconds,roc_auc,pr_auc,rmse
bbbp,classification,37,1,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1485,554,0.8146567891972993,0.21425890002865344,0.8146567891972993,0.9171554312104007,
bbbp,classification,37,1,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1485,554,0.9060296324081021,0.1901039999211207,0.9060296324081021,0.9648649516555029,
bbbp,classification,37,1,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1485,554,0.9117498124531133,0.1259541999315843,0.9117498124531133,0.9696234891659192,
bbbp,classification,37,1,stratified_scaffold_group,4,maccs__linear,maccs,linear,1485,554,0.8529163540885221,0.06749219994526356,0.8529163540885221,0.9377368040673484,
bbbp,classification,37,1,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1485,554,0.927560015003751,0.1701845999341458,0.927560015003751,0.9755526749398571,
bbbp,classification,37,1,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1485,554,0.9048855963990998,0.08236930007115006,0.9048855963990998,0.9630347967197175,
bbbp,classification,37,1,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1485,554,0.8948049512378095,0.11030280007980764,0.8948049512378095,0.9595953512122719,
bbbp,classification,37,1,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1485,554,0.9362996999249812,0.1866712000919506,0.9362996999249812,0.9792289166727421,
bbbp,classification,37,1,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1485,554,0.9380626406601651,0.20579269994050264,0.9380626406601651,0.9781276551976296,
bbbp,classification,37,1,stratified_scaffold_group,10,multiview__linear,multiview,linear,1485,554,0.8532633158289572,0.4578991000307724,0.8532633158289572,0.9316434045936893,
bbbp,classification,37,1,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1485,554,0.9427700675168792,0.2374271999578923,0.9427700675168792,0.982058197438942,
bbbp,classification,37,1,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1485,554,0.9393379594898724,0.47906250006053597,0.9393379594898724,0.9791243779991478,
bbbp,classification,37,2,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1284,755,0.7857508835769705,0.2025904000038281,0.7857508835769705,0.9031818360541173,
bbbp,classification,37,2,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1284,755,0.8899815965033357,0.1849686000496149,0.8899815965033357,0.960052389613026,
bbbp,classification,37,2,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1284,755,0.8722473178994918,0.12151329999323934,0.8722473178994918,0.9469347453510557,
bbbp,classification,37,2,stratified_scaffold_group,4,maccs__linear,maccs,linear,1284,755,0.845928226363009,0.05845510005019605,0.845928226363009,0.9387909203600575,
bbbp,classification,37,2,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1284,755,0.9122226404835101,0.16979309997987002,0.9122226404835101,0.9732068179704573,
bbbp,classification,37,2,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1284,755,0.9006577158751072,0.06665309995878488,0.9006577158751072,0.9679487395406098,
bbbp,classification,37,2,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1284,755,0.8460066503544765,0.09129270003177226,0.8460066503544765,0.9293917401040759,
bbbp,classification,37,2,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1284,755,0.9171947215425476,0.18617479992099106,0.9171947215425476,0.9740245406017171,
bbbp,classification,37,2,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1284,755,0.9052481335090031,0.18682160007301718,0.9052481335090031,0.967443457635079,
bbbp,classification,37,2,stratified_scaffold_group,10,multiview__linear,multiview,linear,1284,755,0.8495618713010017,0.4380671000108123,0.8495618713010017,0.9324103151320814,
bbbp,classification,37,2,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1284,755,0.9171162975510803,0.2583483000053093,0.9171162975510803,0.9718164677009243,
bbbp,classification,37,2,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1284,755,0.9142564359955664,0.3977407000493258,0.9142564359955664,0.9731730006036757,
bbbp,classification,37,3,stratified_scaffold_group,1,morgan512__linear,morgan512,linear,1309,730,0.7781485613171257,0.2110399000812322,0.7781485613171257,0.8894546862101496,
bbbp,classification,37,3,stratified_scaffold_group,2,morgan512__random_forest,morgan512,random_forest,1309,730,0.8553046622557317,0.18112720001954585,0.8553046622557317,0.9309160600256987,
bbbp,classification,37,3,stratified_scaffold_group,3,morgan512__lightgbm,morgan512,lightgbm,1309,730,0.8355708570549316,0.12014009989798069,0.8355708570549316,0.9238197416089039,
bbbp,classification,37,3,stratified_scaffold_group,4,maccs__linear,maccs,linear,1309,730,0.8377923526696414,0.058936199988238513,0.8377923526696414,0.9227858234067526,
bbbp,classification,37,3,stratified_scaffold_group,5,maccs__random_forest,maccs,random_forest,1309,730,0.8664842668102786,0.17113679996691644,0.8664842668102786,0.9369735171729839,
bbbp,classification,37,3,stratified_scaffold_group,6,maccs__lightgbm,maccs,lightgbm,1309,730,0.8554441067856593,0.058799699996598065,0.8554441067856593,0.9358944247240268,
bbbp,classification,37,3,stratified_scaffold_group,7,rdkit2d__linear,rdkit2d,linear,1309,730,0.8261270964763809,0.08631149993743747,0.8261270964763809,0.9162491151586476,
bbbp,classification,37,3,stratified_scaffold_group,8,rdkit2d__random_forest,rdkit2d,random_forest,1309,730,0.8789813817510386,0.17802019999362528,0.8789813817510386,0.9407037042878723,
bbbp,classification,37,3,stratified_scaffold_group,9,rdkit2d__lightgbm,rdkit2d,lightgbm,1309,730,0.8725669333743653,0.19201020000036806,0.8725669333743653,0.9371912230354064,
bbbp,classification,37,3,stratified_scaffold_group,10,multiview__linear,multiview,linear,1309,730,0.8171064779196798,0.42952659993898124,0.8171064779196798,0.9081632642556283,
bbbp,classification,37,3,stratified_scaffold_group,11,multiview__random_forest,multiview,random_forest,1309,730,0.8772311124788428,0.24602570000570267,0.8772311124788428,0.9431005281163038,
bbbp,classification,37,3,stratified_scaffold_group,12,multiview__lightgbm,multiview,lightgbm,1309,730,0.8796112863517465,0.4028670999687165,0.8796112863517465,0.9402357509399113,
